region,zone,n_rows,time_frac_present,nuc_d_med,nuc_d_p16,nuc_d_p84,vmax_kms_med,vmax_kms_p16,vmax_kms_p84,FcF_med,FcF_p16,FcF_p84
hot OB (logT>=4.3),FeCZ,6291,0.7279,0.4122,0.2524,0.5384,3.072,1.12,9.991,0.001158,0.0001618,0.02188
hot OB (logT>=4.3),HeII,6291,0.8597,0.004536,0.0008749,0.01611,0.00765,0.001998,0.01628,9.43e-13,4.108e-15,3.534e-11
hot OB (logT>=4.3),HeI,6291,0,,,,,,,,,
hot OB (logT>=4.3),HI,6291,0,,,,,,,,,
"evolved OB/BSG (4.0-4.3, logL>3.6)",FeCZ,1697,1,0.01752,0.01392,0.02684,11.77,9.465,30.74,0.3847,0.3385,0.4193
"evolved OB/BSG (4.0-4.3, logL>3.6)",HeII,1697,1,0.0006943,0.0006139,0.0008545,0.267,0.1806,0.4252,1.308e-07,3.172e-08,4.181e-07
"evolved OB/BSG (4.0-4.3, logL>3.6)",HeI,1697,0.02171,4.172e-06,1.295e-06,4.809e-06,0.003556,0.0007676,0.004704,6.106e-15,2.22e-16,1.565e-14
"evolved OB/BSG (4.0-4.3, logL>3.6)",HI,1697,0,,,,,,,,,
YSG (3.75-4.0),FeCZ,3727,0.594,0.006897,0.003828,0.01303,2.066,0.9007,4.833,0.09442,0.01429,0.2427
YSG (3.75-4.0),HeII,3727,0.9982,0.01011,0.003553,0.01589,1.437,0.5981,2.245,0.001646,2.26e-05,0.01345
YSG (3.75-4.0),HeI,3727,0.1723,1.712e-05,7.145e-06,2.797e-05,0.0005716,0.0003183,0.0009567,1.665e-15,2.22e-16,1.099e-14
YSG (3.75-4.0),HI,3727,0.9251,0.01415,0.000162,0.05315,11.18,0.02594,12.59,0.536,2.655e-10,0.9517
