Z,w,L_first_FeCZ,L_v1,L_v3,L_v10,L_F1e3,L_F1e2,L_F1e1
LMC,0.000,3.175,3.575,3.725,4.025,4.025,4.125,4.275
LMC,0.200,3.175,3.725,4.025,4.075,4.075,4.175,4.275
LMC,0.400,3.175,3.675,4.025,4.075,4.075,4.175,4.275
LMC,0.600,3.075,3.225,3.675,4.175,4.125,4.175,4.325
MW,0.000,2.725,2.875,3.325,3.675,3.425,3.675,4.075
MW,0.200,2.725,2.825,3.675,3.725,3.625,3.725,4.075
MW,0.400,2.675,2.775,3.625,3.725,3.575,3.725,4.075
MW,0.600,2.625,2.675,3.025,3.675,3.575,3.725,4.075
MW_mltpp,0.000,2.725,2.875,3.325,3.675,3.425,3.675,3.775
SMC,0.000,3.675,4.025,4.175,4.225,4.275,4.275,4.375
SMC,0.200,3.725,4.225,4.275,4.275,4.275,4.275,
SMC,0.400,3.725,4.275,4.275,4.325,4.325,4.325,
SMC,0.600,3.625,4.275,4.325,4.375,4.375,4.425,
