sample,y,x,coef,lo,hi,n_rows,n_tracks
MW w0.0 | sHRD domain,log_v,logLspec,1.5616,1.5338,1.6028,3976,26
MW w0.0 | sHRD domain,log_v,logTeff,-2.0063,-2.2965,-1.7292,3976,26
MW w0.0 | sHRD domain,log_F,logLspec,3.3578,3.2238,3.5586,3976,26
MW w0.0 | sHRD domain,log_F,logTeff,-9.1481,-10.1813,-8.3722,3976,26
MW w0.0 | sHRD domain,log_rho,logLspec,-1.2035,-1.2640,-1.1373,3976,26
MW w0.0 | sHRD domain,log_rho,logTeff,0.2459,0.1063,0.2993,3976,26
MW w0.0 | sHRD domain,log_nuc,logLspec,0.0226,-0.0389,0.0968,3976,26
MW w0.0 | sHRD domain,log_nuc,logTeff,1.7489,1.4576,1.9970,3976,26
MW w0.0 | sHRD domain,log_mach,logLspec,1.2585,1.2063,1.3282,3976,26
MW w0.0 | sHRD domain,log_mach,logTeff,-1.7417,-2.0885,-1.4528,3976,26
"MW w0.0 | hot, 3.16<logL<3.70",log_v,logLspec,1.5579,1.5264,1.5937,2354,16
"MW w0.0 | hot, 3.16<logL<3.70",log_v,logTeff,-2.6345,-2.6944,-2.5745,2354,16
"MW w0.0 | hot, 3.16<logL<3.70",log_F,logLspec,3.5805,3.5005,3.6767,2354,16
"MW w0.0 | hot, 3.16<logL<3.70",log_F,logTeff,-11.6031,-11.7633,-11.4546,2354,16
"MW w0.0 | hot, 3.16<logL<3.70",log_mach,logLspec,1.3700,1.3437,1.3994,2354,16
"MW w0.0 | hot, 3.16<logL<3.70",log_mach,logTeff,-2.5996,-2.6473,-2.5516,2354,16
"MW w0.0 | hot, 3.70<logL<4.40",log_v,logLspec,1.7246,1.6031,1.8336,1433,13
"MW w0.0 | hot, 3.70<logL<4.40",log_v,logTeff,0.5120,0.1924,0.7811,1433,13
"MW w0.0 | hot, 3.70<logL<4.40",log_F,logLspec,2.3886,2.0293,2.7333,1433,13
"MW w0.0 | hot, 3.70<logL<4.40",log_F,logTeff,-2.5736,-3.4420,-1.8272,1433,13
"MW w0.0 | hot, 3.70<logL<4.40",log_mach,logLspec,0.7432,0.6332,0.8662,1433,13
"MW w0.0 | hot, 3.70<logL<4.40",log_mach,logTeff,0.3120,0.0693,0.5101,1433,13
