TIC,nuchar_B20_fig,nuchar_GP,px_per_decade,Name,nuchar_B20_tab
30653985,2.525,1.754,227.5,CPD-47 2963,2.534
41792209,1.864,1.123,227.5,HD 154368,1.858
43284243,1.826,3.981,227.5,HD 154643,1.832
148506724,2.765,4.924,227.5,HD 53975,2.779
152659955,1.754,1.634,227.5,HD 156154,1.765
178489528,1.719,5.448,227.5,HD 55879,1.72
195288472,4.361,4.022,227.5,HD 156738,4.386
216662610,6.152,5.285,227.5,HD 155913,6.157
234009943,2.765,4.104,227.5,HD 48279,2.776
234648113,2.474,2.576,227.5,HD 150574,2.47
234840662,3.941,6.215,227.5,HD 46150,3.954
234881667,3.981,5.673,227.5,HD 46223,3.991
234947719,2,4.541,227.5,HD 46573,2.009
246953610,1.135,0.9363,227.5,HD 152147,1.14
247267245,0.9555,0.6121,227.5,HD 152424,0.9533
294114621,2.602,2.474,227.5,HD 41997,2.61
306491594,5.731,7.923,227.5,HD 96715,5.743
330281456,4.022,3.123,227.5,HD 123056,4.017
337793038,0.9363,0.6982,227.5,HD 151804,0.9398
338640317,0.9316,0.8992,227.5,HD 152003,0.9263
339567904,1.754,1.256,227.5,HD 152249,1.762
339568114,2.213,2.602,227.5,HD 326331,2.21
339570292,2.738,2.104,227.5,HD 152247,2.75
406050497,0.9176,0.8209,227.5,HD 112244,0.9187
430625455,3.671,3.49,227.5,HD 74920,3.664
436103278,2.041,4.104,227.5,HD 36861,2.054
455675248,1.98,4.273,227.5,HD 135591,1.977
459532732,0.8548,0.5588,227.5,HD 303492,0.8525
464295672,2.968,5.908,227.5,HD 90273,2.967
467065657,2.191,2.083,227.5,HD 97253,2.204
