gaia,sector,Tmag,flux,a0,nu,g,cw,dbic
4685945010910000640,27,13.6,239.59,1.1893,0.71455,2.2565,0.093012,1774
4685945010910000640,68,13.6,283.94,2.331,0.67505,1.7729,0.10087,3567.6
4685959373284393728,28,13.9,225.45,2.1494,0.47646,1.8334,0.10329,2534.3
4685959373284393728,67,13.9,313.52,18.983,0.02,1.0633,0.21478,776.22
4685959373284393728,68,13.9,279.76,12.923,0.066264,1.0635,0.23757,1736.4
4685987857514223744,28,13.7,413.86,2.5599,0.5502,2.4991,0.1807,1812.7
4686408111398825728,27,12.6,1200.7,1.2886,0.3943,1.3732,0.09389,1240.6
4686408111398825728,28,12.6,1221.5,2.7125,0.56474,1.7905,0.13322,2738.1
4686408111398825728,68,12.6,1205.9,8.6688,0.41873,1.1221,0.14261,5050.1
4686413540237697408,28,14.4,491.44,1.4419,1.0026,1.6518,0.29012,466.59
4686413810818254464,27,14.2,373.76,5.7286,0.02,1.0003,0.095554,473.41
4686413810818254464,28,14.2,411.61,1.5952,0.071479,1.0719,0.08573,300.58
4686413810818254464,68,14.2,462.61,4.2426,0.18313,1.1059,0.12324,2471.7
4686417148009897344,27,13.4,555.05,11.162,0.02,1.0331,0.080282,1748.9
4686417148009897344,28,13.4,516.9,4.6108,0.10076,1.0231,0.090809,2298.5
4686417148009897344,68,13.4,583.43,8.2779,0.074474,0.91196,0.094426,3354.2
4687159868124113152,27,10,13850,15.265,0.02,0.55206,0.18497,2083.6
4687159868124113152,28,10,14065,58.874,0.74715,1.7661,1.3979,5538.6
4687159868124113152,68,10,13802,42.319,0.22035,1.111,0.52731,5233.3
4687161929708394752,27,12.8,1361.8,6.7032,0.02,0.93209,0.10258,700.06
4687161929708394752,68,12.8,1491.7,13.084,1.0954,1.5965,0.27724,6343.1
4687164055705068288,27,11.5,3996.2,31.736,0.02,1.2762,0.13598,2012.6
4687164055705068288,28,11.5,4681.3,249.25,0.074303,0.98011,0.00054318,6783.5
4687164055705068288,68,11.5,4187.9,11.819,0.15368,1.0927,0.16754,4395.1
4687479173187523584,28,11.3,4573.4,17.114,0.066525,1.0585,0.15313,3744.4
4687479173187523584,67,11.3,4463.4,5.5699,0.1821,1.0913,0.15249,2698.6
4687479173187523584,68,11.3,4620,22.566,0.42373,1.1307,0.28102,5666
4687485387976612736,28,12.4,1930.4,3.0726,0.18664,1.3523,0.25399,432.14
4687485387976612736,67,12.4,1988.6,25.784,0.24598,1.2338,0.46946,4468.3
4687485387976612736,68,12.4,1872.8,25.234,0.30046,1.189,0.46546,4583
4687499720314663296,28,13.5,516,1.3366,0.20372,1.198,0.091312,751.34
4687499720314663296,67,13.5,431.55,84.901,0.02,1.2714,0.10216,6267.9
4687499720314663296,68,13.5,456.26,1.3691,0.42882,1.3784,0.094161,1566.8
4687503946562429184,28,13.1,792.23,1.0622,0.29868,1.452,0.097253,634.7
4687503946562429184,67,13.1,700.94,10.827,0.067407,1.432,0.10118,3004.8
4687503946562429184,68,13.1,792.54,0.64427,0.7791,2.8775,0.1077,665.91
4687505389671548672,28,12.9,1278.8,1.2224,0.78496,2.0769,0.13643,1178.9
4687505389671548672,68,12.9,1557.1,15.354,0.20675,1.1159,0.2064,4846.1
4687507245097014144,27,11.2,8303.5,70.525,0.55728,1.8228,1.4108,5462.2
4687507245097014144,28,11.2,6624.8,151.31,0.02,1.404,0.36539,4049.5
4687507245097014144,67,11.2,8955.2,1168.5,0.02,1.0371,4.1782,3871.1
4687508413319210368,27,13.4,473.17,0.2078,2.1441,10,0.081716,295.74
4687508413319210368,28,13.4,501.91,0.4625,0.96795,2.123,0.086748,551.94
4687508413319210368,67,13.4,471.22,107.89,0.02,1.3849,0.10232,6011.7
4687508413319210368,68,13.4,472.26,0.41429,1.6676,2.3377,0.086224,796.03
4687513910877142528,27,14.1,249.53,0.32132,2.4219,4.5778,0.079484,780.49
4687513910877142528,28,14.1,316.89,0.48775,0.83178,10,0.10774,457.2
4687513910877142528,67,14.1,336.09,3.0005,1.087,1.821,0.14317,3884
4687513910877142528,68,14.1,295.7,3.0937,1.0577,1.6946,0.091738,5357.5
4688962517474878720,27,13.5,405.26,1.1343,0.28252,0.98743,0.13859,343.32
4688962517474878720,28,13.5,375.19,0.70406,1.3623,7.984,0.097894,1534.8
4688962517474878720,67,13.5,504.26,1.8872,1.1617,10,0.25126,1632.6
4688962517474878720,68,13.5,350.14,0.98845,1.3813,1.8637,0.1308,1395.5
4688967289176997504,28,12.3,1326.6,71.246,0.02,1.2672,0.12951,4963.4
4688967289176997504,68,12.3,2542.8,85.918,0.21408,1.0897,1.0409,4985.9
4688967568356557440,27,10.7,7813.8,17.513,0.025253,1.0256,0.19832,1128.9
4688967568356557440,28,10.7,8168.6,1.0912,1.5681,1.741,0.22329,656.84
4688967568356557440,67,10.7,7805.3,7.5782,0.11907,1.0604,0.1965,2082.4
4688967568356557440,68,10.7,7997.7,2.9035,0.60131,1.2544,0.20246,1848.9
4689002851458876800,28,11.4,3889.1,5.5856,0.23761,1.1262,0.43816,707.06
4689002851458876800,67,11.4,3501.2,6.0995,0.38932,1.2853,0.34344,1890.9
4689002851458876800,68,11.4,3214.6,17.004,0.48978,1.5972,0.63654,3500.6
4689054670286883968,27,13,922.86,0.48523,0.92425,3.2058,0.12583,282.31
4689054670286883968,28,13,1035.6,9.0143,0.17092,1.1541,0.14153,3685.1
4689054670286883968,67,13,939.67,1.0697,0.40614,1.6509,0.098712,968.82
4689054670286883968,68,13,929.87,1.3837,0.40551,1.0774,0.095819,1418.5
4689057346006300544,27,11.9,2036.7,4.124,0.379,1.8584,0.12087,3361.3
4689057346006300544,28,11.9,2176.5,20.269,0.068288,1.1108,0.13177,4214.3
4689057346006300544,67,11.9,2093,32.474,0.17525,1.5493,0.17822,8110.9
4689057346006300544,68,11.9,2190.7,7.0469,0.24409,1.2423,0.14269,3932.3
4689058892200836096,27,13,1210.9,7.7657,0.02,0.81839,0.21376,559.5
4689058892200836096,28,13,1427.1,8.5796,0.14414,1.1446,0.19249,2619
4689058892200836096,67,13,1240.9,6.1446,0.02,0.75061,0.16928,629.02
4689058892200836096,68,13,1201.1,17.392,0.56239,1.2381,0.29927,5509.7
4689058999614762368,27,13.5,389.87,0.95016,0.92175,2.8069,0.1357,888.51
4689058999614762368,28,13.5,617.5,3.1113,0.53387,1.4053,0.1937,1951.6
4689061920192649984,27,13.1,838.12,0.52477,1.1204,2.4004,0.11516,459.28
4689061920192649984,28,13.1,807.25,3.4843,0.19577,1.063,0.1011,2421.7
4689061920192649984,67,13.1,941.42,3.9854,0.38274,1.3884,0.14466,3099.4
4689061920192649984,68,13.1,810.91,19.946,0.39049,1.1893,0.23361,5966.5
4689074598938187776,27,14.3,222.91,1.3406,0.02,0.55043,0.1112,98.511
4689074598938187776,28,14.3,211.5,0.46178,1.1755,8.7489,0.086853,850.03
4690500047016009728,28,12.6,1652.4,1.5188,0.33275,1.4321,0.16278,539.35
4690500047016009728,67,12.6,1579.2,19.239,0.02,0.88639,0.27105,1070.5
4690500047016009728,68,12.6,1403.9,13.029,0.23088,1.1569,0.24572,3991.6
4690500184455105536,28,12.5,2106.9,10.974,0.16166,1.1811,0.25177,2779.6
4690500184455105536,67,12.5,1846.9,201.16,0.02,1.3074,0.21718,5973.7
4690500184455105536,68,12.5,1983.1,13.862,0.14688,1.1191,0.21776,3843.9
4690502280398443776,28,13.9,853.14,5.1539,0.15899,1.1511,0.27433,879.75
4690506914646214912,28,12.1,2201.5,0.50226,1.5692,5.142,0.19804,203.44
4690506914646214912,67,12.1,2205.3,64.706,0.02,1.1192,0.2209,3476.3
4690506914646214912,68,12.1,2040.1,5.3651,0.28743,1.1336,0.18751,2681.5
4690507670561677696,28,12.6,1704.7,12.876,0.28674,1.1844,0.8515,1122.8
4690507670561677696,67,12.6,981.65,40.401,0.10031,1.0794,0.38448,4738.7
4690507670561677696,68,12.6,1439.9,4.2764,0.25256,1.276,0.30501,927.02
4690507881037706112,28,13.1,651.72,1.5546,0.087156,0.98299,0.088984,384.49
4690507881037706112,67,13.1,593.9,1.3238,1.0761,2.4333,0.094743,2898.7
4690507881037706112,68,13.1,614.5,0.53781,0.79118,1.064,0.090808,543.36
4690519769509887488,28,12.3,2694.1,45.385,0.021979,1.1263,0.17364,2982.4
4690519769509887488,67,12.3,2538.5,9.2904,0.20892,1.1978,0.16774,4256.1
4690519769509887488,68,12.3,2786.3,15.868,0.23112,1.1805,0.22785,4907.6
4690521762372716160,28,13.3,788.99,9.2836,0.02,1.0466,0.11384,716.31
4690521762372716160,67,13.3,656.76,6.2738,0.055516,1.2839,0.10573,1282.7
4690521762372716160,68,13.3,692.19,1.6361,0.21109,1.0612,0.15422,464.92
