gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white,id,lT,lL,logR_exp
4685835884339219456,27,12.3,SLF,2.894,0.8182,3267,1.403,-3366,0.02,146.3,1.098,0.1842,-3221,0.6254,0.2112,-3358,0.02,137.6,1.088,-0.2616,0.184,136.8,6633,GAIA DR3 4685835884339219456,4.228,3.992,1.224
4685835884339219456,28,12.3,SLF,5.385,0.2927,3458,1.429,-4215,0.02,190.2,1.295,0.1789,-4169,0.2436,0.1767,-4212,0.1723,30.01,10,0.1488,0.1792,42.15,7674,GAIA DR3 4685835884339219456,4.228,3.992,0.9536
4685835884339219456,67,12.3,SLF,8.995,0.2275,2633,1.097,-4909,0.02,97.29,1.093,0.1522,-4902,0.1739,0.1575,-4901,0.02,94.11,1.093,-0.4241,0.1525,-1.36,7542,GAIA DR3 4685835884339219456,4.228,3.992,0.7086
4685835884339219456,68,12.3,SLF,10.02,0.3455,2363,1.037,-3934,0.0206,130.2,1.101,0.1839,-3918,-0.08974,0.1819,-3929,0.2587,14.13,5.222,-0.1249,0.1843,11.09,6297,GAIA DR3 4685835884339219456,4.228,3.992,0.7046
4685943254211136000,27,12,SLF,1.137,0.8182,-2972,0.2819,-4324,0.142,4.901,1.095,0.1802,-4320,0.1789,0.1857,-4318,0.02,14.32,0.8994,-0.09511,0.1793,-2.148,1352,GAIA DR3 4685943254211136000,4.228,3.802,0.9894
4685943254211136000,67,12,SLF,3.643,0.2275,-1839,0.3999,-4441,0.02,42.75,1.084,0.2005,-4450,0.1762,0.2025,-4432,0.2331,3.709,10,0.1548,0.2029,-18.36,2602,GAIA DR3 4685943254211136000,4.228,3.802,0.4741
4685943254211136000,68,12,SLF,3.408,0.3455,155.9,0.6274,-3253,0.3259,7.922,1.153,0.2255,-3266,0.3529,0.2261,-3246,0.8627,1.471,10,0.3453,0.2266,-20.2,3409,GAIA DR3 4685943254211136000,4.228,3.802,0.4701
4685947553531340800,27,11.2,binary/rot,2.443,0.8182,1795,0.9608,1117,0.6006,5.836,1.204,0.7322,1131,0.4004,0.7597,1124,0.6011,5.473,1.168,-0.1394,0.7315,7.572,678.8,GAIA DR3 4685947553531340800,4.576,3.296,-1.32
4685947553531340800,28,11.2,binary/rot,3.882,0.2927,-1789,0.3883,-3507,0.02,26.66,0.9543,0.2279,-3512,0.08382,0.2321,-3504,3.51,0.298,10,-0.0291,0.2313,-8.128,1718,GAIA DR3 4685947553531340800,4.576,3.296,-1.591
4685947553531340800,67,11.2,binary/rot,6.154,0.2275,25.28,0.609,-3215,0.182,10.28,1.07,0.2365,-3209,0.3677,0.246,-3209,1.736,1.402,1.423,0.1285,0.2409,-0.1728,3240,GAIA DR3 4685947553531340800,4.576,3.296,-1.836
4685972636146149504,28,12.3,SLF,7.385,0.2927,1142,0.8039,-3038,0.3703,10.87,1.32,0.2181,-3048,0.3304,0.2218,-3040,40,0.3812,0.3864,0.293,0.06933,-7.661,4180,GAIA DR3 4685972636146149504,4.428,4.223,0.3049
4685972636146149504,67,12.3,SLF,10.72,0.2275,1642,0.8772,-4688,0.1897,18.82,1.358,0.1648,-4701,0.1282,0.1638,-4682,0.4107,6.13,2.163,0.1019,0.1648,-18.97,6330,GAIA DR3 4685972636146149504,4.428,4.223,0.05995
4685983420730442624,27,12.4,SLF,2.234,0.8182,-383,0.5487,-4429,0.2027,11.07,1.687,0.1757,-4400,0.1134,0.1757,-4421,0.183,11.78,1.705,-0.3465,0.176,21.26,4046,GAIA DR3 4685983420730442624,4.248,4.073,1.228
4685983420730442624,28,12.4,SLF,4.763,0.2927,850.4,0.7478,-4218,0.02,85.41,1.088,0.1695,-4216,0.2758,0.1758,-4215,22.25,0.1297,3.186,0.237,0.1607,-1.205,5068,GAIA DR3 4685983420730442624,4.248,4.073,0.9582
4685983420730442624,67,12.4,SLF,7.48,0.2275,929.7,0.7469,-4979,0.02,147.7,1.293,0.1698,-4974,0.05537,0.1686,-4979,0.3489,8.304,6.413,-0.01728,0.1702,4.777,5908,GAIA DR3 4685983420730442624,4.248,4.073,0.7132
4685983420730442624,68,12.4,SLF,8.287,0.3455,2199,0.9987,-3018,0.1403,21.76,1.088,0.2156,-3028,0.1041,0.2178,-3014,0.1642,15.11,10,0.09567,0.2186,-14.18,5217,GAIA DR3 4685983420730442624,4.248,4.073,0.7092
4686410997616777984,27,14.3,binary/rot,0.433,0.8182,-7748,0.08253,-8284,0.02,3.964,0.9503,0.06825,-8281,-0.1172,0.06905,-8279,0.1625,0.8812,10,-0.2521,0.06925,-2.488,536.2,GAIA DR3 4686410997616777984,4.575,3.812,-0.8959
4686410997616777984,28,14.3,binary/rot,0.8248,0.2927,-7753,0.08835,-8305,0.02,2.898,0.7708,0.07028,-8302,0.04505,0.0729,-8308,4.347,0.07987,10,-0.124,0.07159,6.585,552.5,GAIA DR3 4686410997616777984,4.575,3.812,-1.166
4686410997616777984,68,14.3,binary/rot,1.524,0.3455,-7911,0.1001,-8718,0.1889,1.103,0.9174,0.07431,-8728,-0.2117,0.07607,-8714,6.653,0.06263,3.693,-0.281,0.07526,-13.9,807.2,GAIA DR3 4686410997616777984,4.575,3.812,-1.415
4686413230999834496,27,14.3,SLF,1.255,0.8182,-4202,0.2055,-4683,0.1414,2.293,0.9361,0.1684,-4680,-0.1208,0.1734,-4675,0.0258,5.193,0.7898,-0.4577,0.1679,-4.915,481.6,GAIA DR3 4686413230999834496,4.502,3.711,-0.6839
4686413437158238208,27,12.1,SLF,2.863,0.8182,2220,1.072,-3897,0.3733,15.39,1.937,0.1883,-3887,0.3498,0.1888,-3890,0.3668,15.28,1.935,-0.2718,0.1884,2.284,6118,GAIA DR3 4686413437158238208,4.428,4.223,0.5942
4686413437158238208,28,12.1,SLF,7.118,0.2927,2856,1.23,-1561,0.4737,13.85,1.676,0.3461,-1567,0.3807,0.3403,-1554,0.498,12.57,1.732,-0.0162,0.3457,-12.53,4416,GAIA DR3 4686413437158238208,4.428,4.223,0.3239
4686413437158238208,68,12.1,SLF,10.37,0.3455,4260,1.596,-2028,0.2864,22.97,1.196,0.2372,-2038,0.2289,0.2332,-2022,1.639,2.672,10,0.2153,0.2354,-16.31,6287,GAIA DR3 4686413437158238208,4.428,4.223,0.07493
4686413540237697408,28,14.4,none,2.05,0.2867,-2220,0.3489,-2687,1.003,1.442,1.652,0.2901,-2689,0.3037,0.2915,-2681,1.752,0.8329,2.334,-0.05411,0.2906,-7.26,466.6,GAIA DR3 4686413540237697408,4.248,3.073,-0.6159
4686413810818254464,27,14.2,none,0.7782,0.8182,-6537,0.1127,-7010,0.02,5.729,1,0.09555,-7008,-0.2622,0.09608,-7004,0.247,0.8014,10,-0.4249,0.09637,-3.827,473.4,GAIA DR3 4686413810818254464,4.551,3.477,-1.235
4686413810818254464,28,14.2,none,1.595,0.2987,-7425,0.09583,-7726,0.07148,1.595,1.072,0.08573,-7738,-0.4165,0.0859,-7718,1.691,0.06326,10,-0.4564,0.08582,-19.8,300.6,GAIA DR3 4686413810818254464,4.551,3.477,-1.505
4686413810818254464,68,14.2,none,3.146,0.3905,-3842,0.2527,-6314,0.1831,4.243,1.106,0.1232,-6325,-0.1293,0.1233,-6309,0.4772,1.369,7.784,-0.1527,0.1238,-16.75,2472,GAIA DR3 4686413810818254464,4.551,3.477,-1.754
4686414467950355072,27,13,SLF,1.532,0.8182,-1328,0.4303,-2876,0.3914,4.3,1.657,0.2684,-2884,0.2077,0.2688,-2871,0.3355,3.129,10,0.1426,0.2693,-13.11,1549,GAIA DR3 4686414467950355072,4.428,4.203,0.481
4686414467950355072,68,13,SLF,3.836,0.3455,-718.9,0.5142,-4050,0.2893,6.618,1.097,0.1865,-4062,0.2202,0.189,-4044,3.853,0.4522,2.091,0.1581,0.1897,-18.34,3331,GAIA DR3 4686414467950355072,4.428,4.203,-0.03821
4687161895348646400,27,13.8,SLF,0.8692,0.8182,-4195,0.2058,-5660,1.14,1.125,2.595,0.1287,-5668,0.2775,0.1289,-5652,1.181,1.008,2.628,-0.1679,0.1287,-15.35,1465,GAIA DR3 4687161895348646400,4.453,4.084,0.1182
4687165125163949952,27,13.4,SLF,1.283,0.8182,-6044,0.1279,-7324,0.4815,1.085,1.474,0.08412,-7328,-0.1745,0.08531,-7316,3.252,0.1038,6.043,-0.2534,0.08465,-11.12,1280,GAIA DR3 4687165125163949952,4.375,3.82,0.1703
4687165125163949952,68,13.4,SLF,4.548,0.3455,-7087,0.1208,-7866,1.483,0.4629,2.499,0.09348,-7865,-0.5725,0.0919,-7861,1.96,0.2624,10,-0.7779,0.09305,-3.941,779.6,GAIA DR3 4687165125163949952,4.375,3.82,-0.3489
4687167152388524032,27,14.2,SLF,1.403,0.8182,-4120,0.2099,-5287,0.7183,1.378,2.151,0.1449,-5301,-0.05554,0.1449,-5281,0.02,2680,4.627,-0.06584,0.145,-19.33,1168,GAIA DR3 4687167152388524032,4.452,3.888,-0.1839
4687167152388524032,28,14.2,SLF,2.996,0.2927,1657,0.9137,-3121,0.069,32.85,1.002,0.183,-3091,0.8141,0.2061,-3114,0.02426,22.49,0.7677,0.591,0.171,22.84,4778,GAIA DR3 4687167152388524032,4.452,3.888,-0.4541
4687167152388524032,68,14.2,SLF,4.769,0.3455,-4073,0.2397,-5758,0.678,1.727,1.389,0.1436,-5770,-0.2597,0.1425,-5759,3.733,0.2265,10,-0.3456,0.143,-10.67,1684,GAIA DR3 4687167152388524032,4.452,3.888,-0.7031
4687426087389568768,28,14,SLF,2.442,0.2927,-3853,0.2327,-4883,1.556,0.9754,2.385,0.1632,-4872,0.2359,0.1622,-4876,1.779,0.8242,2.686,-0.3445,0.1632,3.758,1030,GAIA DR3 4687426087389568768,4.276,3.997,0.5632
4687426087389568768,67,14,SLF,3.127,0.2275,-5074,0.1928,-6374,0.2677,2.171,1.155,0.1301,-6382,0.01892,0.1318,-6367,0.1326,0.3652,0.3,-0.02964,0.113,-14.67,1300,GAIA DR3 4687426087389568768,4.276,3.997,0.3182
4687426087389568768,68,14,SLF,3.442,0.3455,-4819,0.2023,-6032,0.7152,1.307,1.694,0.1412,-6040,-0.2725,0.1392,-6024,1.187,0.632,2.723,-0.4071,0.1404,-16.13,1213,GAIA DR3 4687426087389568768,4.276,3.997,0.3142
4687478138084449536,67,12.6,SLF,6.657,0.2275,1687,0.886,-2202,0.4933,9.379,2.082,0.3326,-2189,0.2673,0.327,-2195,0.5636,7.967,2.358,-0.0995,0.3319,6.297,3889,GAIA DR3 4687478138084449536,4.428,4.223,0.03146
4687485491055825536,27,12.4,SLF,2.425,0.8182,-969.8,0.4718,-5546,0.02,83.08,1.196,0.1213,-5505,0.1276,0.1278,-5537,0.02,77.72,1.185,-0.5585,0.1213,31.8,4576,GAIA DR3 4687485491055825536,4.279,4.006,0.987
4687485491055825536,28,12.4,SLF,4.534,0.2927,41.15,0.6117,-6057,0.2571,10.78,2.105,0.1216,-5990,0.009115,0.1174,-6051,0.3424,8.27,2.65,-0.3525,0.1205,61.33,6098,GAIA DR3 4687485491055825536,4.279,4.006,0.7168
4687485491055825536,67,12.4,SLF,7.957,0.2275,3372,1.296,-5073,0.09279,61.91,1.576,0.1619,-5020,0.1734,0.1568,-5070,0.3015,19.24,2.757,0.03557,0.1599,49.62,8445,GAIA DR3 4687485491055825536,4.279,4.006,0.4718
4687485491055825536,68,12.4,SLF,8.949,0.3455,-72.3,0.5957,-4598,0.2462,9.358,1.15,0.1563,-4611,-0.1146,0.1561,-4592,0.269,4.317,10,-0.1199,0.1564,-19.01,4526,GAIA DR3 4687485491055825536,4.279,4.006,0.4678
4687501953697501568,27,14,binary/rot,0.6592,0.8182,-4793,0.1765,-7195,0.1971,3.04,1.252,0.08399,-7178,0.2962,0.08649,-7187,0.1743,3.185,1.222,-0.3141,0.08397,9.217,2402,GAIA DR3 4687501953697501568,4.476,3.984,-0.1481
4687501953697501568,28,14,binary/rot,1.469,0.2927,-1345,0.4336,-6452,0.4294,5.96,2.328,0.1088,-6388,0.5088,0.1043,-6498,0.6468,3.66,10,0.193,0.1074,109.7,5107,GAIA DR3 4687501953697501568,4.476,3.984,-0.4184
4687501953697501568,67,14,binary/rot,2.367,0.2275,-4835,0.2034,-7238,0.1291,4.581,1.16,0.105,-7250,0.1527,0.1062,-7232,0.2148,0.5048,0.7038,0.1087,0.1037,-18.53,2404,GAIA DR3 4687501953697501568,4.476,3.984,-0.6634
4687501953697501568,68,14,binary/rot,2.51,0.3455,-4914,0.198,-7260,0.2283,2.816,1.025,0.09402,-7271,-0.008962,0.09627,-7250,0.7935,0.03731,1.218,-0.009207,0.09627,-21,2346,GAIA DR3 4687501953697501568,4.476,3.984,-0.6674
4687509749039520768,27,13.4,SLF,0.8127,0.8182,-4782,0.177,-6653,0.1781,2.989,1.169,0.09733,-6640,0.1943,0.1004,-6645,0.1198,3.584,1.091,-0.2904,0.09713,5.011,1871,GAIA DR3 4687509749039520768,4.428,3.983,0.1385
4687509749039520768,28,13.4,SLF,1.624,0.2927,-5452,0.1564,-7403,0.2192,2.174,1.088,0.08296,-7405,0.2046,0.0851,-7398,2.772,0.2373,2.159,0.02117,0.0846,-7.381,1951,GAIA DR3 4687509749039520768,4.428,3.983,-0.1317
4687509749039520768,67,13.4,SLF,2.808,0.2275,-5051,0.1938,-7146,0.1511,3.403,1.149,0.1087,-7158,0.03766,0.1096,-7146,3.541,0.1399,10,-0.06033,0.1094,-11.55,2096,GAIA DR3 4687509749039520768,4.428,3.983,-0.3767
4687509749039520768,68,13.4,SLF,2.728,0.3455,-5629,0.1683,-7857,0.4336,1.664,1.271,0.08743,-7870,-0.1758,0.08674,-7850,0.5908,0.7768,1.478,-0.2452,0.08718,-20.52,2228,GAIA DR3 4687509749039520768,4.428,3.983,-0.3807
4687513910877142528,27,14.1,none,0.5448,0.7146,-6743,0.1069,-7524,2.422,0.3213,4.578,0.07948,-7456,0.4673,0.0799,-7515,2.464,0.3108,4.749,-0.5153,0.07949,59.38,780.5,GAIA DR3 4687513910877142528,4.528,3.811,-0.6472
4687513910877142528,28,14.1,none,1.264,0.2867,-6356,0.125,-6813,0.8318,0.4878,10,0.1077,-6809,-0.02552,0.1061,-6807,0.8318,0.4305,10,-0.3846,0.1072,-2.671,457.2,GAIA DR3 4687513910877142528,4.528,3.811,-0.9174
