shift_log_nu,shift_log_amp,expected_det,observed_det,median_lnu_true,median_lnu_naive_expected
0.000,0.000,0.333,0.247,-0.124,-0.354
0.000,-0.300,0.237,0.247,-0.124,-0.385
0.000,-0.600,0.173,0.247,-0.124,-0.415
0.000,-1.000,0.138,0.247,-0.124,-0.492
-0.200,0.000,0.284,0.247,-0.324,-0.475
-0.200,-0.300,0.214,0.247,-0.324,-0.502
-0.200,-0.600,0.169,0.247,-0.324,-0.542
-0.200,-1.000,0.147,0.247,-0.324,-0.560
-0.400,0.000,0.271,0.247,-0.524,-0.639
-0.400,-0.300,0.212,0.247,-0.524,-0.635
-0.400,-0.600,0.175,0.247,-0.524,-0.609
-0.400,-1.000,0.158,0.247,-0.524,-0.610
-0.600,0.000,0.272,0.247,-0.724,-0.839
-0.600,-0.300,0.215,0.247,-0.724,-0.835
-0.600,-0.600,0.180,0.247,-0.724,-0.791
-0.600,-1.000,0.163,0.247,-0.724,-0.809
