id,sector,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,dbic_slf_vs_white
ALS_8294,43,1669.3,0.93056,-295.44,2.4314,3.8597,1.1176,0.2861,1964.8
ALS_8294,44,2015,1.0188,43.183,0.78236,6.7174,0.83243,0.26111,1971.9
ALS_8294,45,2111.5,1.0364,0.55068,1.3,5.5858,0.91117,0.23705,2110.9
ALS_8294,59,1924.1,0.97487,-172.74,2.0674,4.3427,1.0179,0.24746,2096.8
BD_+33_1025,43,-592.39,0.51981,-1595.9,2.9376,1.7079,1.5984,0.32393,1003.5
BD_+33_1025,44,-600.94,0.51842,-1552.8,2.2787,1.8901,1.3195,0.324,951.88
BD_+33_1025,45,-1093,0.4584,-1559.5,6.1559,0.88397,2.3284,0.3414,466.49
BD_+33_1025,59,-1479.9,0.41978,-1967.7,1.6706,1.4548,0.88284,0.29369,487.73
BD_+36_4063,14,23303,138.76,12437,0.02,38558,1.347,6.6146,10866
BD_+36_4063,15,20313,152.02,12574,0.02,28998,1.2142,11.309,7739.6
BD_+36_4063,41,22980,136.04,11049,0.02,45928,1.4115,4.6301,11930
BD_+36_4063,55,23313,130.97,10263,0.02,35798,1.3626,2.8428,13050
BD_+36_4145,14,9873.8,6.0559,5215.2,3.2141,24.087,1.5399,0.54422,4658.6
BD_+36_4145,15,8406.3,5.9593,4848.2,3.6325,22.239,1.5871,0.78807,3558.1
BD_+36_4145,41,9188.6,5.2775,4544.8,3.1617,21.093,1.5377,0.47968,4643.9
BD_+36_4145,55,9744.9,5.7306,4743.7,3.252,22.71,1.6068,0.50125,5001.2
BD_+39_1328,86,14308,17.688,4747.6,0.98134,138.04,1.9847,1.0744,9560.5
BD_+60_2522,84,16105,30.414,6252.8,1.8362,165.77,2.1035,0.93036,9852.2
BD_+60_2522,85,16202,32.496,7367.8,1.7809,181.47,2.0741,1.5599,8834.3
BD_+60_2635,84,2821.6,1.2026,284.25,3.6343,4.3074,1.3193,0.27786,2537.3
BD_+60_2635,85,4029.8,1.6306,1042.2,3.1266,6.3308,1.2714,0.25191,2987.6
BD_+62_2078,16,3032.2,1.3458,1233.5,0.02,48.852,0.67392,0.53162,1798.7
BD_+62_2078,17,2520,1.1792,1508.1,1.5686,5.2208,0.99867,0.64864,1012
BD_+62_2078,24,2882.2,1.1973,1316.2,0.37274,10.348,0.77784,0.52299,1566
BN_Gem,44,16828,47.147,8314.3,1.9553,246.24,2.0213,1.7166,8513.7
BN_Gem,45,16454,42.241,9941.8,1.7287,238.14,1.7779,3.5705,6512.5
BN_Gem,46,17213,39.657,9145.5,2.5161,187.54,2.1398,2.0026,8067.4
BN_Gem,71,16317,45.789,8978.3,2.2063,227.89,2.0843,2.689,7338.8
CPD-47_2963,8,17312,51.988,8406.5,2.0837,267.99,2.3625,2.3125,8906
CPD-47_2963,9,16665,42.869,8245.5,1.6697,245.46,2.0075,2.1141,8419.2
CPD_-47_2963,8,17312,51.988,8406.5,2.0837,267.99,2.3625,2.3125,8906
CPD_-47_2963,9,16665,42.869,8245.5,1.6697,245.46,2.0075,2.1141,8419.2
CYG_OB2-11,41,15773,24.899,4799.8,1.6404,149.07,2.2803,0.77829,10973
CYG_OB2-11,55,15268,20.484,4708.2,1.9601,111.21,2.3572,0.74349,10560
CYG_OB2-11,56,16307,23.6,5429.1,1.4892,148.11,2.0654,0.80581,10878
CYG_OB2-11,75,16010,22.587,4795.5,1.8105,126.3,2.3051,0.71885,11215
CYG_OB2-9,41,13260,13.774,4463.4,1.9825,72.511,2.1917,0.80623,8796.6
CYG_OB2-9,55,13012,12.173,3294.7,1.9722,63.964,2.1881,0.53028,9717.1
CYG_OB2-9,75,13605,13.115,3898,1.9134,70.302,2.1358,0.60453,9707.2
Cyg_OB2-24,41,1401,0.84238,-985.36,3.4598,3.0545,1.4742,0.28297,2386.4
Cyg_OB2-24,55,1613.3,0.87849,-795.37,3.961,2.9654,1.5845,0.30226,2408.6
Cyg_OB2-24,75,1347.8,0.82124,-1438.3,3.1958,3.1373,1.4709,0.25009,2786
Cyg_OB2-5,14,32455,1172.8,22926,0.025864,1e+05,1.1082,63.425,9529.5
Cyg_OB2-5,15,27599,1112.4,18760,0.039916,1e+05,1.3273,67.288,8839.3
Cyg_OB2-5,41,30896,878.59,18229,0.029326,1e+05,1.2845,17.509,12667
Cyg_OB2-5,55,32052,982.96,20145,0.03523,1e+05,1.333,36.939,11907
Cyg_X-1,14,22035,103.24,12032,0.10229,4123.4,1.2721,4.2625,10003
Cyg_X-1,54,20999,91.144,10564,0.071945,5761,1.3164,3.3997,10435
Cyg_X-1,55,21378,83.826,8580.9,0.36236,1255.5,1.6697,1.9908,12797
Cyg_X-1,74,21294,89.332,10611,0.16941,2385.5,1.3568,2.8298,10683
HDE_227245,41,6020.6,2.5017,2543.7,3.1921,9.8549,1.5322,0.53414,3476.9
HDE_227245,54,6691.5,2.9925,2472.3,3.8561,10.983,1.8472,0.49862,4219.2
HDE_227245,55,5324.7,2.0676,1969.7,2.7239,8.7392,1.3243,0.39611,3354.9
HDE_227245,74,5803.2,2.3616,2071.1,3.4537,9.0098,1.6095,0.45436,3732.1
HDE_229196,41,20817,81.737,9337.2,0.02,28997,1.3377,2.0334,11480
