gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685835884339219456,27,12.3,SLF,2.894,0.81815,3266.9,1.4028,-3365.7,0.02,146.29,1.0979,0.18415,-3221.3,0.62538,0.21119,-3358.1,0.02,137.59,1.0878,-0.26156,0.18396,136.78,6632.6
4685835884339219456,28,12.3,SLF,5.3846,0.29271,3458.2,1.4288,-4215.4,0.02,190.23,1.2954,0.17888,-4169.4,0.24359,0.1767,-4211.5,0.17233,30.01,10,0.14879,0.17922,42.146,7673.6
4685835884339219456,67,12.3,SLF,8.9953,0.22745,2632.7,1.0969,-4909.4,0.02,97.29,1.0928,0.15216,-4902.1,0.17395,0.15747,-4900.8,0.02,94.111,1.0926,-0.4241,0.15245,-1.3601,7542.1
4685835884339219456,68,12.3,SLF,10.018,0.34547,2363.3,1.0367,-3933.7,0.020596,130.25,1.1005,0.18388,-3917.7,-0.089741,0.1819,-3928.8,0.25868,14.132,5.2218,-0.12493,0.18429,11.088,6297
4685854571724688768,27,12.9,SLF,3.8829,0.81815,3767.1,1.6367,1623.9,0.02,202.58,1.1746,0.85905,1650.9,0.35052,0.86836,1631.8,0.02,198.08,1.1777,-0.32472,0.8598,19.083,2143.2
4685854571724688768,28,12.9,SLF,6.5464,0.29271,2077.5,1.0142,-2808.4,0.02,101.23,1.0533,0.23991,-2806.7,0.29849,0.24859,-2800.8,0.02,94.235,1.047,-0.24763,0.24025,-5.8506,4886
4685854571724688768,67,12.9,SLF,12.039,0.22745,937.94,0.7483,-4356,0.053706,38.005,1.1433,0.18311,-4365.3,0.0034915,0.1864,-4345.4,0.040276,1e+05,10,6.6642e-05,0.18653,-19.831,5293.9
4685943121123943680,27,11,SLF,1.4395,0.81815,-3202.1,0.26571,-6080.9,0.02,31.423,1.1627,0.11539,-6048.5,0.011141,0.11699,-6070.9,0.02,31.196,1.1692,-0.64021,0.11553,22.388,2878.7
4685943121123943680,28,11,SLF,2.7693,0.29271,-3470,0.25584,-7035.1,0.02,42.492,1.3164,0.097581,-7020,-0.11483,0.096558,-7039.2,0.31765,3.0748,10,-0.31421,0.097933,19.247,3565.2
4685943121123943680,67,11,SLF,5.1393,0.22745,-3421,0.27986,-6348.7,0.079538,9.512,1.1028,0.12491,-6358.1,-0.010603,0.12703,-6346.5,3.6647,0.18858,8.1837,-0.099383,0.12731,-11.551,2927.7
4685943121123943680,68,11,SLF,4.7957,0.34547,-3713.7,0.26018,-6756.2,0.02,28.55,1.0677,0.11441,-6749.3,-0.34385,0.11341,-6770.7,0.36177,2.6898,10,-0.46129,0.1155,21.47,3042.5
4685943254211136000,27,12,SLF,1.1367,0.81815,-2971.8,0.28192,-4324.1,0.14198,4.9014,1.0952,0.18022,-4320.1,0.17886,0.18573,-4317.9,0.02,14.325,0.89944,-0.095107,0.17931,-2.1484,1352.3
4685943254211136000,67,12,SLF,3.6426,0.22745,-1838.7,0.39994,-4440.7,0.02,42.753,1.0844,0.20051,-4449.9,0.17625,0.20249,-4431.6,0.23313,3.7091,10,0.15476,0.2029,-18.356,2602
4685943254211136000,68,12,SLF,3.4077,0.34547,155.93,0.62743,-3252.7,0.32588,7.9216,1.1526,0.22549,-3266.1,0.35287,0.22609,-3245.9,0.86268,1.4706,10,0.34528,0.22662,-20.204,3408.6
4685945010910000640,27,13.6,none,0.39125,0.92175,-5187.4,0.15946,-6961.4,0.71455,1.1893,2.2565,0.093012,-6971.4,0.36671,0.092853,-6956.3,0.93515,0.65838,10,0.25419,0.093206,-15.087,1774
4685945010910000640,68,13.6,none,1.6879,0.30046,-3644.6,0.2643,-7212.2,0.67505,2.331,1.7729,0.10087,-7197.6,0.25125,0.096401,-7207.8,0.92962,1.6456,2.4943,0.043287,0.099482,10.219,3567.6
4685947553531340800,27,11.2,binary/rot,2.4433,0.81815,1795.3,0.96078,1116.6,0.60064,5.8362,1.2042,0.73216,1131.4,0.40041,0.75968,1123.8,0.60111,5.4735,1.1683,-0.13935,0.73151,7.5719,678.75
4685947553531340800,28,11.2,binary/rot,3.8823,0.29271,-1789,0.38835,-3506.8,0.02,26.655,0.95427,0.2279,-3512.4,0.083824,0.23215,-3504.3,3.5096,0.298,10,-0.029099,0.23133,-8.1282,1717.8
4685947553531340800,67,11.2,binary/rot,6.1545,0.22745,25.28,0.60904,-3214.7,0.18196,10.282,1.0697,0.23653,-3209,0.36768,0.24598,-3208.8,1.7365,1.4018,1.4232,0.12846,0.24087,-0.17279,3240
4685959373284393728,28,13.9,none,0.75942,0.28674,-4206.1,0.21311,-6740.4,0.47646,2.1494,1.8334,0.10329,-6745.1,0.52429,0.10201,-6733.5,0.48608,2.0616,1.8718,-0.029551,0.10323,-11.68,2534.3
4685959373284393728,67,13.9,none,1.8962,0.22745,-3603.1,0.26859,-4379.3,0.02,18.983,1.0633,0.21478,-4390,0.12566,0.2156,-4372.3,0.26453,1.6758,10,0.069797,0.21611,-17.679,776.22
4685959373284393728,68,13.9,none,1.6011,0.39049,-1934,0.39002,-3670.4,0.066264,12.923,1.0635,0.23757,-3675.4,0.2765,0.23672,-3665.2,0.45371,2.6496,3.7796,0.20247,0.23871,-10.183,1736.4
4685972636146149504,28,12.3,SLF,7.3845,0.29271,1141.7,0.8039,-3038.4,0.37029,10.874,1.3201,0.21808,-3048,0.33041,0.22182,-3040.3,40,0.38118,0.38638,0.29298,0.069334,-7.6613,4180.1
4685972636146149504,67,12.3,SLF,10.716,0.22745,1642.2,0.87718,-4688.1,0.18966,18.823,1.3583,0.16476,-4700.9,0.1282,0.16382,-4681.9,0.41067,6.1304,2.1631,0.10191,0.16475,-18.971,6330.4
4685976621875402368,28,13,SLF,2.7703,0.29271,-4074.2,0.22021,-6254.2,0.28268,2.8604,1.2596,0.11273,-6266,0.068498,0.11373,-6247.3,0.69512,0.73354,1.2897,-0.034834,0.11293,-18.694,2180
4685976621875402368,67,13,SLF,5.3413,0.22745,-4316.4,0.22866,-5474.3,0.02,11.728,0.89068,0.16116,-5477.1,-0.24321,0.16493,-5468.9,3.8675,0.17518,5.7815,-0.35239,0.16352,-8.2391,1157.8
4685976621875402368,68,13,SLF,4.6745,0.34547,-4201,0.23288,-6212.1,0.36997,2.4216,1.2304,0.12893,-6225.2,-0.29135,0.12825,-6207.5,1.9643,0.29079,10,-0.33146,0.1289,-17.705,2011.2
4685983420730442624,27,12.4,SLF,2.2338,0.81815,-382.96,0.54867,-4428.7,0.2027,11.066,1.6867,0.17574,-4399.5,0.11343,0.17568,-4420.7,0.18296,11.781,1.7048,-0.34652,0.17598,21.259,4045.7
4685983420730442624,28,12.4,SLF,4.7635,0.29271,850.44,0.74783,-4217.9,0.02,85.405,1.0884,0.16947,-4216.3,0.27583,0.17584,-4215.1,22.247,0.12967,3.1857,0.23697,0.16067,-1.2051,5068.4
4685983420730442624,67,12.4,SLF,7.4799,0.22745,929.69,0.74691,-4978.6,0.02,147.67,1.2927,0.16981,-4973.9,0.05537,0.16861,-4978.6,0.34887,8.3044,6.4131,-0.017276,0.17021,4.7775,5908.3
4685983420730442624,68,12.4,SLF,8.2874,0.34547,2199.3,0.99871,-3017.6,0.1403,21.758,1.0882,0.21559,-3028,0.10411,0.21782,-3013.9,0.16422,15.105,10,0.095669,0.21864,-14.176,5217
4685987857514223744,28,13.7,none,1.4131,0.28674,-2804.5,0.30181,-4617.1,0.5502,2.5599,2.4991,0.1807,-4613.8,0.35362,0.17793,-4610.6,0.58292,2.3142,2.8561,-0.020514,0.18014,-3.2655,1812.7
4686408111398825728,27,12.6,none,1.84,0.92175,-5667.4,0.14094,-6908,0.3943,1.2886,1.3732,0.09389,-6910.1,-0.34729,0.095008,-6898.5,0.19706,1.7063,1.1773,-0.62698,0.093864,-11.615,1240.6
4686408111398825728,28,12.6,none,3.3895,0.28674,-2898.7,0.29483,-5636.8,0.56474,2.7125,1.7905,0.13322,-5646,0.071019,0.13143,-5633.8,1.5525,0.66232,5.7824,-0.032024,0.13243,-12.239,2738.1
4686408111398825728,68,12.6,none,5.8128,0.30046,1117.2,0.78078,-3932.9,0.41873,8.6688,1.1221,0.14261,-3936.6,0.38444,0.14934,-3926,0.57315,5.7022,1.1326,0.054421,0.14336,-10.646,5050.1
4686410550940229888,27,14,SLF,0.79537,0.81815,-5939.1,0.13142,-6339.9,0.02,5.7036,0.94115,0.11315,-6342.6,-0.22461,0.11425,-6334.5,0.02,82431,6.8609,-0.30007,0.11438,-8.0492,400.75
4686410550940229888,28,14,SLF,1.4778,0.29271,-8040.4,0.082261,-8127,0.77922,0.22473,1.5662,0.077947,-8135.9,-0.50633,0.078255,-8119.3,2.4257,0.062127,10,-0.60231,0.077899,-16.674,86.596
4686410550940229888,68,14,SLF,2.5081,0.34547,-794.62,0.50543,-5695.3,0.41415,5.9229,1.296,0.12227,-5703.9,0.35892,0.11845,-5696.9,1.4409,1.3238,10,0.32413,0.12017,-6.9936,4900.7
4686410688379157888,27,13.2,SLF,1.3977,0.81815,-7166.2,0.095853,-7380.5,0.29825,0.50313,8.7953,0.089316,-7360.4,-0.73114,0.08884,-7366.2,0.2935,0.49522,9.2118,-1.1782,0.089084,5.8014,214.25
4686410688379157888,28,13.2,SLF,2.6956,0.29271,-7332.8,0.098061,-7496.5,1.0085,0.28593,1.7833,0.090266,-7500.9,-0.55646,0.090615,-7489.1,1.9087,0.12675,7.1142,-0.77551,0.090452,-11.732,163.77
4686410688379157888,68,13.2,SLF,4.6816,0.34547,-7181.6,0.11821,-7963.6,0.36686,0.92998,1.148,0.090973,-7975.4,-0.66824,0.091127,-7959.5,1.5024,0.19416,10,-0.74997,0.091659,-15.905,781.96
4686410997616777984,27,14.3,binary/rot,0.43305,0.81815,-7748.3,0.082525,-8284.5,0.02,3.9644,0.95028,0.068248,-8281.1,-0.11723,0.069046,-8278.6,0.16245,0.88124,10,-0.25214,0.069255,-2.4883,536.19
4686410997616777984,28,14.3,binary/rot,0.82485,0.29271,-7752.6,0.088354,-8305.2,0.02,2.8982,0.77076,0.070277,-8301.8,0.045052,0.072904,-8308.4,4.3472,0.079865,10,-0.12401,0.071593,6.5845,552.51
4686410997616777984,68,14.3,binary/rot,1.5235,0.34547,-7911.3,0.10013,-8718.5,0.18887,1.1035,0.91737,0.074308,-8727.6,-0.21165,0.076069,-8713.7,6.6527,0.062635,3.6934,-0.28096,0.075261,-13.896,807.24
4686413230999834496,27,14.3,SLF,1.2548,0.81815,-4201.8,0.20547,-4683.3,0.14135,2.2927,0.93609,0.16845,-4679.8,-0.12084,0.17345,-4674.9,0.0258,5.193,0.78977,-0.4577,0.16791,-4.9151,481.55
4686413437158238208,27,12.1,SLF,2.8632,0.81815,2220.1,1.0717,-3897.4,0.37334,15.388,1.9366,0.18834,-3887.4,0.34977,0.18875,-3889.7,0.36675,15.278,1.9352,-0.27177,0.18841,2.2844,6117.5
4686413437158238208,28,12.1,SLF,7.1182,0.29271,2855.5,1.2302,-1561,0.47368,13.852,1.6762,0.34606,-1566.6,0.38069,0.34032,-1554.1,0.49802,12.566,1.7323,-0.016198,0.34571,-12.526,4416.5
4686413437158238208,68,12.1,SLF,10.374,0.34547,4259.7,1.5958,-2027.6,0.28642,22.971,1.1961,0.2372,-2038.3,0.22895,0.23316,-2022,1.6393,2.6724,10,0.21533,0.23536,-16.31,6287.3
4686413540237697408,28,14.4,none,2.0503,0.28674,-2220,0.34894,-2686.6,1.0026,1.4419,1.6518,0.29012,-2688.6,0.30372,0.29147,-2681.3,1.7524,0.83294,2.3342,-0.054107,0.29061,-7.26,466.59
4686413810818254464,27,14.2,none,0.77815,0.81815,-6536.7,0.1127,-7010.1,0.02,5.7286,1.0003,0.095554,-7007.5,-0.26222,0.096077,-7003.7,0.24703,0.80145,10,-0.42493,0.096365,-3.8268,473.41
4686413810818254464,28,14.2,none,1.5953,0.29868,-7425.4,0.095832,-7725.9,0.071479,1.5952,1.0719,0.08573,-7738.1,-0.41646,0.085901,-7718.3,1.6914,0.06326,10,-0.45641,0.085825,-19.803,300.58
4686413810818254464,68,14.2,none,3.1464,0.39049,-3842.3,0.25268,-6314,0.18313,4.2426,1.1059,0.12324,-6325.4,-0.12934,0.12327,-6308.6,0.47724,1.3691,7.784,-0.15266,0.12378,-16.749,2471.7
4686414467950355072,27,13,SLF,1.5316,0.81815,-1327.6,0.43032,-2876.4,0.39142,4.3002,1.6573,0.26837,-2884.1,0.20768,0.26877,-2871,0.33549,3.1293,10,0.14255,0.26933,-13.111,1548.8
4686414467950355072,68,13,SLF,3.8363,0.34547,-718.9,0.51421,-4049.8,0.28935,6.6181,1.0967,0.1865,-4062.5,0.22021,0.18897,-4044.2,3.8528,0.45219,2.0906,0.15809,0.18967,-18.344,3330.9
4686417148009897344,27,13.4,none,0.97064,0.81815,-5768.5,0.13732,-7517.4,0.02,11.162,1.0331,0.080282,-7501.1,-0.10315,0.081915,-7509.5,0.02,9.7845,1.0315,-0.49524,0.08059,8.3306,1748.9
4686417148009897344,28,13.4,none,1.623,0.29868,-4681.1,0.18941,-6979.6,0.10076,4.6108,1.0231,0.090809,-6982.2,0.2662,0.094399,-6973.9,0.16474,0.64084,0.59474,0.17766,0.08651,-8.3038,2298.5
4686417148009897344,68,13.4,none,3.2528,0.39049,-3341.2,0.28319,-6695.4,0.074474,8.2779,0.91196,0.094426,-6698.4,0.014576,0.10183,-6695.5,14.102,0.083123,10,-0.03715,0.099324,-2.8696,3354.2
4687158592506675328,27,12.3,SLF,2.5197,0.81815,-743.62,0.50006,-5468.2,0.02,39.061,0.9835,0.11295,-5352.9,0.2287,0.12991,-5459.7,0.02,35.245,0.96659,-0.46492,0.11279,106.83,4724.6
4687158592506675328,68,12.3,SLF,8.3704,0.34547,2219.4,1.0033,-3074.3,0.38598,11.598,1.138,0.17888,-3085.9,0.2235,0.18226,-3096.8,10.626,0.34601,10,0.1449,0.18644,10.881,5293.6
4687159868124113152,27,10,none,9.9921,0.81815,858.59,0.75507,-1225,0.02,15.265,0.55206,0.18497,-1002.2,-0.25419,0.42761,-1250.5,22.013,0.5728,2.3576,-0.36467,0.24926,248.24,2083.6
4687159868124113152,28,10,none,18.307,0.28674,9945.2,7.1513,4406.6,0.74715,58.874,1.7661,1.3979,4419.6,0.76679,1.3785,4413.6,0.76215,57.205,1.7759,-0.058658,1.3976,5.9942,5538.6
