gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685945010910000640,27,13.6,0.3,0.5,0.19563,0.39125,0.92175,-5185.1,0.15955,-6957.2,0.71362,1.1922,2.2402,0.093066,-6967.5,0.36852,0.092929,-6952.5,0.93806,0.65966,10,0.25446,0.093293,-14.992,1772.2
4685945010910000640,27,13.6,0.3,1,0.39125,0.39125,0.92175,-5182,0.15968,-6956.4,0.72934,1.1777,2.2393,0.092975,-6967.2,0.37354,0.092868,-6951.4,0.9456,0.63445,10,0.27145,0.0932,-15.752,1774.4
4685945010910000640,27,13.6,0.3,2,0.78251,0.39125,0.92175,-5116.5,0.16239,-6937.4,0.69887,1.2392,2.1527,0.093249,-6947.9,0.38333,0.093222,-6931.9,0.93401,0.64875,10,0.28499,0.09356,-16.068,1820.9
4685945010910000640,27,13.6,0.3,4,1.565,0.39125,0.92175,-4251.6,0.20285,-6920.2,0.51861,1.9973,2.0312,0.092987,-6919.9,0.45963,0.092832,-6913.2,0.49751,1.9872,2.0225,-0.06207,0.093001,-6.7629,2668.5
4685945010910000640,27,13.6,0.3,8,3.13,0.39125,0.92175,-2865.8,0.28971,-6567.7,0.15791,6.2532,1.2337,0.093682,-6534.6,0.70604,0.098698,-6562.4,0.02,24.47,1.0211,0.39039,0.092654,27.782,3701.9
4685945010910000640,27,13.6,0.3,16,6.2601,0.39125,0.92175,-967.7,0.47205,-6405.8,0.11127,16.243,1.3262,0.094126,-6353.3,0.8951,0.099406,-6398.8,0.10608,16.765,1.3182,-0.065531,0.094091,45.505,5438.1
4685945010910000640,27,13.6,0.7,0.5,0.19563,0.39125,0.92175,-5141.4,0.16135,-6956.1,0.71669,1.2082,2.2562,0.093034,-6966.1,0.37455,0.09288,-6950.5,0.94492,0.64864,10,0.2701,0.09321,-15.675,1814.6
4685945010910000640,27,13.6,0.7,1,0.39125,0.39125,0.92175,-4964.4,0.16887,-6957.4,0.61263,1.4168,2.0964,0.092878,-6964.5,0.38539,0.092771,-6952.2,0.50796,1.0148,10,0.31253,0.093003,-12.387,1993
4685945010910000640,27,13.6,0.7,2,0.78251,0.39125,0.92175,-4684.5,0.18147,-6902.3,0.71587,1.4259,2.0616,0.092653,-6913.3,0.4685,0.092866,-6895.4,0.69581,1.3772,2.0303,-0.014791,0.092651,-17.992,2217.7
4685945010910000640,27,13.6,0.7,4,1.565,0.39125,0.92175,-3389,0.25324,-6754.4,0.45715,2.8634,1.684,0.092937,-6754.4,0.63487,0.094171,-6747.3,0.44618,2.851,1.6677,-0.069126,0.09293,-7.0413,3365.4
4685945010910000640,27,13.6,0.7,8,3.13,0.39125,0.92175,-1801.6,0.38093,-6437,0.67453,3.4063,1.8881,0.095943,-6439.2,0.88878,0.097154,-6430.1,0.66984,3.3906,1.8809,-0.0079011,0.095938,-9.0335,4635.4
4685945010910000640,27,13.6,0.7,16,6.2601,0.39125,0.92175,922.16,0.76752,-5540.8,0.22377,15.303,1.3736,0.10371,-5485.3,1.2265,0.11574,-5564.1,12.921,0.2671,0.61791,1.1482,1e-06,78.789,6463
4685945010910000640,27,13.6,1.5,0.5,0.19563,0.39125,0.92175,-5112.8,0.16255,-6949.4,0.71936,1.2177,2.2043,0.09297,-6960.1,0.38439,0.092897,-6943.4,0.92285,0.63433,10,0.2982,0.093181,-16.716,1836.5
4685945010910000640,27,13.6,1.5,1,0.39125,0.39125,0.92175,-4619.5,0.18454,-6831.2,0.62157,1.5711,1.7194,0.093015,-6836.2,0.51338,0.094148,-6824.2,0.60033,1.5301,1.6802,-0.034538,0.092996,-11.938,2211.7
4685945010910000640,27,13.6,1.5,2,0.78251,0.39125,0.92175,-4060.1,0.21309,-6652.7,0.99924,1.4344,1.8238,0.093001,-6629.2,0.74974,0.095199,-6648.4,3.7822,0.24675,3.9992,0.55184,0.093597,19.176,2592.6
4685945010910000640,27,13.6,1.5,4,1.565,0.39125,0.92175,-2666,0.30499,-6260.1,1.2764,1.8929,1.8295,0.094187,-6176.4,1.1117,0.098172,-6253.3,1.3032,1.8416,1.8367,0.0030563,0.094207,76.883,3594.2
4685945010910000640,27,13.6,1.5,8,3.13,0.39125,0.92175,-12.984,0.60344,-5528.7,0.9383,4.732,1.6386,0.097013,-5397.9,1.4712,0.10746,-5521.9,0.93976,4.7117,1.6376,0.010912,0.097,123.96,5515.7
4685945010910000640,27,13.6,1.5,16,6.2601,0.39125,0.92175,2427.8,1.1305,-4658.3,1.3107,7.4428,1.8182,0.097135,-4454.9,1.9064,0.11136,-4651.5,1.3117,7.4338,1.8182,-0.0030774,0.097136,196.56,7086.1
4685945010910000640,27,13.6,3,0.5,0.19563,0.39125,0.92175,-4892.9,0.172,-6798.3,0.67692,1.3591,1.6041,0.093078,-6795.2,0.51441,0.095205,-6793.4,5.2968,0.096589,10,0.44439,0.093413,-1.7391,1905.4
4685945010910000640,27,13.6,3,1,0.39125,0.39125,0.92175,-4679,0.18173,-6623.7,0.90756,1.2244,1.4756,0.092809,-6568.5,0.69809,0.097929,-6617.3,2.321,0.43305,1.7049,0.40539,0.092963,48.837,1944.7
4685945010910000640,27,13.6,3,2,0.78251,0.39125,0.92175,-3512,0.24535,-6199.5,1.781,1.2362,1.6611,0.091949,-5995.3,1.2324,0.099232,-6195,3.4344,0.65059,2.2124,0.47897,0.09354,199.69,2687.5
4685945010910000640,27,13.6,3,4,1.565,0.39125,0.92175,-1238,0.44035,-5303.9,2.9384,1.8283,2.017,0.093533,-4946.2,1.7836,0.10339,-5297,2.9703,1.8068,2.025,-0.010244,0.093587,350.78,4065.9
4685945010910000640,27,13.6,3,8,3.13,0.39125,0.92175,886.61,0.76054,-4365.5,3.0007,3.1558,1.9596,0.090804,-3883.2,2.1652,0.1066,-4358.6,3.0098,3.1448,1.9613,-0.0054906,0.090827,475.38,5252.1
4685945010910000640,27,13.6,3,16,6.2601,0.39125,0.92175,3493.6,1.4871,-2718.7,2.6994,6.6053,1.8338,0.089176,-2116.3,2.5318,0.13101,-2711.8,2.7011,6.6005,1.834,-0.0059975,0.089187,595.51,6212.3
4685945010910000640,68,13.6,0.3,0.5,0.84397,1.6879,0.30046,-3419.9,0.27816,-7190.2,0.64918,2.5333,1.7863,0.10128,-7171.3,0.2622,0.096538,-7186.4,0.91477,1.7764,2.5508,0.046739,0.099817,15.095,3770.4
4685945010910000640,68,13.6,0.3,1,1.6879,1.6879,0.30046,-3510.5,0.27249,-7246.7,0.61907,2.5383,1.7698,0.10039,-7229.8,0.24548,0.095832,-7242.2,0.84234,1.8451,2.3964,0.017558,0.099076,12.446,3736.2
4685945010910000640,68,13.6,0.3,2,3.3759,1.6879,0.30046,-2489.7,0.34372,-7123.9,0.47054,3.8536,1.594,0.099844,-7101.5,0.31811,0.095255,-7117.3,0.54994,3.2668,1.7843,0.011141,0.099134,15.749,4634.2
4685945010910000640,68,13.6,0.3,4,6.7518,1.6879,0.30046,-455.97,0.5459,-6528.2,0.18361,11.491,1.3156,0.10698,-6508.1,0.46428,0.10216,-6522.4,0.40245,5.9504,1.8377,0.32487,0.10615,14.303,6072.3
4685945010910000640,68,13.6,0.3,8,13.504,1.6879,0.30046,1124.7,0.78212,-6053.7,0.15449,18.465,1.2724,0.10914,-6030.2,0.60542,0.10348,-6046.7,0.15891,17.917,1.2878,0.014511,0.10916,16.47,7178.4
4685945010910000640,68,13.6,0.3,16,27.007,1.6879,0.30046,4851.1,1.8257,-4779.6,0.045872,145.62,1.2357,0.11593,-4708.1,0.8957,0.10465,-4775.7,0.37283,22.714,2.1687,0.82395,0.11255,67.59,9630.7
4685945010910000640,68,13.6,0.7,0.5,0.84397,1.6879,0.30046,-3487.8,0.2739,-7199.1,0.6723,2.4129,1.7427,0.10041,-7186,0.26431,0.096023,-7193.4,0.88269,1.7956,2.2078,0.01668,0.099372,7.311,3711.3
4685945010910000640,68,13.6,0.7,1,1.6879,1.6879,0.30046,-2918.6,0.31176,-7070.5,0.75749,2.6246,1.7924,0.10103,-7046.9,0.33582,0.095673,-7066,1.0832,1.7941,2.5989,0.13196,0.099355,19.09,4151.9
4685945010910000640,68,13.6,0.7,2,3.3759,1.6879,0.30046,-348.08,0.55946,-6708.9,0.2627,9.9452,1.4364,0.10202,-6666.1,0.48452,0.095385,-6708.4,0.61335,4.8628,2.3763,0.34959,0.09966,42.223,6360.8
4685945010910000640,68,13.6,0.7,4,6.7518,1.6879,0.30046,800.44,0.72651,-6274,0.53951,7.8217,1.5714,0.10228,-6213,0.64216,0.092117,-6268.4,0.79628,5.4911,1.9833,0.43488,0.09986,55.434,7074.5
4685945010910000640,68,13.6,0.7,8,13.504,1.6879,0.30046,4760.4,1.7884,-5047.7,0.37087,24.615,1.5483,0.11582,-4891.8,0.90402,0.092684,-5043.6,0.63703,16.033,1.9807,0.6881,0.11056,151.88,9808.1
4685945010910000640,68,13.6,0.7,16,27.007,1.6879,0.30046,6956.7,2.9474,-2167.2,0.31526,45.444,1.3722,0.18643,-1927,1.337,0.00036584,-2161.9,0.7863,20.868,2.1242,1.129,0.17233,234.9,9123.9
4685945010910000640,68,13.6,1.5,0.5,0.84397,1.6879,0.30046,-3134.9,0.29679,-7015,0.71584,2.5532,1.5674,0.099425,-7011.6,0.35828,0.095191,-7008.2,0.80848,2.1621,1.7131,0.050057,0.098934,-3.4452,3880.1
4685945010910000640,68,13.6,1.5,1,1.6879,1.6879,0.30046,-2429.4,0.34846,-6564.4,1.2886,2.1782,1.7437,0.10291,-6547.2,0.51553,0.096118,-6557.2,1.3663,2.027,1.8009,-0.068048,0.10272,9.9909,4135
4685945010910000640,68,13.6,1.5,2,3.3759,1.6879,0.30046,-205.73,0.57788,-5832,1.2751,3.8113,1.7067,0.10593,-5785.3,0.73552,0.092861,-5824.9,1.3003,3.7202,1.727,-0.015802,0.10575,39.638,5626.2
4685945010910000640,68,13.6,1.5,4,6.7518,1.6879,0.30046,2832.5,1.1534,-4944,1.4879,7.0446,1.8996,0.10794,-4772.2,0.97722,0.072399,-4943.7,2.2468,4.5751,2.5998,0.7436,0.098745,171.42,7776.5
4685945010910000640,68,13.6,1.5,8,13.504,1.6879,0.30046,6558.1,2.6919,-2305.7,1.1967,18.464,1.7515,0.16248,-2105.7,1.2918,0.07901,-2298.8,1.1993,18.426,1.7535,0.010975,0.16239,193.05,8863.8
4685945010910000640,68,13.6,1.5,16,27.007,1.6879,0.30046,8734.3,4.4162,-37.154,1.5135,26.606,1.8524,0.26021,210.7,1.5402,0.070839,-30.162,1.5148,26.584,1.8531,0.0050232,0.26015,240.87,8771.5
