gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685945010910000640,27,13.6,0.3,0.1,0.039125,0.39125,0.92175,-5190,0.15935,-6960.7,0.71568,1.1871,2.2556,0.093024,-6970.8,0.36677,0.092868,-6955.7,0.93604,0.65764,10,0.25397,0.093223,-15.072,1770.7
4685945010910000640,27,13.6,0.3,0.25,0.097813,0.39125,0.92175,-5192,0.15927,-6960.4,0.72002,1.1819,2.2542,0.093003,-6970.7,0.36781,0.092856,-6955.4,0.93824,0.65036,10,0.25812,0.093204,-15.277,1768.4
4685945010910000640,27,13.6,0.7,0.1,0.039125,0.39125,0.92175,-5191.5,0.15929,-6959.8,0.71615,1.1861,2.2457,0.093016,-6970.1,0.36759,0.092875,-6954.8,0.93598,0.65266,10,0.25741,0.093225,-15.268,1768.4
4685945010910000640,27,13.6,0.7,0.25,0.097813,0.39125,0.92175,-5140.2,0.1614,-6955.2,0.71471,1.2108,2.2465,0.093038,-6965.3,0.375,0.092894,-6950.1,0.9476,0.65869,10,0.26445,0.093246,-15.206,1815
4685945010910000640,27,13.6,1.5,0.1,0.039125,0.39125,0.92175,-5198.5,0.159,-6954.5,0.72834,1.1712,2.2371,0.093058,-6965.3,0.37081,0.092952,-6949.5,0.94528,0.63177,10,0.26792,0.093287,-15.796,1756
4685945010910000640,27,13.6,1.5,0.25,0.097813,0.39125,0.92175,-5159.5,0.16061,-6957.9,0.72041,1.1971,2.269,0.093033,-6968,0.37203,0.092868,-6952.9,0.93359,0.66399,10,0.26193,0.093216,-15.133,1798.4
4685945010910000640,27,13.6,3,0.1,0.039125,0.39125,0.92175,-5175.5,0.15995,-6955.5,0.71104,1.1989,2.2152,0.093035,-6965.9,0.37141,0.092929,-6950,0.94311,0.63571,10,0.26911,0.09326,-15.915,1780
4685945010910000640,27,13.6,3,0.25,0.097813,0.39125,0.92175,-5153.7,0.16085,-6948.5,0.63604,1.2941,1.9663,0.092787,-6958.5,0.38064,0.092991,-6942.1,0.51794,0.82507,10,0.32933,0.093185,-16.42,1794.8
4685945010910000640,68,13.6,0.3,0.1,0.16879,1.6879,0.30046,-3626.8,0.26538,-7209.7,0.67895,2.3352,1.7834,0.10096,-7194.2,0.25249,0.096428,-7205.4,0.93476,1.6523,2.5192,0.042741,0.099547,11.175,3582.9
4685945010910000640,68,13.6,0.3,0.25,0.42199,1.6879,0.30046,-3736,0.25886,-7227.6,0.7035,2.2215,1.8047,0.10077,-7212.9,0.24589,0.096265,-7223.2,0.94899,1.598,2.5248,0.032233,0.099376,10.319,3491.6
4685945010910000640,68,13.6,0.7,0.1,0.16879,1.6879,0.30046,-3615.5,0.26605,-7225.9,0.6871,2.3244,1.8064,0.10069,-7208.5,0.25027,0.096158,-7221.3,0.91697,1.6959,2.4703,0.027971,0.099339,12.821,3610.4
