nu_in,R,n,det_frac,bias_naive,mad_naive,bias_floor_det,mad_floor_det,frac_within_0p1_floor_det
0.300,0.100,104.000,0.163,-0.094,0.460,0.556,0.529,0.118
0.300,0.250,104.000,0.154,-0.049,0.362,0.528,0.429,0.125
0.300,0.500,104.000,0.144,-0.122,0.399,0.548,0.355,0.067
0.300,1.000,104.000,0.173,-0.081,0.251,0.349,0.340,0.167
0.300,2.000,104.000,0.356,-0.218,0.273,-0.009,0.203,0.162
0.300,4.000,104.000,0.413,-0.353,0.313,-0.039,0.166,0.302
0.300,8.000,104.000,0.625,-0.491,0.349,-0.016,0.260,0.185
0.300,16.000,104.000,0.721,-0.592,0.392,0.020,0.471,0.187
0.700,0.100,104.000,0.144,-0.371,0.396,0.186,0.356,0.000
0.700,0.250,104.000,0.144,-0.262,0.273,0.188,0.322,0.067
0.700,0.500,104.000,0.192,-0.124,0.207,0.206,0.115,0.150
0.700,1.000,104.000,0.250,-0.077,0.160,0.126,0.096,0.346
0.700,2.000,104.000,0.433,-0.110,0.119,0.062,0.112,0.467
0.700,4.000,104.000,0.625,-0.112,0.087,0.058,0.116,0.508
0.700,8.000,104.000,0.750,-0.162,0.150,0.048,0.093,0.462
0.700,16.000,104.000,0.856,-0.219,0.130,-0.044,0.131,0.416
1.500,0.100,104.000,0.154,-0.587,0.278,-0.082,0.346,0.188
1.500,0.250,104.000,0.240,-0.344,0.240,0.033,0.159,0.240
1.500,0.500,104.000,0.423,-0.164,0.133,0.017,0.117,0.500
1.500,1.000,104.000,0.692,-0.077,0.090,0.028,0.065,0.708
1.500,2.000,104.000,0.875,-0.072,0.066,-0.002,0.060,0.692
1.500,4.000,104.000,0.981,-0.036,0.055,-0.009,0.057,0.735
1.500,8.000,104.000,0.971,-0.052,0.062,-0.022,0.058,0.752
1.500,16.000,104.000,0.990,-0.048,0.049,-0.047,0.049,0.767
3.000,0.100,104.000,0.346,-0.797,0.389,-0.008,0.131,0.361
3.000,0.250,104.000,0.683,-0.414,0.304,-0.003,0.074,0.634
3.000,0.500,104.000,0.894,-0.153,0.134,0.018,0.044,0.828
3.000,1.000,104.000,0.971,-0.049,0.054,0.010,0.039,0.832
3.000,2.000,104.000,1.000,-0.028,0.039,-0.001,0.036,0.933
3.000,4.000,104.000,1.000,-0.013,0.036,-0.002,0.045,0.885
3.000,8.000,104.000,1.000,-0.009,0.026,-0.008,0.026,0.971
3.000,16.000,104.000,1.000,-0.017,0.026,-0.017,0.026,0.971
