Name,TIC,SpT,logL,e_logL,logT,e_logT,logg,e_logg,Ref,Var,Nf,Simbad,_RA,_DE,alpha0,nuchar,gamma,nsec,lT,lg,lL,key,Bd,l_Bd,Bd_src,Bp_kG,l_Bp,in_primary,FeCZ_present_model,B_shutoff_kG,Bd_over_Bshutoff,res_alpha0,res_nuchar
ALS 15218,458859193,O8.5Vp,5,0.1,4.53,0.03,4,0.2,R1,cont. + SLF,2,Simbad,161.3,-59.77,54.28,1.24,2.78,2,4.53,4,3.511,ALS15218,1.5,LL,Petit2013,1.5,>,False,1,6.378,0.2352,-0.3983,-0.1884
ALS 3694,37053664,B1,3.8,0.2,4.4,0.02,4,0.1,R2,rot. + SLF,2,Simbad,250.1,-48.89,361.4,0.56,1.585,2,4.4,4,2.991,ALS3694,6,LL,Petit2013,6,>,False,1,4.042,1.484,0.8396,-0.4519
CD-59 3239,390668263,B0.5V,4.3,0.2,4.36,0.06,3.6,0.2,R1,cont. + SLF,2,Simbad,160.7,-59.99,201.2,1.245,2.215,2,4.36,3.6,3.231,CD-593239,,,,,,False,1,5.196,,0.07356,0.01768
CPD-28 2561,129361218,O6Ifp,5.5,0.2,4.54,0.02,4,0.2,R1,unknown + SLF,1,Simbad,119,-28.63,948.9,0.3,1.62,1,4.54,4,3.551,CPD-282561,1.7,LL,Petit2013,1.7,>,False,1,6.679,0.2545,0.8124,-0.811
CPD-62 2124,290796936,B2IV,3.8,0.2,4.37,0,4.05,0.1,R2,rot. + SLF,2,Simbad,173.9,-63.26,244.7,0.67,1.49,2,4.37,4.05,2.821,CPD-622124,,,,,,False,1,3.222,,0.8459,-0.3674
HD 108,406893156,O6f?p-O8fp,5.7,0.1,4.54,0.02,3.5,0.2,R1,Multi + SLF,1,Simbad,1.514,63.68,390.8,0.57,1.28,1,4.54,3.5,4.051,HD108,0.5,LL,Petit2013,0.5,>,True,1,41.91,0.01193,-0.3719,-0.4104
HD 121743,359762838,B2IV,3.6,0.2,4.32,0.03,4.02,0.12,R1,hybird + SLF,2,Simbad,209.6,-42.1,103.1,2.44,1.7,2,4.32,4.02,2.651,HD121743,0.53,LL,Petit2013,0.53,>,False,1,1.909,0.2776,0.5818,0.2327
HD 127381,457686485,B1V,3.76,0.06,4.36,0.02,4.02,0.1,R1,rot. + SLF,2,Simbad,218.2,-50.46,100.2,4.315,2.175,2,4.36,4.02,2.811,HD127381,0.5,,Petit2013,0.5,,False,1,3.167,0.1579,0.4422,0.4551
HD 136504,147226597,B2IV-V,3.7,0.2,4.31,0.01,3.97,0.15,R1,Multi + {beta} Cep  + SLF,1,Simbad,230.7,-44.69,109,2.73,2.28,1,4.31,3.97,2.661,HD136504,0.6,LL,Petit2013,0.6,>,False,1,2.025,0.2963,0.5583,0.2999
HD 149277,229331994,B2IV/V,3.5,0.2,4.3,0.04,3.75,0.15,R3,Multi + SLF,2,Simbad,249,-45.68,757.1,0.22,1.225,2,4.3,3.75,2.841,HD149277,4.7,LL,Petit2013,4.7,>,False,1,3.362,1.398,1.08,-0.7339
