star,sample,lT,lL,logL,M,log_psd0,e_psd,E_psd,nu_char_uHz,gamma,log_rms,nu50_uHz,w,pb_ok,alpha0_cal_umag,nuchar_cal_d
Gaia EDR3 2057949905056008960,PB25_CygOB,4.55,3.68,5.01,21.43,6.52,0.16,0.26,12.67,3.15,3.72,6.82,2.53,True,995.96,1.549
Gaia EDR3 2057965916694269312,PB25_CygOB,4.44,3,4.07,11.89,4.65,0.65,0.58,3.12,1.72,3.04,304.15,1.97,True,113.08,0.38145
Gaia EDR3 2057970692697712896,PB25_CygOB,4.41,3.03,4.04,10.05,5.56,0.41,0.57,2.86,1.7,3.02,12.19,17.95,True,325.97,0.34966
Gaia EDR3 2058985262750809088,PB25_CygOB,4.62,3.81,5.33,33.19,5.56,0.21,0.14,15.37,2.29,3.3,11.41,2.85,True,325.97,1.8791
Gaia EDR3 2059014782091284608,PB25_CygOB,4.31,2.49,3.32,6.68,5.78,0.19,0.31,12.15,3.82,3.36,9.56,2.71,True,421.06,1.4855
Gaia EDR3 2059070135632404992,PB25_CygOB,4.58,3.6,5,25.18,5.49,0.22,0.12,37.56,3.42,3.42,14.89,2.73,True,300.48,4.5921
Gaia EDR3 2059072197216667776,PB25_CygOB,4.56,3.76,5.11,22.59,7.12,0.43,0.78,6.07,2.76,3.84,5.09,1.8,True,2001.7,0.74212
Gaia EDR3 2059076148587289728,PB25_CygOB,4.44,4.03,5.11,11.89,6.39,0.34,0.23,11.01,2.6,3.64,6.17,3.05,True,856.16,1.3461
Gaia EDR3 2059076251666505728,PB25_CygOB,4.46,3.61,4.71,12.74,6.69,0.3,0.27,9.83,3.28,3.73,4.62,2.13,True,1213.8,1.2018
Gaia EDR3 2059129303105142144,PB25_CygOB,4.34,3.27,4.14,7.43,5.97,0.57,0.54,4.55,2.92,3.17,5.27,1.41,True,525.22,0.55628
Gaia EDR3 2059130368252069888,PB25_CygOB,4.49,3.56,4.74,14.89,5.26,0.35,0.44,20.6,2.87,3.21,8.66,2.96,True,229.93,2.5185
Gaia EDR3 2059150640497117952,PB25_CygOB,4.44,2.99,4.06,11.69,3.82,0.77,0.72,7.07,1.78,2.8,318.36,1.83,True,43.054,0.86438
Gaia EDR3 2059223002113939840,PB25_CygOB,4.46,3.9,5.01,12.94,5.99,0.16,0.33,17.96,3.14,3.51,7.31,2.57,True,537.59,2.1958
Gaia EDR3 2060508777869902592,PB25_CygOB,4.59,3.69,5.12,27.04,5.51,0.03,0.02,22.29,3.12,3.32,16.21,1.4,True,307.55,2.7252
Gaia EDR3 2060669306564757888,PB25_CygOB,4.43,3.54,4.59,11.12,6.99,0.23,0.26,8.48,3.1,3.88,5.72,1.83,True,1720.7,1.0368
Gaia EDR3 2060968682953119872,PB25_CygOB,4.47,3.31,4.43,13.34,5.61,0.4,0.69,9.16,2.11,3.28,11.09,6.71,True,345.5,1.1199
