check,metric,cls,n_sectors,frac_pass,median_lognu_pass,median_log_a0cw,median_Tmag,median_residual,spearman_res_Tmag,spearman_p,median_residual_Tmag_lt_12p8,n_bright
"(a,c) our fits by Van Daele class",lin,SLF,116,0.759,-0.442,1.524,12.800,,,,,
"(a,c) our fits by Van Daele class",lin,binary/rot,22,0.864,-0.372,1.258,13.900,,,,,
"(a,c) our fits by Van Daele class",lin,none,104,0.740,-0.496,1.272,13.000,,,,,
"(a,c) our fits by Van Daele class",lin,pulsator,18,0.444,-0.344,1.292,11.400,,,,,
"(a,c) our fits by Van Daele class",log,SLF,116,0.767,-0.328,1.378,12.800,,,,,
"(a,c) our fits by Van Daele class",log,binary/rot,22,0.909,-0.348,1.160,13.900,,,,,
"(a,c) our fits by Van Daele class",log,none,104,0.846,-0.348,1.224,13.000,,,,,
"(a,c) our fits by Van Daele class",log,pulsator,18,0.611,-0.231,1.274,11.400,,,,,
"(b) residual vs Tmag, MW_mw",lin,SLF,23,,,,,-0.201,0.040,0.856,-0.203,11.000
"(b) residual vs Tmag, MW_mw",lin,none,12,,,,,0.110,-0.632,0.028,0.201,4.000
"(b) residual vs Tmag, MW_mw",lin,all,42,,,,,-0.129,-0.265,0.089,-0.135,17.000
"(b) residual vs Tmag, MW_mw",log,SLF,23,,,,,-0.301,0.159,0.467,-0.317,11.000
"(b) residual vs Tmag, MW_mw",log,none,13,,,,,0.094,-0.540,0.057,0.184,4.000
"(b) residual vs Tmag, MW_mw",log,all,43,,,,,-0.301,-0.261,0.091,-0.274,17.000
"(b) residual vs Tmag, MW_mwsap",lin,SLF,23,,,,,-0.168,-0.054,0.807,-0.154,11.000
"(b) residual vs Tmag, MW_mwsap",lin,none,12,,,,,0.095,-0.035,0.914,0.019,4.000
"(b) residual vs Tmag, MW_mwsap",lin,all,42,,,,,-0.132,-0.160,0.311,-0.124,17.000
"(b) residual vs Tmag, MW_mwsap",log,SLF,23,,,,,-0.244,0.252,0.247,-0.309,11.000
"(b) residual vs Tmag, MW_mwsap",log,none,13,,,,,-0.074,-0.380,0.200,-0.053,4.000
"(b) residual vs Tmag, MW_mwsap",log,all,43,,,,,-0.221,-0.157,0.315,-0.207,17.000
