metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
lin,False,nu,4685835884339219456,68,4.2279,5.5500,-0.7632,-0.8062,1,0,0.1725,0.0430
lin,False,nu,4685943254211136000,27,4.2279,5.0200,-0.2517,-0.4907,1,0,0.5601,0.2390
lin,False,nu,4685943254211136000,67,4.2279,5.0200,-0.5482,-0.4585,1,0,0.2830,-0.0897
lin,False,nu,4685945010910000640,68,4.1761,4.8000,-0.0588,-0.6698,1,0,0.8734,0.6110
lin,False,nu,4685947553531340800,67,4.5763,6.1100,-0.1914,-0.8501,2,0,0.6436,0.6587
lin,False,nu,4685972636146149504,28,4.4281,5.9300,-0.0624,-0.3961,1,0,0.8663,0.3337
lin,False,nu,4685972636146149504,67,4.4281,5.9300,-0.2803,-0.4411,1,0,0.5244,0.1608
lin,False,nu,4685976621875402368,28,4.1303,4.8700,-0.5762,-0.5052,1,0,0.2654,-0.0710
lin,False,nu,4685976621875402368,67,4.1303,4.8700,-1.6990,-0.8976,3,0,0.0200,-0.8014
lin,False,nu,4685983420730442624,27,4.2480,5.4500,-0.3602,-0.3892,1,0,0.4363,0.0290
lin,False,nu,4685983420730442624,28,4.2480,5.4500,-0.7420,-0.3732,1,0,0.1812,-0.3687
lin,False,nu,4685983420730442624,67,4.2480,5.4500,-0.4575,-0.5717,2,0,0.3488,0.1142
lin,False,nu,4685983420730442624,68,4.2480,5.4500,-1.6990,-0.9270,1,0,0.0200,-0.7720
lin,False,nu,4686413230999834496,27,4.5024,5.1600,-0.5654,-0.5621,1,0,0.2721,-0.0033
lin,False,nu,4686413437158238208,27,4.4281,5.9800,-0.1937,-0.1491,1,0,0.6402,-0.0446
lin,False,nu,4686413437158238208,28,4.4281,5.9800,-0.2994,-0.2034,1,0,0.5018,-0.0960
lin,False,nu,4686414467950355072,27,4.4281,5.6100,-0.4838,-0.2590,1,0,0.3282,-0.2248
lin,False,nu,4687165125163949952,27,4.3747,5.3400,-0.1277,-0.4230,1,0,0.7453,0.2954
lin,False,nu,4687165125163949952,68,4.3747,5.3400,-0.0847,-0.6821,1,0,0.8227,0.5974
lin,False,nu,4687426087389568768,67,4.2765,4.8100,-1.6990,-0.5149,1,0,0.0200,-1.1841
lin,False,nu,4687478138084449536,67,4.4281,5.7800,-0.5285,-0.6797,1,0,0.2961,0.1512
lin,False,nu,4687485491055825536,27,4.2788,5.4600,-0.3039,-0.3302,1,0,0.4966,0.0263
lin,False,nu,4687485491055825536,28,4.2788,5.4600,-0.7177,-0.7994,1,0,0.1916,0.0817
lin,False,nu,4687501953697501568,27,4.4757,5.2800,-0.1247,-0.3421,1,0,0.7503,0.2174
lin,False,nu,4687501953697501568,28,4.4757,5.2800,-0.2008,-0.4482,1,0,0.6298,0.2474
lin,False,nu,4687501953697501568,67,4.4757,5.2800,-0.1760,-0.3288,1,0,0.6668,0.1528
lin,False,nu,4687501953697501568,68,4.4757,5.2800,-0.1594,-0.6274,1,0,0.6928,0.4680
lin,False,nu,4687509749039520768,27,4.4281,5.4100,-0.4418,-0.5848,1,0,0.3615,0.1430
lin,False,nu,4687509749039520768,67,4.4281,5.4100,-1.6990,-0.8902,1,0,0.0200,-0.8088
lin,False,nu,4687509749039520768,68,4.4281,5.4100,-0.3652,-0.7692,1,0,0.4314,0.4040
lin,False,nu,4687513910877142528,27,4.5276,5.3900,0.2793,-0.3000,1,0,1.9025,0.5794
lin,False,nu,4687513910877142528,28,4.5276,5.3900,0.2581,-0.5595,1,0,1.8117,0.8176
lin,False,nu,4687513910877142528,67,4.5276,5.3900,0.1275,-0.4500,1,0,1.3412,0.5775
lin,False,nu,4687513910877142528,68,4.5276,5.3900,0.0027,-0.6670,1,0,1.0062,0.6697
lin,False,nu,4688978838366817280,27,4.4757,5.9000,-0.1911,-0.3057,1,0,0.6441,0.1147
lin,False,nu,4688978838366817280,68,4.4757,5.9000,-0.0470,-0.6319,1,0,0.8973,0.5848
lin,False,nu,4688980414561766016,27,4.1038,4.8600,-1.0611,-0.6579,1,0,0.0869,-0.4032
lin,False,nu,4689003027613801216,67,4.3747,5.6500,-1.2621,-0.3706,1,0,0.0547,-0.8915
lin,False,nu,4689003027613801216,68,4.3747,5.6500,-0.3737,-0.4651,1,0,0.4230,0.0914
lin,False,nu,4689037181200454656,67,4.2742,4.8700,-0.6231,-0.6380,1,0,0.2382,0.0149
lin,False,nu,4689037181200454656,68,4.2742,4.8700,-0.5318,-0.5936,1,0,0.2939,0.0618
lin,False,nu,4689054670286883968,28,4.1271,4.8500,-0.3219,-0.6698,1,0,0.4765,0.3478
lin,False,nu,4689054945164735616,28,4.3747,5.5400,-0.3862,-0.2973,1,0,0.4109,-0.0889
lin,False,nu,4689054945164735616,67,4.3747,5.5400,-0.3837,-0.2614,1,0,0.4134,-0.1223
lin,False,nu,4689062298150064640,27,4.4281,5.2800,0.0535,-0.3632,1,0,1.1310,0.4167
