qty,sector,lT,lL,val,dy
a,27,3.8292,4.1811,0.1502,0.0000
a,27,4.5025,5.1610,0.7135,0.0000
a,27,4.5272,5.3914,0.7199,0.0000
a,27,4.4518,5.2312,0.8384,0.0000
a,27,3.9778,3.9407,0.8401,0.0000
a,27,3.9294,4.2612,0.9555,0.0000
a,27,4.1033,4.8605,1.0064,0.0000
a,27,3.8599,4.3396,1.2320,0.0002
a,27,4.3745,5.3413,1.2632,0.0000
a,27,3.8062,4.7905,1.3285,0.0000
a,27,4.2218,5.0376,1.4229,0.0000
a,27,4.2336,5.0041,1.4229,0.0000
a,27,4.4282,5.6118,1.4279,0.0000
a,27,4.4753,5.9006,1.4774,0.0001
a,27,4.2784,5.4615,1.4855,0.0000
a,27,3.8063,4.7159,1.4954,0.0013
a,28,4.2478,4.5000,0.8878,0.0000
a,28,4.5272,5.3915,0.9059,0.0000
a,28,4.3745,4.8706,1.0819,0.0000
a,28,4.1298,4.7705,1.1232,0.0000
a,28,4.4282,5.2813,1.1249,0.0000
a,28,3.9777,4.2513,1.1496,0.0000
a,28,4.3527,5.2477,1.1932,0.0001
a,28,4.1298,4.8706,1.2023,0.0000
a,28,3.9294,4.3898,1.2204,0.0000
a,28,4.3593,5.2424,1.2274,0.0000
a,28,4.3460,5.2798,1.2274,0.0021
a,28,4.1758,4.7926,1.2796,0.0043
a,28,4.5761,6.1110,1.2846,0.0000
a,28,3.9777,4.4098,1.2862,0.0000
a,28,4.2678,4.8538,1.2995,0.0000
a,28,4.4753,5.2813,1.3587,0.0000
a,28,3.8062,4.7905,1.3723,0.0000
a,28,3.8292,4.1811,1.3850,0.0000
a,28,4.1982,4.6770,1.4665,0.0015
a,28,3.8598,4.3397,1.4920,0.0000
a,28,4.3803,5.5267,1.5247,0.0053
a,28,4.3687,5.5567,1.5247,0.0052
a,28,4.5525,6.1210,1.6748,0.0000
a,28,4.4282,5.9808,1.6898,0.0019
a,28,4.2478,5.4545,1.7390,0.0021
a,28,4.3763,5.7905,2.0552,0.0000
a,28,4.2784,5.4616,2.2396,0.0000
a,67,3.9777,4.4399,1.0572,0.0000
a,67,3.9777,4.4399,1.0850,0.0000
a,67,4.1298,4.8706,1.3730,0.0000
a,67,4.5272,5.3915,1.4302,0.0000
