sector,qty,side,y,x,area,n_merged
27,nu,T,-0.0278,4.4518,645.0000,1
27,nu,T,-0.0524,4.4488,645.0000,1
27,nu,T,-0.1491,4.4282,645.0000,1
27,nu,T,-0.2591,4.4282,627.0000,1
27,nu,T,-0.2879,4.5270,60.0000,1
27,nu,T,-0.3021,4.5283,400.0000,1
27,nu,T,-0.3046,4.4746,467.0000,1
27,nu,T,-0.3302,4.2784,645.0000,1
27,nu,T,-0.3421,4.4755,219.0000,1
27,nu,T,-0.3632,4.4282,662.0000,1
27,nu,T,-0.3892,4.2478,601.0000,1
27,nu,T,-0.4220,4.3745,477.0000,1
27,nu,T,-0.4907,4.2277,645.0000,1
27,nu,T,-0.4935,3.8063,656.0000,1
27,nu,T,-0.4983,3.8599,692.0000,1
27,nu,T,-0.5105,4.4694,660.0000,1
27,nu,T,-0.5361,3.9778,907.0000,1
27,nu,T,-0.5621,4.5024,1175.0000,2
27,nu,T,-0.5753,3.8054,497.0000,1
27,nu,T,-0.5847,4.4282,735.0000,1
27,nu,T,-0.6606,4.1033,1050.0000,2
27,nu,T,-0.7330,3.9294,470.0000,1
27,nu,T,-0.7702,3.9294,60.0000,1
27,nu,T,-0.9237,3.9294,1080.0000,2
27,nu,L,-0.1491,5.9807,645.0000,1
27,nu,L,-0.2445,4.1811,755.0000,1
27,nu,L,-0.2589,5.6118,645.0000,1
27,nu,L,-0.2980,5.3914,705.0000,1
27,nu,L,-0.3069,5.9006,662.0000,1
27,nu,L,-0.3302,5.4615,662.0000,1
27,nu,L,-0.3421,5.2808,219.0000,1
27,nu,L,-0.3632,5.2812,662.0000,1
27,nu,L,-0.3893,5.4515,606.0000,1
27,nu,L,-0.4241,5.3413,654.0000,1
27,nu,L,-0.4468,5.5417,645.0000,1
27,nu,L,-0.4907,5.0208,645.0000,1
27,nu,L,-0.4915,4.7949,421.0000,1
27,nu,L,-0.4983,4.3397,692.0000,1
27,nu,L,-0.5105,5.5116,660.0000,1
27,nu,L,-0.5353,3.9408,923.0000,1
27,nu,L,-0.5621,5.1611,1175.0000,2
27,nu,L,-0.5744,4.7103,655.0000,1
27,nu,L,-0.5850,5.4119,709.0000,1
27,nu,L,-0.6259,4.8606,45.0000,1
27,nu,L,-0.6552,4.8522,201.0000,1
27,nu,L,-0.6872,4.8606,160.0000,1
27,nu,L,-0.7330,4.2612,470.0000,1
27,nu,L,-0.7702,4.2613,60.0000,1
27,nu,L,-0.9237,4.4599,1080.0000,2
27,a,T,1.7678,4.3745,396.0000,1
27,a,T,1.6198,4.4692,362.0000,1
27,a,T,1.5725,4.2479,329.0000,1
27,a,T,1.4954,3.8063,656.0000,1
27,a,T,1.4855,4.2784,645.0000,1
27,a,T,1.4774,4.4753,649.0000,1
27,a,T,1.4279,4.4282,645.0000,1
27,a,T,1.4229,4.2336,52.0000,1
27,a,T,1.4229,4.2218,51.0000,1
27,a,T,1.3965,3.9294,675.0000,1
27,a,T,1.3285,3.8062,155.0000,1
27,a,T,1.2632,4.3745,645.0000,1
27,a,T,1.2237,4.4282,1289.0000,2
27,a,T,1.2320,3.8599,645.0000,1
27,a,T,1.0558,4.4488,645.0000,1
27,a,T,1.0130,4.4753,645.0000,1
27,a,T,1.0064,4.1033,655.0000,1
27,a,T,0.9555,3.9294,660.0000,1
27,a,T,0.8401,3.9778,645.0000,1
27,a,T,0.8384,4.4518,645.0000,1
27,a,T,0.7135,4.5025,690.0000,1
27,a,T,0.7199,4.5272,645.0000,1
27,a,T,0.1502,3.8292,645.0000,1
27,a,L,1.7603,5.5483,426.0000,1
27,a,L,1.7347,5.9807,375.0000,1
27,a,L,1.6107,5.5093,592.0000,1
27,a,L,1.5827,5.4515,659.0000,1
27,a,L,1.4967,4.7159,477.0000,1
27,a,L,1.4855,5.4615,645.0000,1
27,a,L,1.4773,5.9006,645.0000,1
27,a,L,1.4279,5.6118,645.0000,1
27,a,L,1.4071,4.4585,429.0000,1
27,a,L,1.4229,5.0041,52.0000,1
27,a,L,1.4229,5.0376,51.0000,1
27,a,L,1.3728,4.4605,62.0000,1
27,a,L,1.3285,4.7905,155.0000,1
27,a,L,1.2632,5.3413,645.0000,1
27,a,L,1.2468,5.4115,645.0000,1
27,a,L,1.2321,4.3396,654.0000,1
27,a,L,1.1975,5.2916,288.0000,1
27,a,L,1.0344,5.2862,1278.0000,2
27,a,L,1.0064,4.8605,655.0000,1
27,a,L,0.9555,4.2612,660.0000,1
27,a,L,0.8401,3.9407,645.0000,1
27,a,L,0.8384,5.2312,645.0000,1
27,a,L,0.7135,5.1610,690.0000,1
27,a,L,0.7199,5.3914,645.0000,1
27,a,L,0.1502,4.1811,645.0000,1
28,nu,T,-0.1643,4.5525,841.0000,1
28,nu,T,-0.2034,4.4282,841.0000,1
28,nu,T,-0.2402,4.4282,823.0000,1
28,nu,T,-0.2973,4.3745,841.0000,1
28,nu,T,-0.3145,4.3527,841.0000,1
28,nu,T,-0.3591,4.4694,841.0000,1
28,nu,T,-0.3708,4.2478,792.0000,1
28,nu,T,-0.3961,4.4282,841.0000,1
28,nu,T,-0.4363,4.3821,197.0000,1
28,nu,T,-0.4355,4.3701,76.0000,1
28,nu,T,-0.4482,4.4753,841.0000,1
28,nu,T,-0.4482,3.8062,841.0000,1
28,nu,T,-0.4997,3.9294,901.0000,1
28,nu,T,-0.5039,4.1298,926.0000,1
28,nu,T,-0.5005,4.2800,97.0000,1
28,nu,T,-0.5045,4.2690,335.0000,1
28,nu,T,-0.5427,3.8292,951.0000,1
28,nu,T,-0.5599,4.5272,1026.0000,1
28,nu,T,-0.5979,3.9777,543.0000,1
28,nu,T,-0.6045,3.8598,886.0000,1
28,nu,T,-0.6183,4.1758,931.0000,1
28,nu,T,-0.6353,4.5761,1096.0000,1
28,nu,T,-0.6663,4.1298,1021.0000,1
28,nu,T,-0.7390,3.9777,981.0000,1
28,nu,T,-0.7788,4.3745,1171.0000,1
28,nu,T,-0.7994,4.2784,841.0000,1
28,nu,L,-0.1430,4.5000,841.0000,1
28,nu,L,-0.1643,6.1210,841.0000,1
28,nu,L,-0.1656,5.5518,841.0000,1
28,nu,L,-0.2034,5.9808,841.0000,1
28,nu,L,-0.2404,5.2813,841.0000,1
28,nu,L,-0.2369,4.6609,40.0000,1
28,nu,L,-0.2369,4.6997,40.0000,1
28,nu,L,-0.2510,4.6803,290.0000,1
28,nu,L,-0.2973,5.5417,841.0000,1
28,nu,L,-0.3140,5.2598,783.0000,1
28,nu,L,-0.3543,5.5103,433.0000,1
28,nu,L,-0.3633,5.4386,75.0000,1
28,nu,L,-0.3671,5.5255,70.0000,1
28,nu,L,-0.3757,5.4532,382.0000,1
28,nu,L,-0.3961,5.9307,841.0000,1
28,nu,L,-0.4353,5.7905,554.0000,1
28,nu,L,-0.4482,4.7905,841.0000,1
28,nu,L,-0.4482,5.2813,841.0000,1
28,nu,L,-0.4997,4.3898,901.0000,1
28,nu,L,-0.5061,4.7670,692.0000,1
28,nu,L,-0.5065,4.8706,841.0000,1
28,nu,L,-0.5428,4.1811,956.0000,1
28,nu,L,-0.5591,5.3913,981.0000,1
28,nu,L,-0.5930,4.2513,946.0000,1
28,nu,L,-0.6045,4.3397,886.0000,1
28,nu,L,-0.6157,4.8030,695.0000,1
28,nu,L,-0.6166,6.1110,130.0000,1
28,nu,L,-0.6291,6.0954,116.0000,1
28,nu,L,-0.6429,6.0930,58.0000,1
28,nu,L,-0.6481,4.8706,40.0000,1
28,nu,L,-0.6553,6.1110,105.0000,1
28,nu,L,-0.6716,4.8809,413.0000,1
28,nu,L,-0.6732,4.8514,54.0000,1
28,nu,L,-0.7390,4.4098,981.0000,1
28,nu,L,-0.7788,4.8706,1171.0000,1
28,nu,L,-0.7994,5.4616,841.0000,1
28,a,T,2.2396,4.2784,841.0000,1
28,a,T,2.0552,4.3763,841.0000,1
28,a,T,1.7390,4.2478,841.0000,1
28,a,T,1.7523,4.4341,85.0000,1
28,a,T,1.7523,4.4222,85.0000,1
28,a,T,1.6898,4.4282,480.0000,1
28,a,T,1.6748,4.5525,841.0000,1
28,a,T,1.6531,4.4670,435.0000,1
28,a,T,1.6115,4.3479,288.0000,1
28,a,T,1.5793,4.3480,261.0000,1
28,a,T,1.5247,4.3803,155.0000,1
28,a,T,1.5247,4.3687,154.0000,1
28,a,T,1.4920,3.8598,841.0000,1
28,a,T,1.4665,4.1982,754.0000,1
28,a,T,1.3850,3.8292,841.0000,1
28,a,T,1.3587,4.4753,841.0000,1
28,a,T,1.3723,3.8062,347.0000,1
28,a,T,1.2862,3.9777,841.0000,1
28,a,T,1.2846,4.5761,841.0000,1
28,a,T,1.2995,4.2678,85.0000,1
28,a,T,1.2796,4.1758,841.0000,1
28,a,T,1.2204,3.9294,841.0000,1
28,a,T,1.2274,4.3593,57.0000,1
28,a,T,1.2274,4.3460,57.0000,1
28,a,T,1.2023,4.1298,841.0000,1
28,a,T,1.1932,4.3527,232.0000,1
28,a,T,1.1496,3.9777,841.0000,1
28,a,T,1.1249,4.4282,841.0000,1
28,a,T,1.1232,4.1298,841.0000,1
28,a,T,1.0819,4.3745,856.0000,1
28,a,T,0.9059,4.5272,841.0000,1
28,a,T,0.8878,4.2478,841.0000,1
28,a,L,2.2396,5.4616,841.0000,1
28,a,L,2.0552,5.7905,841.0000,1
28,a,L,1.7412,5.4545,720.0000,1
28,a,L,1.7367,5.9330,751.0000,1
28,a,L,1.6918,5.9808,555.0000,1
28,a,L,1.6748,6.1210,841.0000,1
28,a,L,1.6769,5.5088,292.0000,1
28,a,L,1.6453,5.5153,248.0000,1
28,a,L,1.5950,5.5530,794.0000,1
28,a,L,1.5299,5.5267,232.0000,1
28,a,L,1.5299,5.5567,232.0000,1
28,a,L,1.4920,4.3397,841.0000,1
28,a,L,1.4680,4.6770,585.0000,1
28,a,L,1.3850,4.1811,841.0000,1
28,a,L,1.3723,4.7905,346.0000,1
28,a,L,1.3587,5.2813,841.0000,1
28,a,L,1.2862,4.4098,841.0000,1
28,a,L,1.2846,6.1110,841.0000,1
28,a,L,1.2995,4.8538,85.0000,1
28,a,L,1.2995,4.8874,85.0000,1
28,a,L,1.2753,4.7926,417.0000,1
28,a,L,1.2204,4.3898,841.0000,1
28,a,L,1.2274,5.2424,57.0000,1
28,a,L,1.2295,5.2798,41.0000,1
28,a,L,1.2023,4.8706,841.0000,1
28,a,L,1.1931,5.2477,102.0000,1
28,a,L,1.1496,4.2513,841.0000,1
28,a,L,1.1249,5.2813,841.0000,1
28,a,L,1.1232,4.7705,841.0000,1
28,a,L,1.0819,4.8706,856.0000,1
28,a,L,0.9059,5.3915,841.0000,1
28,a,L,0.8878,4.5000,841.0000,1
67,nu,T,-0.2614,4.3745,347.0000,1
67,nu,T,-0.3279,4.4753,201.0000,1
67,nu,T,-0.3706,4.3745,492.0000,1
67,nu,T,-0.3924,3.9777,347.0000,1
67,nu,T,-0.4411,4.4282,347.0000,1
67,nu,T,-0.4500,4.5272,347.0000,1
67,nu,T,-0.4584,4.2272,419.0000,1
67,nu,T,-0.4515,4.3820,48.0000,1
67,nu,T,-0.4623,4.5525,347.0000,1
67,nu,T,-0.5173,4.2770,135.0000,1
67,nu,T,-0.5288,4.3566,76.0000,1
67,nu,T,-0.5288,4.3488,76.0000,1
