id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
GAIA DR3 4685835884339219456,4685835884339219456,27,0,log,False,0,29.537,0.11045,1.389,0.12634,10.999,0.037618,0.038058,0.0020138,6068.7,24.354,3351,10,False,True
GAIA DR3 4685835884339219456,4685835884339219456,27,0,log,True,0,29.537,0.11045,1.389,0.12634,10.999,0.037618,0.038058,0.0020138,6068.7,24.354,3351,10,False,True
GAIA DR3 4685835884339219456,4685835884339219456,27,0,lin,False,0,264.82,0.02,1.3805,0.17213,88.544,0.0056659,0.018348,0.0049649,19350,24.354,3351,10,False,True
GAIA DR3 4685835884339219456,4685835884339219456,27,0,lin,True,0,264.82,0.02,1.3805,0.17213,88.544,0.0056659,0.018348,0.0049649,19350,24.354,3351,10,False,True
GAIA DR3 4685835884339219456,4685835884339219456,28,0,log,False,0,250.43,0.02,1.5615,0.13124,985.83,0.052558,0.047896,0.0012502,4399.6,25.236,3449,9.9999,False,True
GAIA DR3 4685835884339219456,4685835884339219456,28,0,log,True,0,250.43,0.02,1.5615,0.13124,985.83,0.052558,0.047896,0.0012502,4399.6,25.236,3449,9.9999,False,True
GAIA DR3 4685835884339219456,4685835884339219456,28,0,lin,False,0,685.33,0.02,1.9246,0.17555,462.92,0.0076523,0.023566,0.0031072,23468,25.236,3449,9.9999,False,True
GAIA DR3 4685835884339219456,4685835884339219456,28,0,lin,True,0,685.33,0.02,1.9246,0.17555,462.92,0.0076523,0.023566,0.0031072,23468,25.236,3449,9.9999,False,True
GAIA DR3 4685835884339219456,4685835884339219456,67,0,log,False,0,22.552,0.083913,1.3241,0.10745,10.495,0.03655,0.038813,0.0015926,5851.9,27.75,11490,3.3334,False,True
GAIA DR3 4685835884339219456,4685835884339219456,67,0,log,True,0,22.552,0.083913,1.3241,0.10745,10.495,0.03655,0.038813,0.0015926,5851.9,27.75,11490,3.3334,False,True
GAIA DR3 4685835884339219456,4685835884339219456,67,0,lin,False,0,70.196,0.056538,1.6727,0.16228,9.4123,0.006444,0.029633,0.0041711,16165,27.75,11490,3.3334,False,True
GAIA DR3 4685835884339219456,4685835884339219456,67,0,lin,True,0,70.196,0.056538,1.6727,0.16228,9.4123,0.006444,0.029633,0.0041711,16165,27.75,11490,3.3334,False,True
GAIA DR3 4685835884339219456,4685835884339219456,68,0,log,False,0,21.31,0.13519,1.3893,0.12926,6.0525,0.036575,0.036535,0.0018531,6826.5,27.525,11218,3.3333,False,True
