id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
ALS_8294,-1,43,0,log,False,0,2.509,2.4426,1.2959,0.17969,0.16877,0.25687,0.068867,0.011032,5545.1,24.327,16268,2.0002,True,True
ALS_8294,-1,43,0,log,True,0,2.509,2.4426,1.2959,0.17969,0.16877,0.25687,0.068867,0.011032,5545.1,24.327,16268,2.0002,True,True
ALS_8294,-1,43,0,lin,False,0,4.3246,1.2432,0.87562,0.061918,0.16723,0.10034,0.036122,0.025756,8775.3,24.327,16268,2.0002,True,True
ALS_8294,-1,43,0,lin,True,0,4.3246,1.2432,0.87562,0.061918,0.16723,0.10034,0.036122,0.025756,8775.3,24.327,16268,2.0002,True,True
ALS_8294,-1,44,0,log,False,0,4.1982,1.1273,0.97888,0.13382,0.46968,0.23833,0.060466,0.018069,5578.2,24.249,16211,2.0002,True,True
ALS_8294,-1,44,0,log,True,0,4.1982,1.1273,0.97888,0.13382,0.46968,0.23833,0.060466,0.018069,5578.2,24.249,16211,2.0002,True,True
ALS_8294,-1,44,0,lin,False,0,6.8992,0.51684,0.76307,0.050096,0.36791,0.06746,0.030352,0.027697,9833.1,24.249,16211,2.0002,True,True
ALS_8294,-1,44,0,lin,True,0,6.8992,0.51684,0.76307,0.050096,0.36791,0.06746,0.030352,0.027697,9833.1,24.249,16211,2.0002,True,True
ALS_8294,-1,45,0,log,False,0,3.7449,1.2222,0.89755,0.092075,0.44668,0.29656,0.064995,0.023531,5454.9,24.59,16148,2,True,True
ALS_8294,-1,45,0,log,True,0,3.7449,1.2222,0.89755,0.092075,0.44668,0.29656,0.064995,0.023531,5454.9,24.59,16148,2,True,True
ALS_8294,-1,45,0,lin,False,0,16.894,0.054417,0.60204,1e-07,3.2528,0.027824,0.032354,0.038277,8906.8,24.59,16148,2,False,True
ALS_8294,-1,45,0,lin,True,0,16.894,0.054417,0.60204,1e-07,3.2528,0.027824,0.032354,0.038277,8906.8,24.59,16148,2,False,True
ALS_8294,-1,59,0,log,False,0,3.1177,1.965,1.0684,0.11118,0.25467,0.2862,0.062601,0.016801,6249.2,25.295,16734,2,True,True
