id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
ALS_8294,-1,43,13.509,log,False,0,2.2644,2.8195,1.4933,0.25113,0.13592,0.24232,0.07845,0.0092751,4876.9,24.327,16268,2.0002,True,True
ALS_8294,-1,43,13.509,log,True,0,2.2644,2.8195,1.4933,0.25113,0.13592,0.24232,0.07845,0.0092751,4876.9,24.327,16268,2.0002,True,True
ALS_8294,-1,43,13.509,lin,False,0,4.0967,1.3117,0.91623,0.14239,0.15348,0.099967,0.037694,0.023881,8302.1,24.327,16268,2.0002,True,True
ALS_8294,-1,43,13.509,lin,True,0,4.0967,1.3117,0.91623,0.14239,0.15348,0.099967,0.037694,0.023881,8302.1,24.327,16268,2.0002,True,True
ALS_8294,-1,44,22.365,log,False,0,4.2811,0.92283,0.99088,0.27402,0.5449,0.22077,0.06755,0.018442,4169.2,24.249,16211,2.0002,True,True
ALS_8294,-1,44,22.365,log,True,0,4.2811,0.92283,0.99088,0.27402,0.5449,0.22077,0.06755,0.018442,4169.2,24.249,16211,2.0002,True,True
ALS_8294,-1,44,22.365,lin,False,0,6.2582,0.58653,0.8536,0.26186,0.31081,0.066465,0.033577,0.023017,8343.5,24.249,16211,2.0002,True,True
ALS_8294,-1,44,22.365,lin,True,0,6.2582,0.58653,0.8536,0.26186,0.31081,0.066465,0.033577,0.023017,8343.5,24.249,16211,2.0002,True,True
ALS_8294,-1,45,55.364,log,False,0,12.994,0.046971,0.65336,0.54139,12.425,0.098529,0.10032,0.04793,1678.9,24.59,16148,2,False,True
ALS_8294,-1,45,55.364,log,True,0,12.994,0.046971,0.65336,0.54139,12.425,0.098529,0.10032,0.04793,1678.9,24.59,16148,2,False,True
ALS_8294,-1,45,55.364,lin,False,0,24.252,0.02,0.63685,0.63333,11.512,0.021201,0.04531,0.035752,4838.4,24.59,16148,2,False,True
ALS_8294,-1,45,55.364,lin,True,0,24.252,0.02,0.63685,0.63333,11.512,0.021201,0.04531,0.035752,4838.4,24.59,16148,2,False,True
ALS_8294,-1,59,18.002,log,False,0,3.1274,1.7381,1.0666,0.20805,0.27925,0.27964,0.068344,0.017807,5051.8,25.295,16734,2,True,True
ALS_8294,-1,59,18.002,log,True,0,3.1274,1.7381,1.0666,0.20805,0.27925,0.27964,0.068344,0.017807,5051.8,25.295,16734,2,True,True
ALS_8294,-1,59,18.002,lin,False,0,5.1661,0.8647,0.8094,0.13058,0.24224,0.092479,0.035025,0.028393,8816,25.295,16734,2,True,True
ALS_8294,-1,59,18.002,lin,True,0,5.1661,0.8647,0.8094,0.13058,0.24224,0.092479,0.035025,0.028393,8816,25.295,16734,2,True,True
BD_+33_1025,-1,43,0,log,False,0,1.1503,2.299,1.9935,0.23236,0.071726,0.17452,0.11694,0.0031676,2925.6,24.327,16267,2.0002,True,True
BD_+33_1025,-1,43,0,log,True,2,0.90139,2.6162,1.9965,0.23251,0.055697,0.20018,0.12942,0.0032537,2563,24.327,16267,2.0002,True,True
BD_+33_1025,-1,43,0,lin,False,0,1.571,2.3049,2.5703,0.29396,0.03574,0.067694,0.12852,0.0055332,3964,24.327,16267,2.0002,True,True
BD_+33_1025,-1,43,0,lin,True,1,1.6247,1.4285,1.1622,0.22887,0.057435,0.093313,0.050198,0.0079175,5685.4,24.327,16267,2.0002,True,True
BD_+33_1025,-1,44,0,log,False,0,1.1678,1.7462,1.8332,0.24436,0.08732,0.16747,0.11703,0.003227,2396.8,24.249,16212,2.0002,True,True
BD_+33_1025,-1,44,0,log,True,3,1.013,1.5585,1.6993,0.24389,0.086916,0.18179,0.12233,0.0033688,1940.3,24.249,16212,2.0002,True,True
BD_+33_1025,-1,44,0,lin,False,0,1.4876,2.0686,2.8727,0.31018,0.033493,0.057312,0.15317,0.0048458,3741.5,24.249,16212,2.0002,True,True
BD_+33_1025,-1,44,0,lin,True,1,1.4411,1.4046,1.3077,0.26251,0.052144,0.089958,0.060649,0.006457,4466.4,24.249,16212,2.0002,True,True
