id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
ALS_8294,-1,43,0,log,False,0,19.647,0.137,0.9089,0.13528,6.3082,0.068643,0.041991,0.013373,6402.6,24.327,16268,2.0002,False,True
ALS_8294,-1,43,0,log,True,0,19.647,0.137,0.9089,0.13528,6.3082,0.068643,0.041991,0.013373,6402.6,24.327,16268,2.0002,False,True
ALS_8294,-1,43,0,lin,False,0,109.34,0.02,0.93083,0.25979,29.716,0.0075132,0.020257,0.014673,12895,24.327,16268,2.0002,False,True
ALS_8294,-1,43,0,lin,True,0,109.34,0.02,0.93083,0.25979,29.716,0.0075132,0.020257,0.014673,12895,24.327,16268,2.0002,False,True
ALS_8294,-1,44,0,log,False,0,21.956,0.19294,0.958,0.11514,5.4602,0.072918,0.03868,0.013926,7369.4,24.249,16211,2.0002,True,True
ALS_8294,-1,44,0,log,True,0,21.956,0.19294,0.958,0.11514,5.4602,0.072918,0.03868,0.013926,7369.4,24.249,16211,2.0002,True,True
ALS_8294,-1,44,0,lin,False,0,109.02,0.02,0.8258,0.087627,27.145,0.0080042,0.020092,0.024708,12795,24.249,16211,2.0002,False,True
ALS_8294,-1,44,0,lin,True,0,109.02,0.02,0.8258,0.087627,27.145,0.0080042,0.020092,0.024708,12795,24.249,16211,2.0002,False,True
ALS_8294,-1,45,0,log,False,0,110.14,0.02,0.86161,0.10202,127.38,0.030716,0.034675,0.015345,7692.4,24.59,16148,2,False,True
ALS_8294,-1,45,0,log,True,0,110.14,0.02,0.86161,0.10202,127.38,0.030716,0.034675,0.015345,7692.4,24.59,16148,2,False,True
ALS_8294,-1,45,0,lin,False,0,200.66,0.02,1.005,0.28598,47.959,0.0060017,0.016909,0.015793,16145,24.59,16148,2,False,True
ALS_8294,-1,45,0,lin,True,0,200.66,0.02,1.005,0.28598,47.959,0.0060017,0.016909,0.015793,16145,24.59,16148,2,False,True
ALS_8294,-1,59,0,log,False,0,12.074,0.098589,0.67538,0.010154,5.207,0.0925,0.054097,0.027592,6091.1,25.295,16734,2,False,True
ALS_8294,-1,59,0,log,True,0,12.074,0.098589,0.67538,0.010154,5.207,0.0925,0.054097,0.027592,6091.1,25.295,16734,2,False,True
ALS_8294,-1,59,0,lin,False,0,34.694,0.02,0.67301,0.076616,8.9522,0.010747,0.023775,0.021675,11490,25.295,16734,2,False,True
ALS_8294,-1,59,0,lin,True,0,34.694,0.02,0.67301,0.076616,8.9522,0.010747,0.023775,0.021675,11490,25.295,16734,2,False,True
BD_+33_1025,-1,43,0,log,False,0,200.64,0.02,1.0468,0.22054,332.1,0.034649,0.036058,0.0092696,6157.7,24.327,16267,2.0002,False,True
