region,zone,n_rows,time_frac_present,nuc_d_med,nuc_d_p16,nuc_d_p84,vmax_kms_med,vmax_kms_p16,vmax_kms_p84,FcF_med,FcF_p16,FcF_p84
hot OB (logT>=4.3),FeCZ,5662,0.8219,0.5134,0.3118,0.6394,3.535,1.291,9.373,0.002272,0.0004066,0.02491
hot OB (logT>=4.3),HeII,5662,0.9002,0.00464,0.0009639,0.01633,0.007657,0.002118,0.01603,9.543e-13,4.774e-15,3.292e-11
hot OB (logT>=4.3),HeI,5662,0,,,,,,,,,
hot OB (logT>=4.3),HI,5662,0,,,,,,,,,
"evolved OB/BSG (4.0-4.3, logL>3.6)",FeCZ,1276,1,0.01728,0.01406,0.02357,10.8,9.688,13.25,0.4089,0.3762,0.4408
"evolved OB/BSG (4.0-4.3, logL>3.6)",HeII,1276,1,0.0007575,0.0006515,0.0008524,0.2573,0.1731,0.3503,1.359e-07,3.671e-08,3.665e-07
"evolved OB/BSG (4.0-4.3, logL>3.6)",HeI,1276,0,,,,,,,,,
"evolved OB/BSG (4.0-4.3, logL>3.6)",HI,1276,0,,,,,,,,,
YSG (3.75-4.0),FeCZ,3183,0.8539,0.00644,0.003633,0.0126,1.866,1.062,4.363,0.1032,0.02818,0.2556
YSG (3.75-4.0),HeII,3183,0.999,0.009726,0.002915,0.01506,1.435,0.5811,2.235,0.001576,2.081e-05,0.01239
YSG (3.75-4.0),HeI,3183,0.178,1.603e-05,2.154e-06,2.871e-05,0.0005676,0.0003064,0.0009143,1.443e-15,1.11e-16,9.326e-15
YSG (3.75-4.0),HI,3183,0.92,0.01554,0.0001569,0.04864,11.5,0.02748,12.64,0.5546,2.622e-10,0.9526
