sample,y,x,coef,lo,hi,n_rows,n_tracks
MW w0.0 | sHRD domain,log_v,logLspec,1.3558,1.3396,1.3677,3432,21
MW w0.0 | sHRD domain,log_v,logTeff,-1.8990,-2.0846,-1.6697,3432,21
MW w0.0 | sHRD domain,log_F,logLspec,2.8465,2.7770,2.9359,3432,21
MW w0.0 | sHRD domain,log_F,logTeff,-9.0952,-9.7658,-8.4187,3432,21
MW w0.0 | sHRD domain,log_rho,logLspec,-1.1599,-1.2173,-1.0679,3432,21
MW w0.0 | sHRD domain,log_rho,logTeff,0.1609,0.0321,0.2134,3432,21
MW w0.0 | sHRD domain,log_nuc,logLspec,-0.1307,-0.1716,-0.0709,3432,21
MW w0.0 | sHRD domain,log_nuc,logTeff,1.7245,1.4917,1.9455,3432,21
MW w0.0 | sHRD domain,log_mach,logLspec,1.0805,1.0437,1.1250,3432,21
MW w0.0 | sHRD domain,log_mach,logTeff,-1.6894,-1.9226,-1.4360,3432,21
"MW w0.0 | hot, 3.16<logL<3.70",log_v,logLspec,1.4025,1.3654,1.4442,2004,14
"MW w0.0 | hot, 3.16<logL<3.70",log_v,logTeff,-2.1420,-2.2043,-2.0770,2004,14
"MW w0.0 | hot, 3.16<logL<3.70",log_F,logLspec,3.0897,2.9932,3.1842,2004,14
"MW w0.0 | hot, 3.16<logL<3.70",log_F,logTeff,-10.2476,-10.3905,-10.0876,2004,14
"MW w0.0 | hot, 3.16<logL<3.70",log_mach,logLspec,1.1954,1.1625,1.2282,2004,14
"MW w0.0 | hot, 3.16<logL<3.70",log_mach,logTeff,-2.1223,-2.1707,-2.0747,2004,14
"MW w0.0 | hot, 3.70<logL<4.40",log_v,logLspec,1.9605,1.7909,2.1179,1395,11
"MW w0.0 | hot, 3.70<logL<4.40",log_v,logTeff,0.4341,0.1130,0.6196,1395,11
"MW w0.0 | hot, 3.70<logL<4.40",log_F,logLspec,3.1751,2.7556,3.5580,1395,11
"MW w0.0 | hot, 3.70<logL<4.40",log_F,logTeff,-3.3043,-4.1207,-2.8364,1395,11
"MW w0.0 | hot, 3.70<logL<4.40",log_mach,logLspec,0.8715,0.7310,1.0010,1395,11
"MW w0.0 | hot, 3.70<logL<4.40",log_mach,logTeff,0.1275,-0.0692,0.2744,1395,11
MW w0.0 | tau+logM,log_v,tau,0.7470,0.7352,0.7603,3015,15
MW w0.0 | tau+logM,log_v,logM,1.6524,1.5494,1.7014,3015,15
MW w0.0 | tau+logM,log_F,tau,2.3128,2.2808,2.3434,3015,15
MW w0.0 | tau+logM,log_F,logM,1.7710,1.3880,1.9656,3015,15
MW w0.0 | tau+logM,log_rho,tau,-0.3759,-0.3895,-0.3626,3015,15
MW w0.0 | tau+logM,log_rho,logM,-1.9043,-1.9220,-1.8722,3015,15
MW w0.0 | tau+logM,log_nuc,tau,-0.1800,-0.2180,-0.1413,3015,15
MW w0.0 | tau+logM,log_nuc,logM,0.3656,0.3520,0.3782,3015,15
MW w0.2 | sHRD domain,log_v,logLspec,1.3325,1.3176,1.3476,3324,21
MW w0.2 | sHRD domain,log_v,logTeff,-1.9014,-2.1167,-1.6934,3324,21
MW w0.2 | sHRD domain,log_F,logLspec,2.8677,2.7944,2.9604,3324,21
MW w0.2 | sHRD domain,log_F,logTeff,-9.2231,-9.9737,-8.5729,3324,21
MW w0.2 | sHRD domain,log_rho,logLspec,-1.0953,-1.1370,-1.0345,3324,21
MW w0.2 | sHRD domain,log_rho,logTeff,0.0727,-0.0165,0.1230,3324,21
MW w0.2 | sHRD domain,log_nuc,logLspec,-0.0951,-0.1293,-0.0460,3324,21
MW w0.2 | sHRD domain,log_nuc,logTeff,1.6251,1.3975,1.8161,3324,21
MW w0.2 | sHRD domain,log_mach,logLspec,1.1012,1.0674,1.1437,3324,21
MW w0.2 | sHRD domain,log_mach,logTeff,-1.7643,-2.0172,-1.5321,3324,21
"MW w0.2 | hot, 3.16<logL<3.70",log_v,logLspec,1.4002,1.3595,1.4381,1998,14
"MW w0.2 | hot, 3.16<logL<3.70",log_v,logTeff,-2.1115,-2.1744,-2.0483,1998,14
"MW w0.2 | hot, 3.16<logL<3.70",log_F,logLspec,3.0733,2.9765,3.1658,1998,14
"MW w0.2 | hot, 3.16<logL<3.70",log_F,logTeff,-10.1091,-10.2529,-9.9676,1998,14
"MW w0.2 | hot, 3.16<logL<3.70",log_mach,logLspec,1.1890,1.1576,1.2234,1998,14
"MW w0.2 | hot, 3.16<logL<3.70",log_mach,logTeff,-2.0889,-2.1339,-2.0403,1998,14
"MW w0.2 | hot, 3.70<logL<4.40",log_v,logLspec,2.1337,2.0109,2.3221,1391,11
"MW w0.2 | hot, 3.70<logL<4.40",log_v,logTeff,0.0900,-0.4288,0.3262,1391,11
"MW w0.2 | hot, 3.70<logL<4.40",log_F,logLspec,3.5701,3.3885,3.8889,1391,11
"MW w0.2 | hot, 3.70<logL<4.40",log_F,logTeff,-4.0286,-5.0032,-3.5678,1391,11
"MW w0.2 | hot, 3.70<logL<4.40",log_mach,logLspec,0.9567,0.8926,1.0566,1391,11
"MW w0.2 | hot, 3.70<logL<4.40",log_mach,logTeff,-0.0391,-0.1854,0.0634,1391,11
MW w0.2 | tau+logM,log_v,tau,0.7452,0.7309,0.7585,3015,15
MW w0.2 | tau+logM,log_v,logM,1.6526,1.5504,1.7077,3015,15
MW w0.2 | tau+logM,log_F,tau,2.3086,2.2760,2.3379,3015,15
MW w0.2 | tau+logM,log_F,logM,1.7747,1.3848,1.9696,3015,15
MW w0.2 | tau+logM,log_rho,tau,-0.3802,-0.3934,-0.3662,3015,15
MW w0.2 | tau+logM,log_rho,logM,-1.9091,-1.9262,-1.8756,3015,15
MW w0.2 | tau+logM,log_nuc,tau,-0.1926,-0.2327,-0.1485,3015,15
MW w0.2 | tau+logM,log_nuc,logM,0.3476,0.3301,0.3725,3015,15
MW w0.4 | sHRD domain,log_v,logLspec,1.3364,1.2872,1.3684,3301,20
MW w0.4 | sHRD domain,log_v,logTeff,-1.9119,-2.0242,-1.7741,3301,20
MW w0.4 | sHRD domain,log_F,logLspec,2.8927,2.8223,2.9366,3301,20
MW w0.4 | sHRD domain,log_F,logTeff,-9.3009,-9.6616,-8.9112,3301,20
MW w0.4 | sHRD domain,log_rho,logLspec,-1.0956,-1.1427,-1.0299,3301,20
MW w0.4 | sHRD domain,log_rho,logTeff,0.0469,-0.0317,0.1077,3301,20
MW w0.4 | sHRD domain,log_nuc,logLspec,-0.0886,-0.1047,-0.0726,3301,20
MW w0.4 | sHRD domain,log_nuc,logTeff,1.5624,1.4404,1.6882,3301,20
MW w0.4 | sHRD domain,log_mach,logLspec,1.1036,1.0892,1.1155,3301,20
MW w0.4 | sHRD domain,log_mach,logTeff,-1.8028,-1.9340,-1.6734,3301,20
"MW w0.4 | hot, 3.16<logL<3.70",log_v,logLspec,1.3882,1.3442,1.4322,1972,14
"MW w0.4 | hot, 3.16<logL<3.70",log_v,logTeff,-1.9933,-2.0562,-1.9278,1972,14
"MW w0.4 | hot, 3.16<logL<3.70",log_F,logLspec,3.0252,2.9043,3.1317,1972,14
"MW w0.4 | hot, 3.16<logL<3.70",log_F,logTeff,-9.7057,-9.8742,-9.5481,1972,14
"MW w0.4 | hot, 3.16<logL<3.70",log_mach,logLspec,1.1674,1.1361,1.2048,1972,14
"MW w0.4 | hot, 3.16<logL<3.70",log_mach,logTeff,-1.9700,-2.0141,-1.9175,1972,14
"MW w0.4 | hot, 3.70<logL<4.40",log_v,logLspec,2.1466,2.0082,2.2435,1398,11
"MW w0.4 | hot, 3.70<logL<4.40",log_v,logTeff,-0.0731,-0.3220,0.1515,1398,11
"MW w0.4 | hot, 3.70<logL<4.40",log_F,logLspec,3.6553,3.4147,3.8731,1398,11
"MW w0.4 | hot, 3.70<logL<4.40",log_F,logTeff,-4.4108,-4.8238,-4.0440,1398,11
"MW w0.4 | hot, 3.70<logL<4.40",log_mach,logLspec,0.9348,0.8575,1.0356,1398,11
"MW w0.4 | hot, 3.70<logL<4.40",log_mach,logTeff,-0.1101,-0.2115,-0.0169,1398,11
MW w0.4 | tau+logM,log_v,tau,0.7540,0.7428,0.7665,2814,14
MW w0.4 | tau+logM,log_v,logM,1.5630,1.5085,1.5982,2814,14
MW w0.4 | tau+logM,log_F,tau,2.3102,2.2798,2.3414,2814,14
MW w0.4 | tau+logM,log_F,logM,1.3963,1.1867,1.5210,2814,14
