logL,med,p16,p84,n,q
2.725,1.230,1.176,1.294,5.000,log vmac (logT>4.3)
2.875,1.204,0.976,1.347,13.000,log vmac (logT>4.3)
3.025,1.290,1.079,1.643,12.000,log vmac (logT>4.3)
3.175,1.312,1.000,1.523,14.000,log vmac (logT>4.3)
3.325,1.518,1.353,1.672,42.000,log vmac (logT>4.3)
3.475,1.602,1.431,1.740,70.000,log vmac (logT>4.3)
3.625,1.728,1.578,1.846,50.000,log vmac (logT>4.3)
3.775,1.792,1.701,1.860,59.000,log vmac (logT>4.3)
3.925,1.839,1.743,1.929,116.000,log vmac (logT>4.3)
4.075,1.903,1.801,1.973,121.000,log vmac (logT>4.3)
4.225,1.940,1.853,2.037,72.000,log vmac (logT>4.3)
4.375,1.863,1.815,1.992,5.000,log vmac (logT>4.3)
2.575,2.479,2.376,2.587,6.000,log alpha0 (OB)
3.025,1.760,1.274,2.067,5.000,log alpha0 (OB)
3.175,1.653,1.160,1.964,4.000,log alpha0 (OB)
3.325,1.736,1.618,2.277,5.000,log alpha0 (OB)
3.475,2.220,1.813,2.769,8.000,log alpha0 (OB)
3.625,2.347,1.932,2.833,25.000,log alpha0 (OB)
3.775,2.521,2.264,2.970,35.000,log alpha0 (OB)
3.925,2.563,2.271,3.014,44.000,log alpha0 (OB)
4.075,3.101,2.515,3.656,55.000,log alpha0 (OB)
4.225,3.475,2.740,3.859,27.000,log alpha0 (OB)
