model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
749,5,4.99995,0.738935,4.27776,2.77468,2.07389,9676.31,0.935163,7.58487,176744,0.978319,0.0691342,0.209662,0,,,,,,,,,,,,,,,
771,5,4.99962,0.6886,4.26729,2.80247,2.10171,10694.5,0.932798,7.38503,177063,0.976404,0.0717651,0.189589,0,,,,,,,,,,,,,,,
783,5,4.99929,0.638679,4.26303,2.8323,2.13157,11057.7,0.930212,7.17699,176868,0.975073,0.0747078,0.183705,0,,,,,,,,,,,,,,,
794,5,4.99895,0.588015,4.25901,2.86189,2.16119,11682.2,0.927427,6.97713,177744,0.973542,0.0777534,0.173669,0,,,,,,,,,,,,,,,
805,5,4.99859,0.534804,4.25432,2.89188,2.19122,12081.2,0.924623,6.78074,177409,0.972011,0.0809737,0.168266,0,,,,,,,,,,,,,,,
815,5,4.99824,0.484987,4.24924,2.91892,2.21828,12752,0.921909,6.60899,177846,0.970314,0.0839978,0.159376,0,,,,,,,,,,,,,,,
825,5,4.99789,0.434192,4.24328,2.94533,2.24472,13499.3,0.919169,6.44571,178174,0.968446,0.087065,0.150187,0,,,,,,,,,,,,,,,
834,5,4.99757,0.387901,4.23706,2.96829,2.26771,14430.1,0.916676,6.30734,178676,0.966498,0.0898266,0.140607,0,,,,,,,,,,,,,,,
844,5,4.99722,0.336243,4.22917,2.99263,2.29208,15325.2,0.914047,6.16414,178461,0.964285,0.0928544,0.132064,0,,,,,,,,,,,,,,,
854,5,4.99687,0.284769,4.22025,3.01551,2.315,16659.5,0.911462,6.03281,178517,0.961675,0.0957999,0.122134,0,,,,,,,,,,,,,,,
863,5,4.99658,0.238924,4.21137,3.03465,2.33416,18088.9,0.909203,5.92525,178781,0.959082,0.0983365,0.1124,0,,,,,,,,,,,,,,,
873,5,4.99627,0.188806,4.20065,3.05429,2.35382,19952.8,0.906843,5.81704,178922,0.955924,0.101012,0.102148,0,,,,,,,,,,,,,,,
884,5,4.99595,0.134259,4.18804,3.07424,2.3738,22383.8,0.904336,5.70916,179308,0.952091,0.103807,0.0907938,0,,,,,,,,,,,,,,,
894,5,4.99567,0.0838259,4.17643,3.09191,2.3915,24926.3,0.902091,5.61554,179463,0.948301,0.106351,0.0819158,0,,,,,,,,,,,,,,,
902,5,4.99544,0.0375628,4.16966,3.10983,2.40944,26333.6,0.899802,5.52226,179376,0.945559,0.108994,0.0775838,0,,,,,,,,,,,,,,,
939,5,4.99525,0.000984356,4.2076,3.16515,2.46477,18873.8,0.892248,5.24487,179795,0.951012,0.117585,0.107637,0,,,,,,,,,,,,,,,
1276,5,4.99523,1.03493e-21,4.15755,3.19891,2.49853,29477.8,0.887316,5.08306,180205,0.935749,0.12317,0.0694004,0,,,,,,,,,,,,,,,
1307,5,4.99521,0,4.10709,3.21451,2.51414,45523.3,0.884985,5.01007,180258,0.918014,0.125844,0.0452471,0,,,,,,,,,,,,,,,
1334,5,4.9952,1.8653e-42,4.05535,3.20912,2.50874,70159.9,0.885862,5.03515,179936,0.898174,0.124912,0.029585,0,,,,,,,,,,,,,,,
1358,5,4.99518,0,4.00489,3.19348,2.49311,107516,0.888134,5.10861,180081,0.876273,0.122255,0.0194596,0,,,,,,,,,,,,,,,
1381,5,4.99515,0,3.95303,3.17007,2.46971,164143,0.891569,5.22078,179708,0.851949,0.118384,0.0128876,0,,,,,,,,,,,,,,,
1403,5,4.99512,0,3.90173,3.14148,2.44111,251880,0.895488,5.36138,179908,0.826445,0.113826,0.00849592,0,,,,,,,,,,,,,,,
1426,5,4.9951,0,3.85076,3.10935,2.40898,382244,0.899808,5.52432,179637,0.800205,0.108921,0.00570595,0,,,,,,,,,,,,,,,
1453,5,4.99509,0,3.8001,3.07514,2.37477,567144,0.904259,5.7034,178969,0.772728,0.103934,0.00390217,0,,,,,,,,,,,,,,,
1483,5,4.99508,0,3.74866,3.03812,2.33776,857681,0.908774,5.90394,178635,0.744216,0.0988007,0.00264143,0,,,,,,,,,,,,,,,
