model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
722,5,4.99994,0.714691,4.24171,2.72918,2.02839,18509.7,0.922439,10.7419,191559,0.974614,0.088171,0.10655,0,,,,,,,,,,,,,,,
744,5,4.9995,0.664474,4.23209,2.7558,2.05505,20083.1,0.919652,10.4854,191556,0.972611,0.0915144,0.0979264,0,,,,,,,,,,,,,,,
758,5,4.99903,0.610972,4.22615,2.78726,2.08655,21170.5,0.916233,10.191,191524,0.970758,0.0956354,0.0931424,0,,,,,,,,,,,,,,,
769,5,4.99861,0.564262,4.22129,2.81421,2.11354,22011.9,0.913226,9.94575,191314,0.969135,0.099318,0.089804,0,,,,,,,,,,,,,,,
780,5,4.99816,0.514816,4.21583,2.84182,2.14119,22957.8,0.909995,9.70085,191233,0.967321,0.103241,0.0858848,0,,,,,,,,,,,,,,,
791,5,4.99768,0.463273,4.20952,2.86952,2.16893,24408.7,0.90657,9.46174,191398,0.965159,0.107338,0.0810761,0,,,,,,,,,,,,,,,
802,5,4.9972,0.410171,4.20214,2.89665,2.1961,26039.7,0.90312,9.23349,191422,0.962751,0.111511,0.0760859,0,,,,,,,,,,,,,,,
812,5,4.99675,0.361162,4.19441,2.92032,2.21981,27603.7,0.900125,9.03914,190997,0.96037,0.115289,0.0719237,0,,,,,,,,,,,,,,,
822,5,4.99631,0.312069,4.18568,2.94267,2.2422,29764.5,0.897107,8.85949,190957,0.957627,0.118977,0.0668106,0,,,,,,,,,,,,,,,
832,5,4.99589,0.263311,4.17594,2.96336,2.26292,32198.2,0.894275,8.69653,190773,0.954642,0.122496,0.0617314,0,,,,,,,,,,,,,,,
843,5,4.99546,0.210359,4.16412,2.98403,2.28363,35696.9,0.891328,8.53689,190713,0.950914,0.12612,0.0558758,0,,,,,,,,,,,,,,,
853,5,4.99509,0.162876,4.15245,3.00106,2.3007,39536.8,0.888757,8.40749,190904,0.947156,0.129185,0.0503536,0,,,,,,,,,,,,,,,
864,5,4.99471,0.110662,4.13892,3.01841,2.31808,44067.2,0.886303,8.27801,190420,0.94275,0.132389,0.045383,0,,,,,,,,,,,,,,,
874,5,4.99437,0.0605981,4.12719,3.03526,2.33496,48675.6,0.883646,8.15397,190583,0.938434,0.135575,0.0409554,0,,,,,,,,,,,,,,,
882,5,4.99407,0.0118149,4.13243,3.0645,2.36422,45852.9,0.87928,7.94378,189815,0.937899,0.141287,0.0438152,0,,,,,,,,,,,,,,,
932,5,4.994,0.000991836,4.16515,3.11105,2.41078,34216.8,0.871498,7.62074,189837,0.943389,0.150879,0.0585082,0,,,,,,,,,,,,,,,
1265,5,4.99397,7.87103e-19,4.11476,3.13707,2.4368,52324.2,0.867088,7.44588,189461,0.926947,0.156519,0.0384409,0,,,,,,,,,,,,,,,
1295,5,4.99395,0,4.06404,3.14606,2.44579,82329.1,0.865111,7.38638,190318,0.907356,0.158517,0.0246404,0,,,,,,,,,,,,,,,
1321,5,4.99392,0,4.01193,3.13226,2.432,125910,0.867906,7.47786,189549,0.886646,0.155463,0.0162622,0,,,,,,,,,,,,,,,
1344,5,4.99389,0,3.96138,3.10751,2.40725,195414,0.871982,7.64476,190145,0.864182,0.15013,0.0105956,0,,,,,,,,,,,,,,,
1366,5,4.99386,0,3.91066,3.07472,2.37446,297002,0.8775,7.87149,190105,0.841475,0.14334,0.00701143,0,,,,,,,,,,,,,,,
1389,5,4.99384,0,3.85931,3.03563,2.33537,459176,0.883603,8.15079,190511,0.81749,0.135651,0.00458538,0,,,,,,,,,,,,,,,
1416,5,4.99383,0,3.80803,2.99299,2.29274,704181,0.889978,8.46701,190734,0.791813,0.127737,0.00303171,0,,,,,,,,,,,,,,,
1445,5,4.99381,0,3.75777,2.94886,2.24861,1.06227e+06,0.896325,8.80745,190539,0.766453,0.120035,0.00204602,0,,,,,,,,,,,,,,,
1478,5,4.9938,0,3.70693,2.89704,2.19679,1.80035e+06,0.903108,9.22606,191028,0.756554,0.111598,0.00129976,0,,,,,,,,,,,,,,,
1540,5,4.99378,0,3.65674,2.77749,2.07724,1.30781e+08,0.995785,105.152,100304,0.865943,0.965591,0.0113639,107466,1.03826,0.0219648,1216.95,4.76267e+10,4.81664e+10,5.39668e+08,5.39668e+08,0.00760065,357,1.30781e+08,5.35944e+08,2.88724e-07,2.85489e-07,2.54804e-05,2.54804e-05
1649,5,4.99366,0,3.6066,3.11256,2.41232,4.66479e+08,0.99618,116.299,100018,0.771714,2.31087,0.00913979,377577,0.926924,0.0196494,1235.45,1.06955e+11,1.09244e+11,2.28897e+09,2.28897e+09,0.00240742,430,4.66479e+08,1.71849e+09,1.28568e-07,1.25874e-07,6.00749e-06,6.00749e-06
2148,5,4.97716,0,3.65693,3.05144,2.35264,7.83065e+06,0.976156,18.9902,100097,0.837194,0.328868,0.0123903,1968.77,1.79717,0.0381902,3977.43,4.89027e+09,5.06025e+09,1.69976e+08,1.69976e+08,0.0074723,214,7.83065e+06,3.27995e+07,2.81191e-06,2.71745e-06,8.08994e-05,8.08994e-05
2190,5,4.9766,0,3.70765,3.1262,2.42745,1.42803e+06,0.867658,7.57085,190052,0.689625,0.155756,0.00162557,0,,,,,,,,,,,,,,,
2220,5,4.97611,0,3.75851,3.15826,2.45955,936354,0.861997,7.35821,189824,0.7194,0.162994,0.00239911,0,,,,,,,,,,,,,,,
2320,5,4.9697,0,3.70789,3.17615,2.478,1.35777e+06,0.858665,7.2354,189418,0.67482,0.167229,0.00172715,0,,,,,,,,,,,,,,,
2369,5,4.96696,0,3.65698,3.13611,2.43819,3.26008e+06,0.958683,11.3616,100161,0.825982,0.239598,0.0126947,529.332,2.01118,0.0425665,6158.85,2.56182e+09,2.68637e+09,1.24557e+08,1.24557e+08,0.00692647,244,3.26008e+06,1.34324e+07,5.36767e-06,5.11879e-06,0.0001104,0.0001104
729,5.2,5.19993,0.7147,4.25194,2.7894,2.07158,16788.4,0.917901,10.3299,191430,0.975046,0.0936534,0.117332,0,,,,,,,,,,,,,,,
752,5.2,5.1994,0.66428,4.24232,2.81638,2.09861,18351.4,0.91489,10.0807,191493,0.973011,0.0972632,0.107677,0,,,,,,,,,,,,,,,
766,5.2,5.19887,0.614952,4.2369,2.84556,2.12783,19096.7,0.911593,9.81843,191184,0.971386,0.101326,0.103526,0,,,,,,,,,,,,,,,
779,5.2,5.19832,0.563906,4.23167,2.87519,2.15751,19868.3,0.908055,9.55939,191093,0.96966,0.10563,0.099219,0,,,,,,,,,,,,,,,
791,5.2,5.19776,0.513409,4.22617,2.90352,2.18588,20984.1,0.904471,9.3187,191265,0.967739,0.109923,0.0943046,0,,,,,,,,,,,,,,,
802,5.2,5.19722,0.464786,4.22029,2.9298,2.21221,21940.9,0.901125,9.10098,191023,0.965834,0.114064,0.0902013,0,,,,,,,,,,,,,,,
813,5.2,5.19666,0.414292,4.21341,2.95582,2.23828,23324.8,0.897615,8.89071,191062,0.963589,0.118321,0.0849819,0,,,,,,,,,,,,,,,
824,5.2,5.19609,0.362554,4.20541,2.98108,2.26358,24733.4,0.8942,8.69133,190709,0.961148,0.122609,0.0800024,0,,,,,,,,,,,,,,,
834,5.2,5.19557,0.314975,4.19709,3.003,2.28555,26646.9,0.891034,8.52222,190758,0.958522,0.126459,0.0744215,0,,,,,,,,,,,,,,,
845,5.2,5.19502,0.262686,4.18679,3.02547,2.30806,29114.5,0.887771,8.35245,190558,0.955324,0.130535,0.0684655,0,,,,,,,,,,,,,,,
856,5.2,5.1945,0.21074,4.17531,3.04603,2.32866,31915.3,0.884725,8.20008,190293,0.951818,0.134379,0.0624426,0,,,,,,,,,,,,,,,
866,5.2,5.19406,0.163858,4.16393,3.06316,2.34583,35150.5,0.882103,8.07535,190132,0.948215,0.137671,0.0568688,0,,,,,,,,,,,,,,,
