model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
797,5,4.99996,0.750682,4.31194,2.81289,2.1121,3414.83,0.942411,5.91522,147010,0.983796,0.0588737,0.647525,0,,,,,,,,,,,,,,,
817,5,4.99974,0.696937,4.30329,2.84523,2.14446,3744.96,0.940085,5.71537,147547,0.982358,0.061285,0.589961,0,,,,,,,,,,,,,,,
826,5,4.99955,0.650358,4.30097,2.87381,2.17306,3893.13,0.937935,5.5449,148310,0.981438,0.063504,0.565252,0,,,,,,,,,,,,,,,
836,5,4.99932,0.596446,4.29779,2.90582,2.20508,4058.41,0.935446,5.36061,148774,0.980332,0.066092,0.542507,0,,,,,,,,,,,,,,,
845,5,4.99911,0.547395,4.29423,2.9339,2.23319,4252.72,0.933165,5.20436,149401,0.979211,0.0684552,0.516358,0,,,,,,,,,,,,,,,
854,5,4.9989,0.498009,4.28996,2.96119,2.2605,4437.52,0.930883,5.05727,149647,0.978034,0.0708378,0.493966,0,,,,,,,,,,,,,,,
863,5,4.99868,0.448345,4.28494,2.98769,2.28702,4733.63,0.928565,4.91883,150408,0.976633,0.0732365,0.462326,0,,,,,,,,,,,,,,,
872,5,4.99846,0.398443,4.2791,3.01318,2.31253,5005.8,0.92629,4.7896,150470,0.975182,0.0756268,0.438613,0,,,,,,,,,,,,,,,
881,5,4.99824,0.348559,4.27242,3.03754,2.3369,5393.12,0.924017,4.66957,151065,0.973494,0.0779885,0.406581,0,,,,,,,,,,,,,,,
890,5,4.99803,0.29911,4.26493,3.06061,2.35999,5863,0.921793,4.55894,151680,0.971615,0.0802988,0.374022,0,,,,,,,,,,,,,,,
899,5,4.99782,0.250387,4.25665,3.0822,2.3816,6362.85,0.919658,4.45805,152087,0.969617,0.0825262,0.343831,0,,,,,,,,,,,,,,,
909,5,4.9976,0.197204,4.24662,3.1045,2.40392,7047.85,0.917382,4.35643,152616,0.967139,0.084898,0.310195,0,,,,,,,,,,,,,,,
918,5,4.99742,0.149982,4.23696,3.1233,2.42274,7795.98,0.915398,4.27274,153258,0.964661,0.0869552,0.279908,0,,,,,,,,,,,,,,,
928,5,4.99723,0.0972498,4.22595,3.14339,2.44284,8688.86,0.913242,4.1854,153639,0.961744,0.0892126,0.251642,0,,,,,,,,,,,,,,,
937,5,4.99705,0.045016,4.2178,3.16371,2.46317,9515.29,0.910973,4.09905,154462,0.959046,0.0915598,0.229164,0,,,,,,,,,,,,,,,
953,5,4.9969,0.00088883,4.25383,3.21474,2.51422,7104.27,0.905049,3.89107,155748,0.962872,0.0977551,0.305231,0,,,,,,,,,,,,,,,
1224,5,4.99688,2.06296e-25,4.20273,3.25833,2.55781,11343,0.899672,3.72284,156649,0.950046,0.103404,0.190808,0,,,,,,,,,,,,,,,
1257,5,4.99686,0,4.15108,3.2813,2.58079,17953.7,0.896726,3.63756,156938,0.934777,0.106523,0.121462,0,,,,,,,,,,,,,,,
1285,5,4.99685,3.49014e-41,4.10001,3.28443,2.58391,28217.1,0.896291,3.62618,157324,0.917466,0.106957,0.0779161,0,,,,,,,,,,,,,,,
1311,5,4.99684,1.91736e-40,4.04816,3.27776,2.57725,43898.3,0.897149,3.65059,157373,0.897304,0.106037,0.0504531,0,,,,,,,,,,,,,,,
1335,5,4.99683,0,3.99653,3.26446,2.56395,66753.8,0.898887,3.69986,156814,0.874734,0.104228,0.0335323,0,,,,,,,,,,,,,,,
1357,5,4.9968,0,3.9461,3.24686,2.54635,100130,0.901123,3.76624,156310,0.850334,0.101884,0.0226268,0,,,,,,,,,,,,,,,
1379,5,4.99677,9.58029e-38,3.89444,3.22527,2.52476,151379,0.903799,3.84955,155643,0.824215,0.0990869,0.0152551,0,,,,,,,,,,,,,,,
1402,5,4.99676,0,3.84368,3.20148,2.50097,225573,0.906642,3.94363,155080,0.797413,0.0960984,0.0103798,0,,,,,,,,,,,,,,,
1429,5,4.99674,0,3.79326,3.17582,2.47532,337908,0.909576,4.04792,154926,0.767987,0.0929829,0.00706521,0,,,,,,,,,,,,,,,
1458,5,4.99672,0,3.74257,3.14718,2.44667,498505,0.912796,4.16789,153718,0.740281,0.0896294,0.00493834,0,,,,,,,,,,,,,,,
1500,5,4.99671,0,3.69255,3.09398,2.39348,1.98378e+06,0.960029,7.72657,100226,0.854163,0.146976,0.016035,331.97,2.00526,0.0413808,5975.77,2.73934e+08,3.42158e+08,6.8224e+07,6.8224e+07,0.00948815,95,1.98378e+06,3.1535e+06,5.01982e-05,4.0189e-05,0.000201556,0.000201556
1622,5,4.99654,0,3.64253,3.31144,2.61095,3.72545e+08,0.995863,75.5946,100147,0.759793,2.37305,0.0128518,326586,1.0872,0.022628,1140.72,6.87206e+10,7.04008e+10,1.68022e+09,1.68022e+09,0.00246894,434,3.72545e+08,8.85299e+08,2.001e-07,1.95324e-07,8.18405e-06,8.18405e-06
1971,5,4.96937,0,3.69341,3.37882,2.68069,802571,0.882535,3.28951,159166,0.641474,0.121248,0.00357585,0,,,,,,,,,,,,,,,
2006,5,4.96775,0,3.74429,3.39807,2.70009,476128,0.879628,3.22844,159925,0.661733,0.124431,0.00525527,0,,,,,,,,,,,,,,,
2046,5,4.96567,0,3.79495,3.41775,2.71996,326197,0.876582,3.16626,160131,0.699392,0.127748,0.00745842,0,,,,,,,,,,,,,,,
2085,5,4.96252,0,3.84535,3.44198,2.74446,221985,0.872696,3.09083,160269,0.734793,0.131942,0.0107068,0,,,,,,,,,,,,,,,
2158,5,4.95388,0,3.7942,3.46928,2.77251,319950,0.867984,3.00606,160860,0.682626,0.136886,0.00761751,0,,,,,,,,,,,,,,,
2185,5,4.95364,0,3.84499,3.48868,2.79193,220351,0.864681,2.94969,161098,0.720513,0.140462,0.0108434,0,,,,,,,,,,,,,,,
2220,5,4.95245,0,3.7938,3.47328,2.77664,319003,0.867324,2.99392,160601,0.681219,0.137634,0.00767656,0,,,,,,,,,,,,,,,
2244,5,4.95188,0,3.74212,3.46437,2.76778,463075,0.868772,3.01922,160482,0.637863,0.135996,0.00545801,0,,,,,,,,,,,,,,,
2272,5,4.95145,0,3.69163,3.45095,2.7544,755991,0.870884,3.05724,160367,0.610323,0.133532,0.00375652,0,,,,,,,,,,,,,,,
2368,5,4.95036,0,3.64143,3.42182,2.72536,1.15849e+08,0.991598,36.1287,100008,0.739658,1.47586,0.0135013,64362,1.39938,0.0290868,1799.96,3.55762e+10,3.65891e+10,1.01292e+09,1.01292e+09,0.00256728,429,1.15849e+08,2.79315e+08,3.86522e-07,3.75822e-07,1.35756e-05,1.35756e-05
804,5.2,5.19995,0.750618,4.3207,2.86946,2.15164,3190.17,0.939562,5.67196,147465,0.983969,0.0618339,0.692018,0,,,,,,,,,,,,,,,
824,5.2,5.1997,0.698967,4.31228,2.90061,2.18281,3517.96,0.937191,5.48801,148358,0.982553,0.0642806,0.624996,0,,,,,,,,,,,,,,,
834,5.2,5.19947,0.650569,4.30988,2.93035,2.21257,3689.76,0.934833,5.31848,149274,0.981567,0.0667129,0.595858,0,,,,,,,,,,,,,,,
844,5.2,5.19922,0.600071,4.30695,2.96039,2.24264,3836.19,0.932372,5.15296,149792,0.980537,0.0692697,0.57219,0,,,,,,,,,,,,,,,
854,5.2,5.19895,0.548663,4.30328,2.98991,2.27218,3958.02,0.929882,4.99581,149781,0.979469,0.0718843,0.554551,0,,,,,,,,,,,,,,,
864,5.2,5.19868,0.496452,4.29879,3.01881,2.3011,4161.02,0.927333,4.84702,150158,0.978205,0.074546,0.527466,0,,,,,,,,,,,,,,,
873,5.2,5.19843,0.448879,4.294,3.04423,2.32654,4445.69,0.924974,4.72015,151172,0.976845,0.0769739,0.491001,0,,,,,,,,,,,,,,,
882,5.2,5.19818,0.400874,4.28844,3.06885,2.35118,4688.79,0.922663,4.60082,151214,0.975463,0.0794077,0.467213,0,,,,,,,,,,,,,,,
892,5.2,5.1979,0.347298,4.28131,3.09511,2.37746,5118.65,0.920063,4.47717,152164,0.973607,0.0820948,0.426986,0,,,,,,,,,,,,,,,
901,5.2,5.19765,0.299225,4.27404,3.11762,2.39999,5486.9,0.917793,4.37409,152422,0.971872,0.0844757,0.397738,0,,,,,,,,,,,,,,,
911,5.2,5.19738,0.246383,4.26507,3.14111,2.4235,6121.94,0.9153,4.26937,153563,0.969544,0.0870395,0.355803,0,,,,,,,,,,,,,,,
920,5.2,5.19715,0.199353,4.25622,3.16094,2.44336,6610.54,0.913196,4.18317,153490,0.967467,0.0892713,0.330049,0,,,,,,,,,,,,,,,
930,5.2,5.19691,0.147535,4.24565,3.18175,2.46418,7436.96,0.910862,4.09482,154447,0.964689,0.0916788,0.29287,0,,,,,,,,,,,,,,,
939,5.2,5.1967,0.100611,4.23587,3.19978,2.48224,8177.22,0.908817,4.01995,154813,0.962109,0.0938224,0.266207,0,,,,,,,,,,,,,,,
948,5.2,5.19649,0.0497443,4.2274,3.21956,2.50203,8884.94,0.906519,3.93964,155181,0.95951,0.0962353,0.244936,0,,,,,,,,,,,,,,,
962,5.2,5.19629,0.000850943,4.26328,3.27224,2.55473,6633.49,0.900076,3.73451,156441,0.963194,0.102995,0.326182,0,,,,,,,,,,,,,,,
1014,5.2,5.19627,1.52644e-24,4.213,3.31293,2.59542,10620.2,0.894758,3.58442,157648,0.950696,0.108564,0.203543,0,,,,,,,,,,,,,,,
1047,5.2,5.19625,0,4.16196,3.33814,2.62062,17064.6,0.891281,3.49482,158787,0.935271,0.112176,0.127239,0,,,,,,,,,,,,,,,
1075,5.2,5.19624,0,4.11134,3.34251,2.625,26204.1,0.890708,3.4796,158485,0.918497,0.112817,0.0834797,0,,,,,,,,,,,,,,,
1101,5.2,5.19623,0,4.05976,3.33701,2.6195,40180.6,0.891498,3.4988,158039,0.89881,0.112013,0.0549014,0,,,,,,,,,,,,,,,
1125,5.2,5.19622,1.18531e-39,4.00833,3.32487,2.60736,62357.2,0.893123,3.54167,158233,0.875742,0.11026,0.0358166,0,,,,,,,,,,,,,,,
1147,5.2,5.19619,0,3.95792,3.30835,2.59085,93134.8,0.895352,3.60087,157721,0.851164,0.107921,0.0241813,0,,,,,,,,,,,,,,,
1169,5.2,5.19616,2.52012e-38,3.90574,3.2877,2.5702,140666,0.898073,3.6765,157038,0.824224,0.105072,0.0162617,0,,,,,,,,,,,,,,,
1191,5.2,5.19614,0,3.85516,3.26509,2.54759,212040,0.900919,3.7613,156916,0.796531,0.102043,0.010966,0,,,,,,,,,,,,,,,
1217,5.2,5.19612,0,3.8046,3.24057,2.52307,312447,0.90397,3.85581,155934,0.767297,0.098864,0.00763088,0,,,,,,,,,,,,,,,
1245,5.2,5.19611,0,3.75437,3.21369,2.4962,460378,0.90714,3.96197,155530,0.7376,0.0954922,0.00526032,0,,,,,,,,,,,,,,,
1279,5.2,5.19609,0,3.70383,3.17723,2.45973,820957,0.911341,4.1123,154142,0.731745,0.0911327,0.00349384,0,,,,,,,,,,,,,,,
1373,5.2,5.19604,0,3.65368,3.22176,2.50427,2.8934e+08,0.995949,77.2723,100240,0.794797,1.89755,0.0129609,257717,1.08173,0.0225025,1122.7,6.62274e+10,6.74727e+10,1.24535e+09,1.24535e+09,0.00324394,413,2.8934e+08,7.03381e+08,2.07633e-07,2.03801e-07,1.10419e-05,1.10419e-05
1767,5.2,5.16533,0,3.70489,3.43904,2.72412,655075,0.875854,3.15094,159851,0.628677,0.128355,0.00405883,0,,,,,,,,,,,,,,,
1800,5.2,5.16362,0,3.75639,3.45611,2.74133,435337,0.873103,3.09928,160697,0.662668,0.131354,0.0057324,0,,,,,,,,,,,,,,,
1839,5.2,5.16129,0,3.80761,3.47531,2.76073,294450,0.870001,3.04121,160491,0.702386,0.134781,0.00822538,0,,,,,,,,,,,,,,,
1869,5.2,5.15771,0,3.85792,3.49925,2.78498,202279,0.865885,2.96984,161043,0.737094,0.139175,0.0116897,0,,,,,,,,,,,,,,,
1941,5.2,5.14794,0,3.80645,3.52792,2.81446,292883,0.860673,2.88485,161493,0.684086,0.144689,0.00834246,0,,,,,,,,,,,,,,,
1964,5.2,5.14771,0,3.85778,3.54625,2.83281,200138,0.857351,2.8339,161812,0.722935,0.148268,0.0118788,0,,,,,,,,,,,,,,,
