observable,logTeff,logLspec,vsini,omega,omega_from_vsini
vmac,4.51,3.89,167,0.6,True
vmac,4.36,2.93,99,0.2325,True
vmac,4.11,2.23,33,0.282,False
vmac,4.13,2.4,117,0.3174,True
vmac,4.13,2.45,29,0.09588,True
vmac,4.12,2.43,18,0.06304,True
vmac,4.27,2.8,94,0.2295,True
vmac,4.25,2.36,161,0.3757,True
vmac,4.54,3.63,130,0.2829,True
vmac,4.32,2.89,68,0.1663,True
vmac,4.59,3.94,79,0.2823,True
vmac,4.51,3.89,111,0.4366,True
vmac,4.25,2.18,19,0.04255,True
vmac,4.51,3.99,196,0.6,True
vmac,4.15,2.19,64,0.282,False
vmac,4.23,2.41,137,0.3306,True
vmac,4.27,2.72,113,0.281,True
vmac,4.36,3.57,65,0.3119,True
vmac,4.48,3.83,58,0.1755,True
vmac,4.06,2.05,18,0.282,False
vmac,4.47,3.06,96,0.282,False
vmac,4.26,2.44,59,0.1372,True
vmac,4.4,3.58,33,0.08102,True
vmac,4.29,2.75,170,0.4175,True
vmac,4.54,3.84,123,0.3813,True
vmac,4.39,3.31,24,0.05574,True
vmac,4.28,2.6,186,0.4425,True
vmac,4.34,3.15,122,0.3451,True
vmac,4.53,4.02,47,0.2798,True
vmac,4.63,4.07,80,0.4685,True
vmac,4.27,2.87,128,0.3026,True
vmac,4.36,2.81,19,0.04218,True
vmac,4.56,4.18,114,0.6,True
vmac,4.14,2.26,18,0.282,False
vmac,4.22,2.55,47,0.1197,True
vmac,4.19,2.39,95,0.242,True
vmac,4.54,4.09,58,0.6,True
vmac,4.55,4.16,59,0.6,True
vmac,4.51,3.91,76,0.2978,True
vmac,4.59,3.65,33,0.06868,True
vmac,4.65,4.11,56,0.3539,True
vmac,4.49,3.86,42,0.1355,True
vmac,4.48,4.02,59,0.3981,True
vmac,4.58,4.01,139,0.6,True
vmac,4.57,4.07,59,0.4886,True
vmac,4.57,3.84,81,0.2306,True
vmac,4.28,2.75,42,0.1035,True
vmac,4.12,2.4,18,0.05849,True
vmac,4.07,2.08,33,0.282,False
vmac,4.56,4.1,93,0.6,True
vmac,4.36,2.81,91,0.2021,True
vmac,4.37,2.87,31,0.0693,True
vmac,4.24,2.63,77,0.1945,True
vmac,4.53,4.21,109,0.6,True
vmac,4.15,2.39,18,0.04755,True
vmac,4.26,2.64,13,0.03186,True
vmac,4.22,2.5,153,0.3825,True
vmac,4.26,2.51,17,0.04018,True
vmac,4.13,2.21,48,0.282,False
vmac,4.08,2.29,17,0.282,False
vmac,4.13,1.93,70,0.282,False
vmac,4.22,2.55,40,0.1019,True
vmac,4.12,2.01,30,0.282,False
vmac,4.51,3.99,131,0.6,True
vmac,4.13,2.34,63,0.1738,True
