ID,Star,Bp_kG,l_Bp,multipole,raw
1,HD 148937,1.0,,,*1.0
2,CPD -28 2561,1.7,>,,>*1.7
3,HD 37022,1.1,,,*1.1
4,HD 191612,2.5,,,*2.5
5,NGC 1624-2,20,>,m,">*20\,^m"
6,HD 47129,2.8,>,,>*2.8
7,HD 108,0.50,>,,>*0.50
8,ALS 15218,1.5,>,,>*1.5
9,HD 57682,1.7,,,*1.7
10,HD 37742,0.060,,,*0.060
11,HD 149438,0.20,,m,"*0.20\,^m"
12,HD 37061,0.65,,,*0.65
13,HD 63425,0.46,,,*0.46
14,HD 66665,0.67,,,*0.67
15,HD 46328,1.5,>,,>*1.5
16,ALS 8988,1.5,>,,>*1.5
17,HD 47777,2.1,>,,>*2.1
18,HD 205021,0.36,,,*0.36
19,ALS 15211,1.4,>,,>*1.4
20,HD 122451,0.25,>,,>*0.25
21,HD 127381,0.50,,,*0.50
22,ALS 3694,6.0,>,,>*6.0
23,HD 163472,0.40,,,*0.40
24,HD 96446,6.5,,,*6.5
25,HD 66765,2.1,>,,>*2.1
26,HD 64740,16,,,*16
27,ALS 15956,1.5,>,,>*1.5
28,ALS 9522,4.0,>,,>*4.0
29,HD 36982,0.91,,,*0.91
30,HD 37017,6.0,>,,>*6.0
31,HD 37479,9.6,,m,"*9.6\,^m"
32,HD 149277,4.7,>,,>*4.7
33,HD 184927,3.9,,m,"*3.9\,^m"
34,HD 37776,15,,m,"*15\,^m"
35,HD 136504,0.60,>,,>*0.60
36,HD 156424,0.65,>,,>*0.65
37,HD 156324,1.8,>,,>*1.8
38,HD 121743,0.53,>,,>*0.53
39,HD 3360,0.34,>,,>*0.34
40,HD 186205,1.7,>,,>*1.7
41,HD 67621,0.90,>,,>*0.90
42,HD 200775,1.0,,,*1.0
43,HD 35912,6.0,>,,>*6.0
44,HD 66522,0.90,,,*0.90
45,HD 182180,11,,,*11
46,HD 55522,2.6,>,,>*2.6
47,HD 142184,10,,,*10
48,HD 58260,7.0,>,,>*7.0
49,HD 36485,10,,,*10
50,HD 208057,0.50,>,,>*0.50
51,HD 306795,5.0,>,,>*5.0
52,HD 25558,0.15,>,,>*0.15
53,HD 35298,9.0,>,,>*9.0
54,HD 130807,2.0,>,,>*2.0
55,HD 142990,7.5,>,,>*7.5
56,HD 37058,3.0,>,,>*3.0
57,HD 35502,6.8,>,,>*6.8
58,HD 176582,7.0,,,*7.0
59,HD 189775,4.5,>,,>*4.5
60,HD 61556,4.0,,m,"*4.0\,^m"
61,HD 175362,21,>,m,">*21\,^m"
62,HD 105382,2.3,,,*2.3
63,HD 125823,1.3,>,,>*1.3
64,HD 36526,10,>,,>*10
