#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:49:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:49:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/540/3523/tablea1&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75403523
#Name: J/MNRAS/540/3523
#Title: BLOeM. Physical properties of OB stars (Bestenlehner+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	creator=Bestenlehner J.M.	    First author or institution
#INFO	cites=bibcode:2025MNRAS.540.3523B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/540/3523	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-gw-3e3	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_540_3523_tablea1:
#Name: J/MNRAS/540/3523/tablea1
#Title: Physical parameters of BLOeM OB stars
#Column	_RAJ2000	(F19.15)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F19.15)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	BLOeM	(A5)	BLOeM identifier (N-NNN) (1)	[ucd=meta.id;meta.main]
#Column	SpType	(a17)	Spectral type (1)	[ucd=src.spType]
#Column	RV	(I4)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.1)	? Radial velocity dispersion	[ucd=spect.dopplerVeloc]
#Column	Teff	(F4.1)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(F4.1)	? Error on Teff (upper)	[ucd=stat.error;stat.max]
#Column	e_Teff	(F4.1)	? Error on Teff (lower)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F5.2)	? Error on logg (upper)	[ucd=stat.error;stat.max]
#Column	e_logg	(F5.2)	? Error on logg (lower)	[ucd=stat.error]
#Column	loggc	(F5.2)	? log surface gravity centrifugal corrected	[ucd=phys.gravity]
#Column	E_loggc	(F5.2)	? Error on logg_c (upper)	[ucd=stat.error;stat.max]
#Column	e_loggc	(F5.2)	? Error on logg_c (lower)	[ucd=stat.error]
#Column	Rstar	(F5.1)	? Stellar radius	[ucd=phys.size.radius]
#Column	E_Rstar	(F4.1)	? Error on stellar radius (upper)	[ucd=stat.error;stat.max]
#Column	e_Rstar	(F4.1)	? Error on stellar radius (lower)	[ucd=stat.error]
#Column	logL	(F5.2)	? Log stellar luminosity	[ucd=phys.luminosity]
#Column	E_logL	(F5.2)	? Error on logL (upper)	[ucd=stat.error;stat.max]
#Column	e_logL	(F5.2)	? Error on logL (lower)	[ucd=stat.error]
#Column	Y	(F5.2)	? He abundance mass fraction	[ucd=phys.abund.Y]
#Column	E_Y	(F5.2)	? Error on Y (upper)	[ucd=stat.error;stat.max]
#Column	e_Y	(F5.2)	? Error on Y (lower)	[ucd=stat.error;pos.cartesian.y]
#Column	vsini	(I3)	? Projected radial velocity	[ucd=spect.dopplerVeloc]
#Column	E_vsini	(I3)	? Error on vsini (upper)	[ucd=stat.error;stat.max]
#Column	e_vsini	(I2)	? Error on vsini (lower)	[ucd=stat.error;phys.veloc.rotat]
#Column	Mspec	(F5.1)	? Spectroscopic mass	[ucd=phys.mass]
#Column	E_Mspec	(F6.1)	? Error on Mspec (upper)	[ucd=stat.error;stat.max]
#Column	e_Mspec	(F5.1)	? Error on Mspec (lower)	[ucd=stat.error]
#Column	Mevol	(F5.1)	? Evolutionary mass (2)	[ucd=phys.mass]
#Column	E_Mevol	(F4.1)	? Error on Mevol (upper)	[ucd=stat.error;stat.max]
#Column	e_Mevol	(F4.1)	? Error on Mevol (lower)	[ucd=stat.error]
#Column	Age	(F4.1)	? Stellar age	[ucd=time.age]
#Column	E_Age	(F4.1)	? Error on age (upper)	[ucd=stat.error;stat.max]
#Column	e_Age	(F4.1)	? Error on age (lower)	[ucd=stat.error;time.age]
#Column	Kmag	(F6.3)	? K-band magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	AV	(F5.2)	? Visual extinction	[ucd=phys.absorption]
#Column	Notes	(a30)	Notes (4)	[ucd=meta.note]
#Column	_RA	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	BLOeM	SpType	RV	s_RV	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	loggc	E_loggc	e_loggc	Rstar	E_Rstar	e_Rstar	logL	E_logL	e_logL	Y	E_Y	e_Y	vsini	E_vsini	e_vsini	Mspec	E_Mspec	e_Mspec	Mevol	E_Mevol	e_Mevol	Age	E_Age	e_Age	Kmag	AV	Notes	_RA	_DE
deg	deg	 	 	km/s	km/s	kK	kK	kK	cm/s2	cm/s2	cm/s2	cm/s2	cm/s2	cm/s2	Rsun	Rsun	Rsun	[Lsun]	[Lsun]	[Lsun]	 	 	 	km/s	km/s	km/s	Msun	Msun	Msun	Msun	Msun	Msun	Myr	Myr	Myr	mag	mag	 	deg	deg
-------------------	-------------------	-----	-----------------	----	-----	----	----	----	-----	-----	-----	-----	-----	-----	-----	----	----	-----	-----	-----	-----	-----	-----	---	---	--	-----	------	-----	-----	----	----	----	----	----	------	-----	------------------------------	-----------------	-----------------
015.191655255280001	-72.219161778629996	1-001	B9Iab            	 154	  1.7	13.5	 0.4	 1.9	 2.31	 0.14	 0.14	 2.31	 0.14	 0.14	 35.3	11.7	 6.9	 4.57	 0.19	 0.23	 0.15	 0.03	 0.00	 23	  9	 8	  9.4	   9.5	  3.5	 12.5	 1.1	 2.6	15.4	 3.6	 3.8	13.635	 0.32	HeI too strong, post MS       	015.1916552552800	-72.2191617786300
015.208283736660000	-72.082969710279997	1-002	B0IV:            	 206	 21.0	33.4	 1.6	 3.1	 4.10	 0.17	 0.51	 4.10	 0.17	 0.51	  8.1	 3.5	 1.9	 4.86	 0.27	 0.28	 0.24	 0.10	 0.05	 77	 19	21	 30.0	  42.7	 17.1	 17.0	 2.4	 2.7	 5.7	 2.2	 2.1	15.839	 0.39	SB1                           	015.2082837366600	-72.0829697102800
015.213185127170002	-72.060207285649994	1-003	B2.5II:          	 135	  4.0	22.5	 3.5	 3.9	 3.30	 0.34	 0.51	 3.40	 0.34	 0.51	 11.6	 5.7	 3.8	 4.49	 0.28	 0.30	 0.18	 0.15	 0.03	201	 25	24	 12.2	  33.1	  7.3	 10.6	 2.4	 1.5	13.3	 6.1	 4.1	15.536	 0.32	                              	015.2131851271700	-72.0602072856500
015.215403477840001	-72.226147982910007	1-004	B1Ib             	 189	  2.4	22.5	 1.6	 3.1	 2.90	 0.23	 0.29	 2.90	 0.23	 0.29	 27.2	 9.9	 6.1	 5.23	 0.21	 0.25	 0.34	 0.08	 0.14	 36	 14	34	 21.6	  32.2	 10.3	 16.4	 4.3	 3.5	 9.3	 2.1	 2.9	13.586	 0.40	                              	015.2154034778400	-72.2261479829100
015.230087504649999	-72.134551716600001	1-005	B1II             	 180	  1.9	29.9	 1.2	 1.2	 3.93	 0.34	 0.17	 3.93	 0.34	 0.17	 11.2	 4.3	 2.5	 4.96	 0.25	 0.25	 0.24	 0.06	 0.08	  0	 21	 0	 38.7	  86.6	 16.0	 15.7	 3.4	 2.1	 7.6	 1.2	 1.2	15.252	 0.41	                              	015.2300875046500	-72.1345517166000
015.242234903580007	-72.036684983010005	1-006	O9.5V + early B  	 106	 28.5	29.9	 2.7	 2.3	 3.31	 0.33	 0.29	 3.51	 0.33	 0.29	 11.1	 4.9	 2.9	 4.95	 0.28	 0.27	 0.25	 0.13	 0.10	303	 29	28	 14.5	  34.9	  7.2	 16.9	 2.8	 2.7	 6.8	 1.9	 1.8	15.192	 0.32	SB2, HI poor fits             	015.2422349035800	-72.0366849830100
015.270442694010001	-72.139316194890000	1-007	B1.5:II:         	 141	  1.0	25.6	 4.7	 1.6	 3.70	 0.40	 0.34	 3.72	 0.40	 0.34	  8.8	 4.2	 3.1	 4.48	 0.31	 0.27	 0.15	 0.15	 0.00	111	 20	20	 14.7	  45.5	  8.3	 12.2	 2.2	 2.0	 9.9	 4.2	 4.9	16.313	 0.33	                              	015.2704426940100	-72.1393161948900
015.277058140449999	-72.216853797590005	1-008	B9Iab            	 173	  1.5	12.7	 0.4	 0.4	 1.93	 0.11	 0.17	 1.94	 0.11	 0.17	 55.3	10.0	 7.6	 4.86	 0.14	 0.14	 0.15	 0.03	 0.00	 26	 13	10	  9.6	   5.5	  3.3	 15.5	 1.7	 1.8	10.3	 2.0	 1.3	12.787	 0.39	HeI too strong, post MS, 2MASS	015.2770581404500	-72.2168537975900
015.282359494020001	-71.999667844240022	1-009	B1Ia             	 131	  4.0	22.3	 2.3	 1.9	 2.50	 0.33	 0.14	 2.53	 0.35	 0.14	 40.1	10.4	 8.6	 5.55	 0.18	 0.17	 0.45	 0.06	 0.16	 78	 98	19	 19.8	  34.8	  7.6	 28.6	 6.6	 4.5	 5.2	 0.7	 1.1	12.779	 0.36	2MASS                         	015.2823594940200	-71.9996678442400
015.294177397509998	-72.176740654219998	1-010	B1.5III:         	 177	  2.3	26.8	 3.9	 5.1	 3.70	 0.34	 0.51	 3.75	 0.34	 0.51	  9.3	 4.8	 3.0	 4.61	 0.29	 0.31	 0.20	 0.14	 0.05	200	 25	25	 17.9	  50.4	 10.6	 12.9	 2.4	 2.6	 9.1	 5.5	 4.2	15.785	 0.33	                              	015.2941773975100	-72.1767406542200
015.302429290959999	-72.145199044720002	1-011	B1.5II           	 261	 90.7	23.7	 1.2	 3.1	 3.30	 0.34	 0.29	 3.34	 0.34	 0.29	 16.3	 6.8	 3.8	 4.87	 0.25	 0.27	 0.17	 0.07	 0.02	153	 24	24	 21.2	  50.5	 10.2	 12.8	 3.5	 1.5	11.2	 3.3	 2.1	14.575	 0.32	SB2, SiIV 4089 too weak       	015.3024292909600	-72.1451990447200
015.315394446769998	-72.109830377930010	1-012	O7.5Vn           	 264	  7.0	33.7	 3.0	 2.7	 3.69	 0.67	 0.48	 3.81	 0.67	 0.48	  8.5	 3.8	 2.3	 4.93	 0.28	 0.28	 0.36	 0.14	 0.10	303	 29	28	 17.1	 103.7	  9.7	 18.7	 3.3	 2.5	 5.0	 1.8	 2.7	15.640	 0.34	                              	015.3153944467700	-72.1098303779300
