#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/665/A150&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36650150
#Name: J/A+A/665/A150
#Title: Rotational properties of Galactic O-type stars (Holgado+ 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	creator=Holgado G.	    First author or institution
#INFO	cites=bibcode:2022A&A...665A.150H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/665/A150	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36650150	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_665_A150_tablef1:
#Name: J/A+A/665/A150/tablef1
#Title: O-type stars considered in this work with rotational parameters
#Column	Target	(a15)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	LumClass	(a15)	Luminosity class	[ucd=src.class.luminosity]
#Column	l_Teff	(A1)	Limit flag on Teff	[ucd=meta.code.error;phys.temperature.effective]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_loggt	(A1)	Limit flag on loggt	[ucd=meta.code.error]
#Column	loggt	(F5.2)	Gravity corrected from rotational effects	[ucd=phys.gravity]
#Column	l_logLsp	(A1)	Limit flag on logLsp	[ucd=meta.code.error]
#Column	logLsp	(F5.2)	Lsp parameter (1)	[ucd=phys.luminosity]
#Column	Line	(A4)	Line for analysis	[ucd=meta.id;spect.line]
#Column	vsini	(I3)	projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Extra-broadening velocity	[ucd=phys.veloc.microTurb]
#Column	Nepochs	(I3)	Number of epochs available	[ucd=meta.number]
#Column	subsample	(A1)	[abc] Flag ID for subsample clustering	[ucd=meta.code]
#Column	Notes	(A3)	Multi-epoch notes	[ucd=meta.note]
#Column	SimbadName	(a14)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Target	SpType	LumClass	l_Teff	Teff	l_loggt	loggt	l_logLsp	logLsp	Line	vsini	vmacro	Nepochs	subsample	Notes	SimbadName	_RA	_DE
 	 	 	 	kK	 	[cm/s2]	 	[Lsun]	 	km/s	km/s	 	 	 	 	deg	deg
---------------	-----	---------------	-	----	-	-----	-	-----	----	---	---	---	-	---	--------------	---------	---------
HD 93129 AaAb  	O2   	I  f*          	 	45.6	 	 3.89	 	 4.14	NV  	116	142	 12	a	SB1	HD 93129      	160.98943	-59.54757
CYG OB2-7      	O3   	I  f*          	 	50.3	 	 4.09	 	 4.11	NV  	 75	126	  1	a	   	Schulte 7     	308.30879	+41.33942
ALS 15210      	O3.5 	I  f*  Nwk     	 	42.4	 	 3.69	 	 4.21	NV  	 98	  4	  1	b	   	ALS 15210     	161.05499	-59.71951
HD 190429 A    	O4   	I  f           	 	36.6	 	 3.53	 	 4.11	NV  	 90	113	  3	b	   	HD 190429 A   	300.87248	+36.02515
HD 15570       	O4   	I  f           	 	40.2	 	 3.63	 	 4.18	NV  	 81	115	  3	b	   	HD 15570      	038.20592	+61.37836
HD 16691       	O4   	I  f           	>	39.7	>	 3.74	<	 4.05	NV  	158	 88	  3	a	SB1	HD 16691      	040.71677	+56.90457
HD 14947       	O4.5 	I  f           	 	39.1	 	 3.65	 	 4.11	OIII	114	 22	  3	b	LPV	HD 14947      	036.69579	+58.87587
CYG OB2-9      	O4.5 	I  f           	 	40.1	 	 3.92	 	 3.88	HeI 	112	 82	  1	a	   	Schulte 9     	308.29473	+41.25228
CPD -47 2963 AB	O5   	I  fc          	 	37.1	 	 3.51	 	 4.16	OIII	 67	110	  5	b	LPV	CPD -47 2963  	134.47758	-47.73770
HD 93632       	O5   	I  f  var      	 	40.0	 	 3.90	 	 3.90	OIII	 86	 47	  2	a	   	HD 93632      	161.80264	-60.09745
CYG OB2-11     	O5.5 	I  fc          	 	37.3	 	 3.63	 	 4.05	OIII	 75	 85	  1	b	   	Schulte 11    	308.53548	+41.61650
HD 169582      	O6   	Ia  f          	 	38.9	 	 3.70	 	 4.05	OIII	 66	 97	  2	b	   	HD 169582     	276.42978	-09.75306
HD 152233      	O6   	II  (f)        	 	37.8	 	 3.69	 	 4.01	OIII	 62	105	  9	b	SB1	HD 152233     	253.51496	-41.79162
HD 163758      	O6.5 	Ia  fp         	 	34.6	 	 3.29	 	 4.26	OIII	 76	 87	  3	b	LPV	HD 163758     	269.86820	-36.02100
CPD -26 2716   	O6.5 	Iab  f         	 	36.0	 	 3.51	 	 4.11	OIII	139	138	  5	b	LPV	CPD -26 2716  	118.25421	-27.11605
HD 172175      	O6.5 	I  (n)fp       	 	36.2	 	 3.58	 	 4.04	OIII	237	   	  1	b	   	HD 172175     	279.76573	-07.85984
HD 157857      	O6.5 	II  (f)        	 	36.7	 	 3.60	 	 4.05	OIII	114	 69	  5	b	   	HD 157857     	261.57222	-10.99300
HD 210839      	O6.5 	I  (n)fp       	 	35.8	 	 3.47	 	 4.14	OIII	214	   	 42	b	LPV	HD 210839     	332.87740	+59.41449
HD 151515      	O7   	II  (f)        	 	36.0	 	 3.55	 	 4.07	OIII	 67	 98	  2	b	   	HD 151515     	252.45105	-42.00172
HD 193514      	O7   	Ib  (f)        	 	35.9	 	 3.58	 	 4.03	OIII	 73	 84	  2	b	   	HD 193514     	304.78540	+39.27340
