#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee1:
#Name: J/A+A/701/A297/tablee1
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity and spectroscopic luminosity of non-pulsating Galactic stars
#Column	ID	(a11)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity (2)	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	SpType	(A2)	Spectral type (4)	[ucd=src.spType]
ID	Teff	logg	Vmic	logLsp	SpType
 	kK	[cm/s2]	km/s	 	
-----------	-----	-----	-----	-----	--
HD14947    	39.10	 3.64	15.00	 4.12	 o
HD125241   	32.10	 3.21	15.00	 4.21	 o
HD209975   	32.00	 3.30	15.00	 4.11	 o
HD225146   	28.30	 3.10	14.00	 4.10	 o
HD168076   	43.00	 3.92	 5.00	 4.00	 o
HD16832    	32.00	 3.37	15.00	 4.04	 o
HD189957   	32.10	 3.57	15.00	 3.85	 o
HD42088    	40.00	 3.99	12.00	 3.81	 o
HD12993    	39.20	 3.89	14.00	 3.87	 o
HD35619    	37.70	 3.94	15.00	 3.76	 o
HD191879   	35.80	 3.81	11.00	 3.80	 o
HD46966    	35.90	 3.84	 8.50	 3.77	 o
cpd592551  	34.90	 3.89	16.00	 3.67	 o
HD207538   	32.00	 3.80	10.00	 3.61	 o
HD34078    	34.50	 4.02	 7.50	 3.52	 o
HD214680   	35.20	 3.89	 7.50	 3.69	 o
HD96715    	45.20	 3.91	20.00	 4.10	 o
HD195592   	28.00	 2.91	15.00	 4.27	 o
HD71304    	32.00	 3.30	15.00	 4.11	 o
HD207198   	33.10	 3.31	15.00	 4.16	 o
HD225160   	33.20	 3.34	10.00	 4.14	 o
HD171589   	36.50	 3.65	15.00	 3.99	 o
HD30614    	29.00	 3.00	20.00	 4.24	 o
S1         	31.00	 4.10	 1.00	 3.26	 o
S12        	30.00	 4.10	 3.00	 3.20	 o
S15        	38.80	 4.16	 5.00	 3.59	 o
S17        	38.10	 4.10	 5.00	 3.61	 o
S33        	40.00	 3.90	10.00	 3.90	 o
HD292163   	39.20	 4.20	 5.00	 3.56	 o
HD292090   	36.60	 3.90	10.00	 3.74	 o
HD292392   	35.80	 3.90	10.00	 3.71	 o
HD292167   	32.60	 3.30	10.00	 4.14	 o
hd93222    	38.00	 3.90	 7.00	 3.71	 o
hd582620   	38.50	 3.95	 6.00	 3.78	 o
hd97848    	36.50	 3.90	 7.00	 3.74	 o
hd92504    	35.00	 3.87	 8.00	 3.70	 o
hd46202    	34.00	 4.00	 5.00	 3.52	 o
hd63005    	38.50	 3.75	 9.00	 3.98	 o
hd94963    	36.00	 3.51	10.00	 4.11	 o
hd302505   	34.00	 3.60	11.00	 3.92	 o
