#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee2:
#Name: J/A+A/701/A297/tablee2
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity, and spectroscopic luminosity of pulsating Galactic stars
#Column	ID	(A6)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	PulsType	(A3)	Type of pulsation (1)	[ucd=meta.code]
ID	Teff	logg	Vmic	logLsp	PulsType
 	kK	[cm/s2]	km/s	 	
------	-----	-----	-----	-----	---
3360  	22.00	 3.80	 2.00	 2.96	spb
3379  	20.00	 4.30	 2.00	 2.29	spb
74195 	16.50	 3.70	 2.00	 2.56	spb
160762	19.50	 4.10	 3.00	 2.45	spb
25558 	17.50	 4.00	 6.00	 2.36	spb
181558	15.00	 4.00	 6.00	 2.10	spb
26326 	15.50	 3.60	 2.00	 2.55	spb
206541	13.50	 3.80	 3.00	 2.11	spb
24587 	14.50	 4.00	 2.00	 2.04	spb
28114 	14.00	 3.50	 2.00	 2.48	spb
138764	14.50	 3.90	 3.00	 2.14	spb
215573	13.50	 3.80	 2.00	 2.11	spb
39844 	14.50	 3.70	 2.00	 2.34	spb
191295	13.00	 3.70	 3.00	 2.15	spb
21071 	13.50	 3.70	 3.00	 2.21	spb
37151 	12.50	 3.80	 2.00	 1.98	spb
42677 	11.00	 3.55	 6.40	 2.01	bsp
58973 	15.00	 3.43	 3.00	 2.67	bsp
85953 	20.00	 3.80	 6.00	 2.79	bsp
54761 	11.50	 3.11	 3.00	 2.52	bsp
48215 	14.50	 3.82	 3.00	 2.22	bsp
54596 	20.00	 3.31	 6.00	 3.28	bsp
177880	14.50	 3.81	 3.00	 2.23	bsp
51360 	13.50	 3.12	 3.00	 2.79	bsp
45284 	15.00	 4.10	 3.00	 2.00	bsp
47969 	11.50	 3.01	 3.00	 2.62	bsp
50513 	11.50	 4.04	 6.70	 1.59	bsp
55793 	11.00	 3.05	 3.00	 2.51	bsp
170795	15.50	 4.01	 3.00	 2.14	bsp
171247	10.00	 2.83	 6.60	 2.56	bsp
173673	10.00	 2.90	 3.58	 2.49	bsp
44321 	11.03	 3.62	 6.40	 1.94	bsp
44354 	13.00	 3.94	 7.00	 1.91	bsp
48808 	12.00	 3.20	 3.65	 2.51	bsp
45975 	11.25	 3.51	 3.60	 2.05	bsp
181440	11.50	 3.60	 3.80	 2.03	bsp
182198	11.00	 3.10	 3.55	 2.46	bsp
58973 	15.00	 3.43	 3.50	 2.67	bsp
42677 	11.20	 3.50	 6.50	 2.06	bsp
45284 	15.00	 4.10	 3.45	 2.00	bsp
49935 	12.50	 3.33	 6.60	 2.45	bsp
