#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:40:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:40:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/489/5669/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74895669
#Name: J/MNRAS/489/5669
#Title: MiMeS Magnetic properties of O-type stars (Petit+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/489/5669	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/489/5669	    IVOID of underlying data collection
#INFO	creator=Petit V.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.489.5669P	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/489/5669	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74895669	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_489_5669_table2:
#Name: J/MNRAS/489/5669/table2
#Title: Results from our Bayesian analysis
#Column	ID	(I3)	[1/102] Internal object identifier	[ucd=meta.id]
#Column	f_ID	(A3)	Flag on ID (G1)	[ucd=meta.code]
#Column	Name	(a13)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(a15)	Spectral type reproduced from Grunhut et al. (2017MNRAS.465.2432G, Cat. J/MNRAS/465/2432) (Paper I)	[ucd=src.spType]
#Column	Nobs	(I2)	Number of nightly averaged observations	[ucd=meta.number]
#Column	vsini	(I3)	Rotational broadening adopted in our models	[ucd=phys.veloc.rotat]
#Column	OddsV	(F5.2)	Odds ratio obtained from the Stokes V profile (1)	[ucd=stat]
#Column	OddsN	(F6.2)	Odds ratio obtained from the null profile (1)	[ucd=stat]
#Column	68V	(I3)	Upper limit to the 68.3 per cent credible region obtained from Stokes V	[ucd=phys.magField]
#Column	95V	(I4)	Upper limit to the 95.4 per cent credible region obtained from Stokes V	[ucd=phys.magField]
#Column	68N	(I3)	Upper limit to the 68.3 per cent credible region obtained from the null profile	[ucd=phys.magField]
#Column	95N	(I4)	Upper limit to the 95.4 per cent credible region obtained from the null profile	[ucd=phys.magField]
#Column	ModeV	(I3)	Mode of the probability density function marginalized for B_pole_ obtained from Stokes V	[ucd=phys.magField]
#Column	ModeN	(I3)	Mode of the probability density function marginalized for B_pole_ obtained from the null profile	[ucd=phys.magField]
#Column	SimbadName	(a11)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
ID	f_ID	Name	SpType	Nobs	vsini	OddsV	OddsN	68V	95V	68N	95N	ModeV	ModeN	SimbadName	_RA	_DE
 	 	 	 	 	km/s	 	 	10-4T	10-4T	10-4T	10-4T	10-4T	10-4T	 	deg	deg
---	---	-------------	---------------	--	---	-----	------	---	----	---	----	---	---	-----------	---------	---------
  1	SB2	HD 1337 A    	O9.5II(n)      	 1	118	 0.02	  0.41	212	 549	 63	 225	132	  0	HD 1337    	004.42943	+51.43309
  2	   	HD 1337 B    	               	 1	 23	 0.28	  0.32	275	1187	232	 931	  0	  0	HD 1337    	004.42943	+51.43309
  3	   	HD 13745     	O9.7II(n)      	 3	170	 0.20	  0.46	177	 491	105	 314	  0	  0	HD 13745   	033.94140	+55.99631
  4	   	HD 14633     	ON8.5V         	 1	120	 0.50	  0.19	 58	 209	118	 372	  0	  0	HD 14633   	035.72622	+41.47992
  5	SB3	HD 17505 Aa1 	O6.5IIIn((f))  	 1	  8	 0.27	  0.28	423	1976	358	1727	  0	  0	HD 17505   	042.78323	+60.41774
  6	   	HD 17505 Ab  	               	 1	 14	 0.30	  0.22	435	1921	585	2922	  0	  0	HD 17505   	042.78323	+60.41774
  7	   	HD 17505 Aa2 	               	 1	  1	 0.16	  0.26	614	2628	413	2075	  0	  0	HD 17505   	042.78323	+60.41774
  8	   	HD 24431     	O9III          	 1	 60	 0.29	  0.18	 48	 162	 70	 218	  0	  0	HD 24431   	058.91009	+52.64132
  9	   	HD 24534     	O9.5npe        	 1	200	-0.73	  0.42	632	1414	123	 443	387	  0	HD 24534   	058.84616	+31.04584
 10	   	HD 24912     	O7.5III(n)((f))	13	201	 0.64	 -1.27	 13	  37	 50	 125	  0	 27	HD 24912   	059.74126	+35.79103
 11	   	HD 30614     	O9Ia           	 5	 96	 0.64	  0.54	 16	  47	 19	  56	  0	  0	HD 30614   	073.51254	+66.34268
 12	   	HD 34078     	O9.5V          	 4	 16	 0.67	  0.90	 29	  69	 16	  49	  0	  0	HD 34078   	079.07562	+34.31232
 13	   	HD 34656     	O7.5II(f)      	 1	 70	 0.37	  0.39	 52	 185	 41	 148	  0	  0	HD 34656   	080.17950	+37.43867
 14	   	HD 35619     	O7.5V          	 1	 45	 0.18	  0.31	108	 341	 72	 248	  0	  0	HD 35619   	081.90061	+34.75528
 15	SB2	HD 35921     	O9.5II         	 1	205	 0.42	  0.42	103	 370	125	 448	  0	  0	HD 35921   	082.42771	+35.37502
 16	a  	HD 36486     	O9.5IINwk      	 2	121	-2.46	  0.64	 94	 242	 21	  70	 56	  0	HD 36486   	083.00167	-00.29909
 17	   	HD 36512     	O9.7V          	 1	 18	 0.48	  0.17	 33	 122	 86	 255	  0	  0	HD 36512   	082.98275	-07.30154
 18	   	HD 36861     	O8III((f))     	 8	 61	 0.61	  0.65	 14	  35	 12	  35	  0	  0	HD 36861   	083.78448	+09.93416
 19	   	HD 36879     	O7V(n)((f))    	 2	185	 0.52	 -0.98	 55	 180	259	 556	  0	154	HD 36879   	083.91886	+21.40326
 20	SB2	HD 37041     	O9.5Ivp        	 3	123	-0.03	  0.58	 84	 193	 31	  93	  0	  0	HD 37041   	083.84542	-05.41606
 21	SB2	HD 37043     	O9IIIvar       	 1	 78	 0.02	  0.35	 80	 220	 30	 104	  0	  0	HD 37043   	083.85826	-05.90990
 22	SB2	HD 37366     	O9.5IV         	 1	  2	 0.25	  0.32	 40	 207	 29	 167	  0	  0	HD 37366   	084.85334	+30.89077
 23	SB2	HD 37468     	O9.7III        	 1	118	-1.62	  0.22	182	 406	 56	 180	112	  0	HD 37468   	084.68652	-02.60008
 24	   	HD 38666     	O9.5V          	 1	114	 0.37	 -0.35	 38	 135	100	 273	  0	  0	HD 38666   	086.49956	-32.30643
 25	   	HD 42088     	O6V((f)z       	 1	 37	 0.32	  0.38	113	 382	 85	 303	  0	  0	HD 42088   	092.41489	+20.48763
 26	   	HD 46056     	O8Vn           	 1	344	 0.31	  0.37	371	1279	294	 997	  0	  0	HD 46056   	097.83692	+04.83440
 27	SB2	HD 46106     	O9.7II-III     	 1	 86	 0.44	  0.37	 88	 317	124	 429	  0	  0	HD 46106   	097.90999	+05.02678
