#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/692/A245/table&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36920245
#Name: J/A+A/692/A245
#Title: Hot massive stars parameters (Serebriakova+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	creator=Serebriakova N.	    First author or institution
#INFO	cites=bibcode:2024A&A...692A.245S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/692/A245	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36920245	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_692_A245_table:
#Name: J/A+A/692/A245/table
#Title: *Relevant parameters of the sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a23)	Object name	[ucd=meta.id;meta.main]
#Column	Teff	(I5)	Effective temperature (rounded) (1)	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	Error in effective temperature (1)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	Log10 Surface gravity (1)	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	Error in logg (1)	[ucd=stat.error]
#Column	Vsini-sp	(F5.1)	Projected rotational velocity (1) (2)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-sp	(F4.1)	Error in Vsini-sp (1)	[ucd=stat.error]
#Column	Vsini-fourier	(F5.1)	? Projected rotational velocity (Fourier) (3)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-fourier	(F4.1)	? Error in Vsini-fourier	[ucd=stat.error]
#Column	Vmacro	(F5.1)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	e_Vmacro	(F5.1)	? Error in Vmacro	[ucd=stat.error]
#Column	Ls	(F5.2)	Log10 Spectroscopic luminosity Teff^4/g	[ucd=phys.luminosity]
#Column	e_Ls	(F5.2)	Error in Ls	[ucd=stat.error]
#Column	Samp	(A3)	Sample (4)	[ucd=src.sample]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	Name	Teff	e_Teff	logg	e_logg	Vsini-sp	e_Vsini-sp	Vsini-fourier	e_Vsini-fourier	Vmacro	e_Vmacro	Ls	e_Ls	Samp	SimbadName	_RA	_DE
deg	deg	 	K	K	[cm/s2]	[cm/s2]	km/s	km/s	km/s	km/s	km/s	km/s	[K4/g]	[K4/g]	 	 	deg	deg
-----------	-----------	-----------------------	-----	----	-----	-----	-----	----	-----	----	-----	-----	-----	-----	---	-----------------------	---------	---------
114.0802542	-69.0565408	HD_61950               	12830	2470	 2.50	 0.45	344.0	74.0	298.9	63.5	344.5	 63.0	 3.32	 0.56	S23	HD 61950               	114.08025	-69.05654
083.0748833	-68.8745106	SOI_404                	11000	 660	 2.14	 0.17	 44.0	11.4	 38.0	 3.1	 36.9	  0.6	 3.41	 0.20	S23	SOI 404                	083.07488	-68.87451
105.0433008	-56.9070028	HD_53048               	13590	2350	 2.48	 0.36	344.0	73.6	231.1	68.8	245.0	 56.4	 3.44	 0.47	S23	HD 53048               	105.04330	-56.90700
082.8582619	-69.2903861	SK_-69_174             	11000	 590	 1.93	 0.15	 18.0	12.0	 29.0	 4.2	 26.0	  0.6	 3.62	 0.18	S23	SK -69 174             	082.85826	-69.29039
077.2312375	-70.0662517	SK_-70_81              	12770	1080	 2.18	 0.21	105.0	24.0	101.5	 4.2	102.7	  0.7	 3.63	 0.26	S23	SK -70 81              	077.23124	-70.06625
083.2703589	-66.7041719	GV_375                 	12610	 700	 2.07	 0.14	 43.5	 9.4	 25.5	 3.9	 25.4	  0.0	 3.72	 0.17	S23	GV 375                 	083.27036	-66.70417
082.8862144	-66.3515967	SK_-66_125             	14830	 760	 2.34	 0.13	 36.5	11.5	 34.2	 3.9	 30.4	  2.7	 3.73	 0.16	S23	SK -66 125             	082.88621	-66.35160
074.6169831	-70.2585928	SK_-70_26              	11630	 570	 1.90	 0.13	 39.5	 9.8	 27.4	 3.9	 26.0	  0.8	 3.75	 0.16	S23	SK -70 26              	074.61698	-70.25859
076.0672103	-67.1237822	SK_-67_42              	11560	 580	 1.88	 0.13	 41.5	 9.0	 21.4	 5.6	 21.8	  1.3	 3.76	 0.16	S23	SK -67 42              	076.06721	-67.12378
080.6332517	-67.2900497	SK_-67_88              	11220	 600	 1.78	 0.13	 44.0	10.0	 23.6	 2.3	 26.3	  1.0	 3.80	 0.16	S23	SK -67 88              	080.63325	-67.29005
075.0143383	-70.7210528	SK_-70_31              	12060	 790	 1.90	 0.15	 33.0	10.6	 27.8	 2.8	 27.8	  0.0	 3.81	 0.19	S23	SK -70 31              	075.01434	-70.72105
089.1291547	-67.5324850	SK_-67_283             	14880	 800	 2.26	 0.14	 46.5	11.9	 38.6	 5.3	 33.9	  0.0	 3.81	 0.17	S23	SK -67 283             	089.12915	-67.53248
075.9843158	-70.5230481	SK_-70_53              	15340	1300	 2.28	 0.17	 40.5	 9.0	 29.8	 5.6	 27.6	  2.1	 3.85	 0.22	S23	SK -70 53              	075.98432	-70.52305
081.2839672	-69.8954167	HD_269510              	11000	 620	 1.70	 0.14	 39.0	10.6	 29.5	 5.1	 32.0	  0.4	 3.85	 0.17	S23	HD 269510              	081.28397	-69.89542
082.5295561	-67.2619992	HD_269639              	11000	 670	 1.70	 0.15	 26.5	15.0	 34.8	 5.5	 31.9	  0.8	 3.85	 0.18	S23	HD 269639              	082.52956	-67.26200
076.8590964	-68.1219889	SK_-68_53              	13770	 740	 2.09	 0.12	 47.5	11.5	 30.4	 4.1	 24.0	  2.9	 3.85	 0.15	S23	SK -68 53              	076.85910	-68.12199
087.3430542	-67.2968039	SK_-67_275             	14960	 890	 2.23	 0.16	 63.5	12.1	 54.2	 3.3	 52.9	  0.0	 3.85	 0.19	S23	SK -67 275             	087.34305	-67.29680
083.0797678	-66.9979194	HD_269721              	11080	 600	 1.70	 0.13	 40.0	 8.9	 32.6	 4.0	 27.8	  0.0	 3.86	 0.16	S23	HD 269721              	083.07977	-66.99792
