#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/955/123/table1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19550123
#Name: J/ApJ/955/123
#Title: Variability of magnetic hot stars from TESS obs. (Shen+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2023ApJ...955..123S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/955/123	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/ba-xv-3v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-07-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_955_123_table1:
#Name: J/ApJ/955/123/table1
#Title: Identification numbers, physical parameters and variability classifications of the 118 magnetic hot stars
#Column	Name	(a11)	Stellar identifier	[ucd=meta.id;meta.main]
#Column	TIC	(I10)	[4289780/2055137574] TESS Input Catalog identifier	[ucd=meta.id]
#Column	SpT	(a13)	Spectral type	[ucd=src.spType]
#Column	logL	(F5.2)	[0.73/5.7]? Log luminosity	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/0.6]? Uncertainty in logL	[ucd=stat.error;phys.luminosity]
#Column	logT	(F5.2)	[3.83/4.59]? Log effective temperature	[ucd=phys.temperature.effective]
#Column	e_logT	(F5.2)	[0.0/0.08]? Uncertainty in logT	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[0.0/4.75]? Log surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0.0/2.0]? Uncertainty in log (g)	[ucd=stat.error;phys.gravity]
#Column	Ref	(a9)	Reference for spectroscopic analyses (1)	[ucd=meta.ref]
#Column	Var	(a25)	Variability (2)	[ucd=meta.code;src.var]
#Column	Nf	(I3)	Number of SLF fitting parameter measurements for this star (link to Table 2)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	TIC	SpT	logL	e_logL	logT	e_logT	logg	e_logg	Ref	Var	Nf	Simbad	_RA	_DE
 	 	 	[Lsun]	[Lsun]	K	K	[cm/s2]	[cm/s2]	 	 	 	 	deg	deg
-----------	----------	-------------	-----	-----	-----	-----	-----	-----	---------	-------------------------	---	------	---------	---------
ALS 15218  	 458859193	O8.5Vp       	 5.00	 0.10	 4.53	 0.03	 4.00	 0.20	R1       	cont. + SLF              	  2	Simbad	161.28431	-59.76860
ALS 3694   	  37053664	B1           	 3.80	 0.20	 4.40	 0.02	 4.00	 0.10	R2       	rot. + SLF               	  2	Simbad	250.14124	-48.88782
CD-59 3239 	 390668263	B0.5V        	 4.30	 0.20	 4.36	 0.06	 3.60	 0.20	R1       	cont. + SLF              	  2	Simbad	160.65064	-59.99057
CPD-28 2561	 129361218	O6Ifp        	 5.50	 0.20	 4.54	 0.02	 4.00	 0.20	R1       	unknown + SLF            	  1	Simbad	118.97021	-28.62966
CPD-60 944B	 358467049	B8III        	 2.26	 0.02	 4.18	 0.03	 4.75	 0.25	this work	unknown                  	  0	Simbad	119.19276	-60.81619
CPD-62 2124	 290796936	B2IV         	 3.80	 0.20	 4.37	 0.00	 4.05	 0.10	R2       	rot. + SLF               	  2	Simbad	173.90359	-63.26348
HD 101412  	 320547523	B9           	 1.65	 0.01	 4.00	 0.04	 4.10	 0.40	this work	unknown + SLF            	  1	Simbad	174.93524	-60.17437
HD 105382  	 333670665	B6III        	 3.00	 0.20	 4.26	 0.01	 4.13	 0.07	R1       	rot. + SLF               	  2	Simbad	182.02176	-50.66127
HD 108     	 406893156	O6f?p-O8fp   	 5.70	 0.10	 4.54	 0.02	 3.50	 0.20	R1       	Multi + SLF              	  1	Simbad	001.51412	+63.67966
HD 121743  	 359762838	B2IV         	 3.60	 0.20	 4.32	 0.03	 4.02	 0.12	R1       	hybird + SLF             	  2	Simbad	209.56778	-42.10076
HD 125823  	 167480388	B7IIIp       	 3.20	 0.20	 4.28	 0.05	 4.14	 0.12	R1       	rot. + SLF               	  2	Simbad	215.75933	-39.51182
HD 127381  	 457686485	B1V          	 3.76	 0.06	 4.36	 0.02	 4.02	 0.10	R1       	rot. + SLF               	  2	Simbad	218.15440	-50.45715
HD 130807  	 455309397	B5           	 2.70	 0.20	 4.23	 0.03	 4.25	 0.10	R1       	Multi + SLF              	  2	Simbad	222.90960	-43.57536
HD 136504  	 147226597	B2IV-V       	 3.70	 0.20	 4.31	 0.01	 3.97	 0.15	R1       	Multi + {beta} Cep  + SLF	  1	Simbad	230.67028	-44.68962
HD 149277  	 229331994	B2IV/V       	 3.50	 0.20	 4.30	 0.04	 3.75	 0.15	R3       	Multi + SLF              	  2	Simbad	248.95066	-45.67876
HD 149438  	 205175750	B0.2V        	 4.50	 0.10	 4.50	 0.01	 4.00	 0.10	R1       	unknown + SLF            	  2	Simbad	248.97064	-28.21602
HD 156324  	 153805844	B2V          	 3.80	 0.60	 4.34	 0.06	 4.00	 0.30	R2       	Multi + SLF              	  2	Simbad	259.59757	-32.40402
HD 156424  	 154190068	B2V          	 3.50	 0.40	 4.30	 0.07	 3.99	 0.10	R4       	Multi + {beta} Cep + SLF 	  2	Simbad	259.72729	-32.34575
HD 175362  	 113272022	B5V          	 2.60	 0.10	 4.25	 0.01	 4.24	 0.10	R1       	rot. + SLF               	  1	Simbad	284.16869	-37.34325
HD 176582  	 120355394	B5IV         	 2.90	 0.10	 4.23	 0.03	 4.00	 0.10	R2       	rot. + SLF               	  2	Simbad	284.80122	+39.21732
HD 189775  	 303247444	B5V          	 2.90	 0.10	 4.24	 0.01	 4.12	 0.08	R2       	rot. + SLF               	  3	Simbad	299.81394	+52.05569
HD 191612  	 378273410	O6f?p        	 5.40	 0.20	 4.54	 0.01	 3.50	 1.00	R1       	unknown + SLF            	  1	Simbad	302.36921	+35.73369
HD 200775  	 387813185	B1           	 4.00	 0.30	 4.25	 0.05	 3.40	 0.20	R1       	unknown + SLF            	  1	Simbad	315.40384	+68.16327
HD 205021  	 321818578	B1IV         	 4.30	 0.10	 4.40	 0.02	 3.80	 0.15	R1       	{beta} Cep + SLF         	  2	Simbad	322.16499	+70.56072
HD 23478   	  26432264	B3IV         	 3.20	 0.20	 4.30	 0.04	 4.20	 2.00	R2       	rot. + SLF               	  1	Simbad	056.67030	+32.29019
HD 25558   	 407615454	B3V          	 2.80	 0.30	 4.23	 0.02	 4.20	 0.20	R1       	Multi + SLF              	  2	Simbad	060.93585	+05.43562
HD 306795  	 290682018	B2V          	 3.20	 0.30	 4.25	 0.05	 3.90	 0.20	R1       	unknown + SLF            	  1	Simbad	173.96664	-61.66102
HD 3360    	 240669906	B2IV         	 3.82	 0.06	 4.32	 0.00	 3.80	 0.05	R1       	{beta} Cep + SLF         	  1	Simbad	009.24285	+53.89691
