#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/955/123/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19550123
#Name: J/ApJ/955/123
#Title: Variability of magnetic hot stars from TESS obs. (Shen+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2023ApJ...955..123S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/955/123	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/ba-xv-3v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-07-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_955_123_table2:
#Name: J/ApJ/955/123/table2
#Title: The Stochastic low-frequency (SLF) fitting parameters of the magnetic hot stars
#Column	Name	(a11)	Stellar identifier	[ucd=meta.id;meta.main]
#Column	Sector	(A7)	Sector(s)	[ucd=obs.field]
#Column	alpha0	(F8.3)	[3.9/3554] Amplitude at zero frequency	[ucd=src.var.amplitude]
#Column	e_alpha0	(F6.2)	[0.3/384] Lower uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	E_alpha0	(F6.2)	[0.4/470] Upper uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	nuChar	(F5.2)	[0.05/8.9] Characteristic frequency	[ucd=em.freq;src.var]
#Column	e_nuChar	(F5.2)	[0.01/0.9] Lower uncertainty in nuChar	[ucd=stat.error;stat.min;em.freq]
#Column	E_nuChar	(F5.2)	[0.01/0.8] Upper uncertainty in nuChar	[ucd=stat.error;stat.max;em.freq]
#Column	gamma	(F5.2)	[0.69/5.7] logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	e_gamma	(F5.2)	[0.01/1.4] Lower uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	E_gamma	(F5.2)	[0.01/2.3] Upper uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	Cw	(F5.2)	[0.8/86] White noise term	[ucd=instr.det.noise;meta.modelled]
#Column	e_Cw	(F5.2)	[0/0.3] Lower uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
Name	Sector	alpha0	e_alpha0	E_alpha0	nuChar	e_nuChar	E_nuChar	gamma	e_gamma	E_gamma	Cw	e_Cw	E_Cw
 	 	umag	umag	umag	 	 	 	[-]	[-]	[-]	umag	umag	umag
-----------	-------	--------	------	------	-----	-----	-----	-----	-----	-----	-----	-----	-----
ALS 15218  	10 - 11	  45.800	  3.16	  3.35	 1.35	 0.11	 0.12	 2.11	 0.11	 0.12	 9.84	 0.02	 0.02
ALS 15218  	     36	  62.760	  6.71	  8.26	 1.13	 0.12	 0.14	 3.45	 0.34	 0.43	20.17	 0.06	 0.07
ALS 3694   	     12	 520.150	 82.72	130.37	 0.31	 0.07	 0.07	 1.52	 0.07	 0.08	26.08	 0.09	 0.10
ALS 3694   	     39	 202.620	 22.18	 27.70	 0.81	 0.12	 0.12	 1.65	 0.09	 0.10	18.06	 0.06	 0.06
CD-59 3239 	10 - 11	 295.170	 20.65	 22.82	 0.88	 0.07	 0.07	 1.82	 0.06	 0.06	24.56	 0.06	 0.06
CD-59 3239 	36 - 37	 107.130	  6.55	  7.33	 1.61	 0.11	 0.12	 2.61	 0.16	 0.18	21.54	 0.05	 0.05
CPD-28 2561	     34	 948.910	135.20	155.43	 0.30	 0.04	 0.05	 1.62	 0.05	 0.06	21.34	 0.08	 0.08
CPD-62 2124	10 - 11	 243.830	 17.35	 19.21	 0.80	 0.07	 0.07	 1.53	 0.04	 0.04	15.55	 0.04	 0.04
CPD-62 2124	37 - 38	 245.560	 21.23	 24.68	 0.54	 0.06	 0.06	 1.45	 0.04	 0.05	13.35	 0.04	 0.04
HD 101412  	37 - 38	  64.080	  4.78	  6.09	 0.79	 0.08	 0.08	 1.71	 0.07	 0.08	 7.53	 0.02	 0.02
HD 105382  	     10	 473.411	 32.79	 38.40	 0.61	 0.09	 0.10	 1.22	 0.02	 0.02	 3.51	 0.02	 0.03
HD 105382  	     37	  95.670	  6.61	  7.22	 0.73	 0.04	 0.05	 1.79	 0.06	 0.06	 1.57	 0.01	 0.01
HD 105770  	11 - 13	  71.740	 11.38	 14.86	 0.09	 0.03	 0.03	 0.77	 0.02	 0.02	 3.66	 0.02	 0.02
HD 108     	17 - 18	 390.770	 30.39	 33.72	 0.57	 0.05	 0.05	 1.28	 0.02	 0.02	 5.07	 0.02	 0.02
HD 10840   	  1 - 2	   6.910	  0.63	  0.75	 1.14	 0.19	 0.21	 1.11	 0.05	 0.06	 2.25	 0.01	 0.01
HD 115226  	11 - 12	  47.960	  4.49	  5.30	 0.58	 0.08	 0.09	 1.23	 0.04	 0.05	 5.73	 0.02	 0.02
HD 115226  	38 - 39	  91.590	  9.34	 12.72	 0.35	 0.06	 0.06	 1.10	 0.03	 0.04	 5.67	 0.02	 0.02
HD 115440  	11 - 12	  69.410	 12.59	 19.23	 0.25	 0.07	 0.08	 1.19	 0.05	 0.06	 5.04	 0.02	 0.02
HD 116890  	11 - 12	  60.170	  5.98	  7.91	 0.37	 0.06	 0.06	 1.28	 0.04	 0.05	 3.27	 0.01	 0.01
HD 117025  	     11	  70.380	  7.69	  9.05	 0.72	 0.10	 0.11	 1.54	 0.06	 0.07	 4.36	 0.01	 0.01
HD 118913  	11 - 12	  54.600	  4.78	  5.32	 0.68	 0.08	 0.10	 1.22	 0.04	 0.04	 4.92	 0.02	 0.02
HD 119308  	     11	  55.830	  5.73	  7.00	 1.14	 0.17	 0.18	 1.43	 0.08	 0.08	 7.52	 0.03	 0.03
