#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table1:
#Name: J/ApJS/275/2/table1
#Title: Stellar parameters of stars in our sample
#Column	f_Name	(I1)	[1/2] Spectral observation flag (1)	[ucd=meta.code]
#Column	Name	(a14)	Star Name	[ucd=meta.id;meta.main]
#Column	m_Name	(A1)	[A] Star name component	[ucd=meta.code.multip]
#Column	SpT	(A5)	Spectral type	[ucd=src.spType]
#Column	Lum	(a13)	Luminosity Class	[ucd=src.class.luminosity]
#Column	logLs	(F5.2)	[3.4/4.27] Log, spectroscopic luminosity	[ucd=phys.luminosity]
#Column	e_logLs	(F5.2)	[0.03/0.4] Uncertainty in logLs	[ucd=stat.error;phys.luminosity]
#Column	Teff	(F5.2)	[27.7/49.1] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.2)	[0.5/2.2] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[2.9/4.13] Log, surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0.03/0.3] Uncertainty in logg	[ucd=stat.error;phys.gravity]
#Column	Mass	(F5.2)	[16/82] Stellar mass	[ucd=phys.mass]
#Column	E_Mass	(F5.2)	[0/7.4] Upper Uncertainty in Mass	[ucd=stat.error;stat.max;phys.mass]
#Column	e_Mass	(F5.2)	[0.4/15] Lower Uncertainty in Mass	[ucd=stat.error;stat.min;phys.mass]
#Column	Rad	(F5.2)	[6.17/47.5] Stellar Radius	[ucd=phys.size.radius]
#Column	E_Rad	(F5.2)	[0/1] Upper Uncertainty in Rad	[ucd=stat.error;stat.max;phys.size.radius]
#Column	e_Rad	(F5.2)	[0.27/6] Lower Uncertainty in Rad	[ucd=stat.error;stat.min;phys.size.radius]
#Column	tau	(F5.2)	[0.1/0.86] Fractional main sequence age	[ucd=time.age;arith.ratio]
#Column	E_tau	(F5.2)	[0.01/0.2] Upper Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	e_tau	(F5.2)	[0.01/0.3] Lower Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	logMdot	(F5.2)	[-7.9/-5] Mass-loss rate	[ucd=phys.mass.loss]
#Column	E_logMdot	(F5.2)	[0.07/0.5] Upper Uncertainty in logMdot	[ucd=stat.error;stat.max;phys.mass.loss]
#Column	e_logMdot	(F5.2)	[0.05/0.4] Lower Uncertainty in logMdot	[ucd=stat.error;stat.min;phys.mass.loss]
#Column	vmacro	(F5.1)	[7/440]? Macroturbulent velocity	[ucd=phys.veloc]
#Column	vsini	(F5.1)	[8/140]? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	IACOB	(I3)	Display data from Simon-Diaz+ 2014, J/A+A/562/A135 and Holgado+2020, J/A+A/638/A157 within 3"	[ucd=meta.ref.url]
#Column	GOSSS	(I3)	Display data from GOSSS (III/274) within 3"	[ucd=meta.ref.url]
#Column	Nvar	(I3)	Number of SLF variability results for this star (link to Table 2)	[ucd=meta.number]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
f_Name	Name	m_Name	SpT	Lum	logLs	e_logLs	Teff	e_Teff	logg	e_logg	Mass	E_Mass	e_Mass	Rad	E_Rad	e_Rad	tau	E_tau	e_tau	logMdot	E_logMdot	e_logMdot	vmacro	vsini	IACOB	GOSSS	Nvar	SimbadName	_RA	_DE
 	 	 	 	 	[Lsun]	[Lsun]	kK	kK	[cm.s-2]	[cm.s-2]	Msun	Msun	Msun	Rsun	Rsun	Rsun	 	 	 	Msun.yr-1	Msun.yr-1	Msun.yr-1	km.s-1	km.s-1	 	 	 	 	deg	deg
-	--------------	-	-----	-------------	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	---	---	---	-----------------	---------	---------
1	BD +36 4145   	 	O8.5 	V (n)        	 3.75	 0.16	35.80	 0.90	 3.86	 0.15	25.40	 0.78	 2.36	 9.11	 0.84	 1.51	 0.58	 0.09	 0.12	-6.58	 0.32	 0.27	203.0	     	  1	  0	  2	BD +36 4145      	309.07586	+37.41745
1	BD +62 2078   	 	O7   	V ((f))z     	 3.74	 0.14	38.70	 0.80	 4.00	 0.14	29.40	 0.10	 2.44	 8.53	 0.26	 1.25	 0.43	 0.10	 0.16	-6.49	 0.22	 0.28	 38.0	 38.0	  1	  0	  3	BD +62 2078      	336.38992	+63.41739
1	CPD -47 2963  	 	O5   	I fc         	 4.16	 0.05	37.10	 0.50	 3.51	 0.04	59.60	 0.78	 8.13	22.27	 0.09	 2.28	 0.63	 0.03	 0.03	-5.30	 0.14	 0.11	 67.0	110.0	  1	  1	  2	CPD -47 2963     	134.47758	-47.73770
1	HD 101190     	 	O6   	IV ((f))     	 3.91	 0.05	39.80	 0.50	 3.88	 0.04	38.60	 0.67	 2.06	11.87	 0.64	 0.83	 0.51	 0.02	 0.03	-5.96	 0.11	 0.09	 49.0	 74.0	  1	  1	  1	HD 101190        	174.54130	-63.19684
1	HD 101223     	 	O8   	V            	 3.96	 0.06	35.20	 0.50	 3.62	 0.05	35.20	 0.27	 2.41	15.23	 0.22	 1.30	 0.70	 0.02	 0.01	-5.95	 0.12	 0.14	 55.0	 63.0	  1	  1	  2	HD 101223        	174.59488	-63.20078
1	HD 135591     	 	O8   	IV ((f))     	 3.99	 0.05	35.00	 0.50	 3.58	 0.04	37.40	 0.04	 2.57	16.73	 0.84	 1.52	 0.71	 0.01	 0.02	-5.87	 0.12	 0.10	 60.0	 60.0	  1	  1	  2	HD 135591        	229.70476	-60.49633
1	HD 14434      	 	O5.5 	IV nn(f)p    	 3.78	 0.12	38.60	 1.10	 3.96	 0.11	25.00	 0.29	 1.13	 7.65	 0.88	 0.33	 0.56	 0.10	 0.21	-6.46	 0.13	 0.17	417.0	     	  2	  1	  1	HD 14434         	035.46838	+56.90501
1	HD 149038     	 	O9.7 	Iab          	 4.11	 0.05	29.80	 0.50	 3.18	 0.04	42.40	 0.33	 3.72	27.35	 0.81	 1.66	 0.81	 0.02	 0.02	-5.69	 0.07	 0.20	 52.0	 90.0	  1	  1	  1	HD 149038        	248.52091	-44.04531
1	HD 150574     	 	ON9  	III (n)      	 3.87	 0.11	33.10	 0.90	 3.60	 0.10	27.80	 0.21	 3.57	13.15	 0.00	 1.53	 0.73	 0.04	 0.04	-6.26	 0.21	 0.21	252.0	     	  1	  1	  1	HD 150574        	251.03004	-46.14162
1	HD 152003     	 	O9.7 	Iab Nwk      	 4.12	 0.07	30.10	 0.50	 3.18	 0.06	42.40	 0.79	 4.84	27.55	 0.52	 2.97	 0.80	 0.02	 0.03	-5.69	 0.15	 0.20	 65.0	 83.0	  1	  1	  1	HD 152003        	253.19739	-41.78583
1	HD 156154     	 	O7.5 	Ib (f)       	 4.22	 0.05	34.20	 0.50	 3.31	 0.04	64.40	 1.98	 7.92	29.62	 0.03	 3.13	 0.66	 0.04	 0.02	-5.14	 0.10	 0.16	 62.0	102.0	  1	  1	  1	HD 156154        	259.36254	-35.53667
1	HD 15629      	 	O4.5 	V ((fc))     	 4.08	 0.05	41.80	 0.50	 3.79	 0.05	56.20	 0.67	 4.98	15.78	 0.38	 1.50	 0.49	 0.02	 0.03	-5.42	 0.13	 0.10	 76.0	 64.0	  2	  1	  1	HD 15629         	038.33578	+61.52172
1	HD 156738     	 	O6.5 	III (f)      	 3.87	 0.16	37.90	 1.10	 3.83	 0.15	31.20	 0.34	 4.04	10.17	 0.41	 1.66	 0.58	 0.06	 0.11	-6.21	 0.31	 0.31	 65.0	103.0	  1	  1	  2	HD 156738        	260.21941	-36.07238
1	HD 188209     	 	O9.5 	Iab          	 4.26	 0.09	30.10	 0.50	 3.04	 0.09	58.20	 5.73	 8.86	36.51	 0.91	 4.72	 0.72	 0.06	 0.02	-5.34	 0.25	 0.08	 54.0	 93.0	  2	  1	  2	HD 188209        	297.99612	+47.02734
1	HD 191978     	 	O8   	V            	 3.80	 0.09	35.80	 0.60	 3.81	 0.08	28.40	 0.43	 2.11	10.67	 0.27	 1.04	 0.62	 0.04	 0.05	-6.35	 0.13	 0.22	 57.0	 82.0	  2	  1	  2	HD 191978        	302.74283	+41.35276
