#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table2:
#Name: J/ApJS/275/2/table2
#Title: Results of stochastic low-frequency (SLF) variability for stars of our sample
#Column	Name	(a14)	Star Name as in Table 1	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	[AabB ] Star name component	[ucd=meta.code.multip]
#Column	OName	(a11)	Other name (column added by CDS)	[ucd=meta.id]
#Column	Sec	(I2)	[5/65] TESS sector	[ucd=meta.id;obs]
#Column	alpha0	(F8.2)	[36.7/19698] Scaling factor {alpha}_0_, amplitude at zero frequency	[ucd=arith.factor;src.var.amplitude]
#Column	E_alpha0	(F7.2)	[2/5492] Upper Uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	e_alpha0	(F7.2)	[1.9/3905] Lower Uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	nu-char	(F5.2)	[0.1/15.7] Characteristic frequency, {nu}_{char}_	[ucd=em.freq;src.var]
#Column	E_nu-char	(F5.2)	[0.02/1.7] Upper Uncertainty in nu-char	[ucd=stat.error;stat.max;em.freq]
#Column	e_nu-char	(F5.2)	[0.02/1.7] Lower Uncertainty in nu-char	[ucd=stat.error;stat.min;em.freq]
#Column	gamma	(F5.2)	[0.6/3] Logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	E_gamma	(F5.2)	[0.01/0.2] Upper Uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	e_gamma	(F5.2)	[0.01/0.2] Lower Uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	Cw	(F5.2)	[0.69/33] White noise term	[ucd=instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper Uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
#Column	e_Cw	(F5.2)	[0/0.3] Lower Uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
Name	m_Name	OName	Sec	alpha0	E_alpha0	e_alpha0	nu-char	E_nu-char	e_nu-char	gamma	E_gamma	e_gamma	Cw	E_Cw	e_Cw
 	 	 	 	umag	umag	umag	d-1	d-1	d-1	 	 	 	umag	umag	umag
--------------	----	-----------	--	--------	-------	-------	-----	-----	-----	-----	-----	-----	-----	-----	-----
BD +36 4145   	    	           	15	  205.47	  10.41	   9.74	 4.10	 0.21	 0.21	 2.03	 0.05	 0.05	10.79	 0.04	 0.04
BD +36 4145   	    	           	14	  212.29	  10.51	   9.82	 3.84	 0.19	 0.19	 1.94	 0.04	 0.04	 8.05	 0.03	 0.03
BD +62 2078   	    	           	16	  509.37	 184.53	 117.71	 0.11	 0.04	 0.03	 1.08	 0.03	 0.03	 8.16	 0.04	 0.04
BD +62 2078   	    	           	17	  283.13	  72.17	  50.67	 0.24	 0.07	 0.06	 1.11	 0.04	 0.04	 8.79	 0.04	 0.05
BD +62 2078   	    	           	24	   83.68	  10.90	   8.87	 0.95	 0.16	 0.15	 1.31	 0.06	 0.05	 9.24	 0.04	 0.04
CPD -47 2963  	AB  	           	 8	 2127.86	 206.18	 177.24	 0.86	 0.07	 0.07	 1.58	 0.02	 0.02	 7.80	 0.04	 0.04
CPD -47 2963  	AB  	           	 9	 1294.56	 111.57	  96.76	 1.03	 0.07	 0.07	 1.71	 0.02	 0.02	 6.12	 0.03	 0.03
HD 101190     	AaAb	           	38	  149.41	   6.96	   6.43	 4.08	 0.17	 0.17	 2.26	 0.04	 0.04	 3.75	 0.01	 0.01
HD 101223     	    	           	37	  170.92	   7.87	   7.46	 4.11	 0.17	 0.17	 2.23	 0.04	 0.04	 4.05	 0.02	 0.02
HD 101223     	    	           	38	  159.31	   6.83	   6.50	 4.54	 0.17	 0.17	 2.38	 0.05	 0.04	 4.50	 0.02	 0.02
HD 135591     	    	           	12	  263.06	  12.00	  11.30	 3.73	 0.16	 0.15	 2.08	 0.03	 0.03	 4.52	 0.02	 0.02
HD 135591     	    	           	38	  185.95	   8.74	   7.98	 3.81	 0.15	 0.15	 2.16	 0.03	 0.03	 3.41	 0.01	 0.01
HD 14434      	    	           	18	  410.14	  16.22	  15.15	 5.49	 0.18	 0.18	 2.49	 0.04	 0.04	10.03	 0.04	 0.04
HD 149038     	    	           	39	 3354.41	 386.30	 326.61	 0.49	 0.04	 0.04	 1.66	 0.01	 0.01	 3.94	 0.02	 0.02
HD 150574     	    	           	12	 3438.51	 809.81	 596.85	 0.14	 0.04	 0.04	 0.87	 0.01	 0.01	10.49	 0.21	 0.21
HD 152003     	    	           	12	 7939.32	1252.15	1009.03	 0.30	 0.04	 0.04	 1.36	 0.02	 0.02	23.47	 0.12	 0.12
HD 156154     	    	           	12	 2497.53	 275.97	 228.11	 0.62	 0.06	 0.05	 1.61	 0.02	 0.02	 9.91	 0.04	 0.05
HD 15629      	    	           	18	  438.36	  22.59	  20.76	 3.49	 0.16	 0.16	 2.17	 0.04	 0.04	 9.66	 0.04	 0.04
HD 156738     	AB  	           	12	  345.41	  16.97	  15.77	 3.52	 0.15	 0.15	 2.15	 0.04	 0.04	10.11	 0.04	 0.04
HD 156738     	AB  	           	39	  255.81	  10.86	  10.17	 4.54	 0.17	 0.17	 2.44	 0.06	 0.05	 9.65	 0.04	 0.04
HD 188209     	    	           	14	 6950.65	1007.70	 824.43	 0.34	 0.04	 0.04	 1.50	 0.02	 0.02	14.44	 0.07	 0.07
HD 188209     	    	           	15	13715.40	3132.86	2230.62	 0.17	 0.03	 0.03	 1.38	 0.02	 0.02	15.80	 0.09	 0.09
HD 191978     	    	           	14	  165.34	  14.74	  12.83	 1.48	 0.16	 0.15	 1.41	 0.03	 0.03	 6.83	 0.03	 0.03
