#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/513/1429/tablea1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75131429
#Name: J/MNRAS/513/1429
#Title: MOBSTER. VI. Radio magnetospheres of hot stars (Shultz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	creator=Shultz M.E.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.513.1429S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/513/1429	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75131429	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_513_1429_tablea1:
#Name: J/MNRAS/513/1429/tablea1
#Title: Stellar, rotational, magnetic and radio parameters
#Column	Star	(a10)	Name of star	[ucd=meta.id;meta.main]
#Column	logL	(F5.2)	Bolometric luminosity	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	Luminosity error	[ucd=stat.error]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F4.1)	Effective temperature error	[ucd=stat.error;phys.temperature.effective]
#Column	r_logL	(I3)	Reference for stellar parameters	[ucd=meta.ref]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	Mass error	[ucd=stat.error;phys.mass]
#Column	vsini	(I3)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	r_vsini	(I3)	? Reference for vsini	[ucd=meta.ref]
#Column	Prot	(F9.3)	? Rotation period	[ucd=time.period]
#Column	r_Prot	(a11)	Reference for rotation period	[ucd=meta.ref;pos.frame]
#Column	beta	(I2)	? Magnetic obliquity angle	[ucd=phys.magField;pos.angDistance]
#Column	E_beta	(I2)	? Upper uncertainty in obliquity angle	[ucd=stat.error;stat.max]
#Column	e_beta	(I2)	? Lower uncertainty in obliquity angle	[ucd=stat.error]
#Column	l_Bd	(A2)	[LL UL] Limit indicator for magnetic field (LL=lower limit, UL=upper limit)	[ucd=meta.code.error]
#Column	Bd	(F6.3)	Surface magnetic dipole strength	[ucd=phys.magField]
#Column	E_Bd	(F6.3)	? Upper uncertainty in surface dipole strength	[ucd=stat.error;stat.max]
#Column	e_Bd	(F6.3)	? Lower uncertainty in surface dipole strength	[ucd=stat.error]
#Column	r_Bd	(a23)	Reference for magnetic parameters	[ucd=meta.ref;pos.frame]
#Column	l_Lrad	(A2)	[UL] Detection flag for radio data (UL=upper limit)	[ucd=meta.code.error]
#Column	Lrad	(F5.2)	Radio luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_Lrad	(F5.2)	? Radio luminosity uncertainty	[ucd=stat.error]
#Column	r_Lrad	(a27)	Reference for radio data	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(A9)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	logL	e_logL	Teff	e_Teff	r_logL	Mass	e_Mass	vsini	r_vsini	Prot	r_Prot	beta	E_beta	e_beta	l_Bd	Bd	E_Bd	e_Bd	r_Bd	l_Lrad	Lrad	e_Lrad	r_Lrad	SimbadName	_RA	_DE
 	[Lsun]	[Lsun]	kK	kK	 	Msun	Msun	km/s	 	d	 	deg	deg	deg	 	kgauss	kgauss	kgauss	 	 	Lsun	Lsun	 	 	deg	deg
----------	-----	-----	----	----	---	-----	-----	---	---	---------	-----------	--	--	--	--	------	------	------	-----------------------	--	-----	-----	---------------------------	---------	---------	---------
ALS8988   	 4.05	 0.27	27.3	 1.4	130	10.55	 0.65	 23	 42	         	           	  	  	  	LL	 1.500	      	      	 42                    	UL	-4.44	     	 88                        	ALS8988  	098.02557	+04.87093
ALS9522   	 3.65	 0.12	22.4	 1.1	121	 6.04	 0.10	105	121	    1.091	121        	78	 2	 3	  	11.001	 3.001	 1.000	121                    	  	-5.31	 0.04	 88                        	ALS9522  	274.83347	-13.90602
CPD-271791	 3.69	 0.09	23.8	 1.6	130	 8.77	 0.40	 37	 92	    2.641	 92        	  	  	  	LL	 3.938	      	      	 92                    	UL	-4.86	     	  6                        	CPD-27179	028.92289	-26.49614
HD3360    	 3.82	 0.06	20.8	 0.2	107	 8.65	 0.14	 19	 96	    5.370	 27        	82	 1	 1	  	 0.150	 0.030	 0.030	110                    	UL	-7.81	     	 88,130                    	HD3360   	009.24285	+53.89691
HD5737    	 3.33	 0.16	13.9	 0.4	 43	 5.01	 0.40	 17	109	   21.654	 25        	73	 6	 7	  	 1.804	 0.236	 0.283	  4, 10, 21,130        	UL	-6.40	     	  6                        	HD5737   	014.65150	-29.35745
HD11503   	 1.52	 0.03	10.1	 0.2	105	 2.35	 0.03	 54	105	    1.610	106        	84	 4	37	  	 2.300	 3.700	 0.660	106                    	  	-7.85	 0.04	 14,130                    	HD11503  	028.38255	+19.29386
HD12447   	 1.73	 0.06	10.0	 0.2	105	 2.49	 0.05	 70	105	    1.491	106        	87	 1	 9	  	 1.730	 0.490	 0.360	106,130                	  	-7.38	 0.04	 36                        	HD12447  	030.51176	+02.76377
HD12767   	 2.43	 0.15	13.0	 0.3	 43	 3.96	 0.13	 40	 32	    1.892	 25        	89	 0	 3	  	 1.975	 0.512	 0.614	  9,116,130            	UL	-6.87	     	128                        	HD12767  	031.12269	-29.29680
HD19832   	 2.08	 0.16	12.4	 0.4	 43	 3.33	 0.14	160	 99	    0.728	114        	89	 0	 3	  	 2.700	 0.600	 0.300	114                    	  	-6.67	 0.04	 36                        	HD19832  	048.05936	+27.25697
HD21699   	 2.78	 0.04	16.0	 0.1	 43	 4.71	 0.21	 35	109	    2.492	 25,130    	78	 2	 2	  	 2.800	 0.450	 0.120	  5,130                	UL	-6.43	     	  6                        	HD21699  	053.03587	+48.02348
HD22470   	 2.43	 0.13	13.8	 0.3	 43	 3.84	 0.16	 62	 32	    1.929	114        	87	 1	 2	  	 7.500	 1.200	 0.500	114                    	UL	-6.90	     	  6                        	HD22470  	054.07252	-17.46708
HD22920   	 2.64	 0.12	13.6	 0.2	 70	 4.24	 0.12	 34	 32	    3.947	 22,130    	28	 6	 7	  	 1.590	 1.070	 0.041	  4,130                	UL	-6.75	     	128                        	HD22920  	055.15972	-05.21071
HD25267   	 2.32	 0.03	12.6	 0.2	119	 3.49	 0.24	 20	105	    3.823	119        	17	 7	 8	  	 1.040	 0.050	 0.050	119                    	UL	-7.19	     	128                        	HD25267  	059.98118	-24.01622
HD27309   	 1.88	 0.02	11.2	 0.3	105	 2.81	 0.04	 56	105	    1.569	106        	 3	 5	 3	  	 1.950	 2.590	 0.570	106                    	  	-7.21	 0.04	 36                        	HD27309  	064.90294	+21.77349
HD28843   	 2.51	 0.07	14.8	 0.2	 43	 4.20	 0.06	 91	130	    1.374	 25,130    	87	 1	 5	  	 0.930	 0.301	 0.240	  4,130                	UL	-6.80	     	  6                        	HD28843  	068.15647	-03.20954
HD32633   	 1.94	 0.12	12.5	 0.5	 90	 3.50	 0.09	 25	 99	    6.430	 20        	76	 3	 3	  	17.000	 1.945	 2.334	 60, 76                	UL	-6.76	     	 14                        	HD32633  	076.53483	+33.91869
HD34452   	 2.45	 0.27	13.8	 0.8	 43	 4.15	 0.12	 53	 99	    2.469	 25        	35	13	16	  	 3.647	 1.141	 1.369	  3, 15,130            	  	-6.69	 0.04	  6, 14                    	HD34452  	079.75012	+33.74839
