483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
I/221/smc                    (1) [Magellanic Cloud] The Small Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
II/228A/denisLMC             (1) [Magellanic Cloud] DENIS observations toward the Large Magellanic Cloud ( Cioni M.-R., Loup C., Habing H.J., et al.)
II/228A/denisSMC             (1) [Magellanic Cloud] DENIS observations toward the Small Magellanic Cloud ( Cioni M.-R., Loup C., Habing H.J., et al.)
II/247/machovar              (1) [Magellanic Cloud] Variable Stars in the Magellanic Clouds ( Alcock C., Allsman R., Alves D., Axelrod T., Bennett D., Cook K., Fr
II/82/catalog                (1) [O-type stars] Catalog of Galactic O-type stars ( Garmany C.D., Conti. P.S., Chiosi C.)
III/195/objects              (1) [OB stars] List of OB stars included in the Atlas ( Walborn N.R., Fitzpatrick E.L.)
III/206/smc                  (1) [Magellanic Cloud] Data for Small Magellanic Cloud ( Buscombe W.)
III/6/catalog                (1) [OB stars] Lynga OB stars Centaurus to Norma (version: 25 Jul 2008, complete revision) ( Lynga G.)
III/7A/catalog               (1) [OB stars] The finding list of OB stars, with accurate positions and remarks by B. Skiff ( Graham J.A., Lynga G.)
IV/33/mc2                    (1) [Magellanic Cloud] MC2 catalog towards the Magellanic Clouds ( Delmotte N., Loup C., Egret D., Cioni M.-R., Pierfederici F.)
IV/38/tic                    (1) [TESS] Transiting Exoplanet Survey Satellite (TESS) Input Catalog - v8.0 (TIC-8), outpout (on a total of 1,727,987,58
IV/39/tic82                  (1) [TESS] Transiting Exoplanet Survey Satellite (TESS) Input Catalog - v8.2 (TIC-8.2), outpout (on a total of 1,727,987,
J/A+A/333/L35                (1) [Magellanic Cloud] List of 24 Cepheids in the Magellanic Clouds, with period in the range 30-134 d, whose radial velocity and lig
J/A+A/359/227                (1) [early-type stars] HRI soft-band rate and UV-rate for detected early-type stars ( Huelamo N., Neuhaeuser R., Stelzer B., Supper R
J/A+A/379/162                (2) [early-type stars] Teff and log g for early-type stars and errors ( Gerbaldi M., Faraggiana R., Balin N.)
J/A+A/404/913                (1) [early-type stars] Other early-type stars of the Sco-Cen OB association presented by de Geus (1989A&A...216...44D) ( Sartori M.J.
J/A+A/423/919                (1) [OB stars] Detected (non-saturated) OB stars in our region ( Bratsolis E., Kontizas M., Bellas-Velidis I.)
J/A+A/434/89                 (1) [Magellanic Cloud] List of 98 selected DEBs in the Large Magellanic Cloud ( Michalska G., Pigulski A.)
J/A+A/438/521                (1) [Magellanic Cloud] Pulsations of C stars in the Small Magellanic Cloud ( Raimondo G., Cioni M.-R.L., Rejkuba M., Silva D.R.)
J/A+A/440/121                (1) [OB stars] Identification of the OB stars and observing log ( Bik A., Kaper L., Hanson M.M., Smits M.)
J/A+A/442/1135               (1) [Magellanic Cloud] Catalog of High Mass X-ray binaries in  the Magellanic Clouds ( Liu Q.Z., van Paradijs J., van den Heuvel E.P.
J/A+A/448/1001               (1) [OB stars] Radial velocities of observed Sco-Cen OB stars ( Jilinski E., Daflon S., Cunba K., de la Raze R.)
J/A+A/462/683                (1) [Magellanic Cloud] Apparent fundamental parameters for stars  in the Small Magellanic Cloud ( Martayan C., Fremat Y., Hubert A.-M
