#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-01T16:23:20 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-01T16:23:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fA%2bA%2f640%2fA36%2ftablea1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36400036
#Name: J/A+A/640/A36
#Title: OB stars TESS phot. & high-resolution spectroscopy (Bowman+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	creator=Bowman D.M.	    First author or institution
#INFO	cites=bibcode:2020A&A...640A..36B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/640/A36	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36400036	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_640_A36_tablea1:
#Name: J/A+A/640/A36/tablea1
#Title: Parameters of OB stars studied in this work
#Column	Cat	(I1)	[1/9] Category (G1)	[ucd=meta.code]
#Column	Name	(a11)	Common name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC number	[ucd=meta.id]
#Column	SpType	(a15)	Spectral type	[ucd=src.spType]
#Column	logTeff	(F5.2)	Effective temperature (typical uncertainty 0.03dex)	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	Spectroscopic luminosity (where Ls=Teff^4^/g) (typical uncertainty 0.15dex)	[ucd=stat.fit.param]
#Column	vsini	(I3)	Projected surface rotational velocity (1)	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Macroturbulent broadening (1)	[ucd=spect.line.broad]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Cat	Name	TIC	SpType	logTeff	logLs	vsini	vmacro	Simbad	_RA	_DE
 	 	 	 	[K]	[Sun]	km/s	km/s	 	deg	deg
-	-----------	---------	---------------	-----	-----	---	---	------	---------	---------
1	HD 96715   	306491594	O4 V((f))z     	 4.66	 4.10	 59	 86	Simbad	166.88674	-59.96353
1	HD 46223   	234881667	O4 V((f))      	 4.62	 4.16	 60	 91	Simbad	098.03878	+04.82353
1	HD 155913  	216662610	O4.5 Vn((f))   	 4.63	 3.88	278	   	Simbad	259.10972	-42.66781
1	HD 46150   	234840662	O5 V((f))      	 4.61	 4.03	 71	 94	Simbad	097.98134	+04.94286
1	HD 90273   	464295672	ON7 V          	 4.59	 3.95	 55	 55	Simbad	155.93523	-57.64209
1	HD 110360  	433738620	ON7 V          	 4.59	 3.60	 96	 86	Simbad	190.55293	-60.65242
1	HD 47839   	220322383	O7 V           	 4.58	 3.70	 43	 65	Simbad	100.24441	+09.89576
1	HD 53975   	148506724	O7.5 Vz        	 4.56	 3.74	181	   	Simbad	106.64986	-12.39395
1	HD 41997   	294114621	O7.5 Vn((f))   	 4.55	 3.85	262	   	Simbad	092.23259	+15.70505
1	HD 46573   	234947719	O7 V((f))z     	 4.56	 3.93	 77	 81	Simbad	098.59821	+02.53415
1	HD 48279   	234009943	O8 V           	 4.55	 3.76	131	 74	Simbad	100.66895	+01.71618
1	HD 46056   	234834992	O8 Vn          	 4.55	 3.58	370	   	Simbad	097.83692	+04.83440
1	HD 38666   	100589904	O9.5 V         	 4.53	 3.59	111	 56	Simbad	086.49956	-32.30643
2	HD 74920   	430625455	O7.5 IVn((f))  	 4.54	 3.90	291	   	Simbad	131.29309	-46.03868
2	HD 135591  	455675248	O8 IV((f))     	 4.54	 3.99	 60	 60	Simbad	229.70476	-60.49633
2	HD 326331  	339568114	O8 IVn((f))    	 4.54	 3.82	332	   	Simbad	253.60820	-41.83216
2	HD 37041   	427395049	O9.5 IVp       	 4.54	 3.28	134	   	Simbad	083.84543	-05.41606
2	HD 123056  	330281456	O9.5 IV(n)     	 4.50	 3.70	193	   	Simbad	211.85682	-60.47060
3	HD 97253   	467065657	O5 III(f)      	 4.59	 4.16	 70	105	Simbad	167.67520	-60.38448
3	HD 93843   	465012898	O5 III(fc)     	 4.57	 4.15	 58	120	Simbad	162.15738	-60.22375
3	HD 156738  	195288472	O6.5 III(f)    	 4.58	 3.87	 65	103	Simbad	260.21941	-36.07238
3	HD 36861   	436103278	O8 III((f))    	 4.55	 4.06	 53	 75	Simbad	083.78450	+09.93415
3	HD 150574  	234648113	ON9 III(n)     	 4.52	 3.87	252	   	Simbad	251.03004	-46.14162
3	HD 152247  	339570292	O9.2 III       	 4.51	 3.94	 82	 96	Simbad	253.54799	-41.64194
3	HD 55879   	178489528	O9.7 III       	 4.49	 3.85	 26	 60	Simbad	108.61772	-10.31625
