rn,stellar,rho,p,n,sample
log_nuchar,logTeff,0.38920494357466556,1.721320635732739e-08,196,PRIMARY_Galactic_v2
log_nuchar,logL_spec,-0.019337155510228892,0.787919128672538,196,PRIMARY_Galactic_v2
log_nuchar,logg,0.1794384471935889,0.044381831091111254,126,PRIMARY_Galactic_v2
log_nuchar,vsini,0.23903615405934955,0.003018713865101718,152,PRIMARY_Galactic_v2
log_nuchar,vmac,0.14856448712202988,0.07554986928989751,144,PRIMARY_Galactic_v2
log_alpha0,logL_spec,0.6808685897338597,4.82736394605731e-28,196,PRIMARY_Galactic_v2
log_alpha0,logTeff,-0.0865888565485829,0.22752537771784814,196,PRIMARY_Galactic_v2
log_alpha0,logg,-0.641231164168752,6.047427635639337e-16,126,PRIMARY_Galactic_v2
log_alpha0,vmac,0.5189044514749565,2.6865523090005045e-11,144,PRIMARY_Galactic_v2
log_alpha0,vsini,0.3240564112221777,4.6469152854925974e-05,152,PRIMARY_Galactic_v2
gamma,logL_spec,0.03042103781711724,0.6720994828916144,196,PRIMARY_Galactic_v2
gamma,logTeff,-0.11880174199835968,0.09722375931577099,196,PRIMARY_Galactic_v2
log_nuchar,tau,-0.09180183360695453,0.30660873332735983,126,PRIMARY_Galactic_v2
log_alpha0,tau,0.505163586239948,1.6150667486166141e-09,126,PRIMARY_Galactic_v2
log_nuchar,mass,-0.11194027648666638,0.2120567092268703,126,PRIMARY_Galactic_v2
log_alpha0,mass,0.5130782018703285,8.107321369897059e-10,126,PRIMARY_Galactic_v2
