key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD10125,28.0,167.0,SimonDiaz2017,O9.7 II,4.51,3.89,
HD10205,23.0,90.0,SimonDiaz2017,B5 III,,,
HD10293,22.0,64.0,SimonDiaz2017,B7 III,4.1,2.71,
HD10362,20.0,33.0,SimonDiaz2017,B7 II,4.12,2.87,
HD10390,29.0,52.0,SimonDiaz2017,B9 IV-V,,,
HD104337,58.0,99.0,SimonDiaz2017,B1 V,4.36,2.93,
HD106625,20.0,33.0,SimonDiaz2017,B8 III,4.11,2.23,
HD10756,36.0,33.0,SimonDiaz2017,B8 Ia,4.09,3.69,
HD108,84.0,44.0,SimonDiaz2017,O8 fp var,,,
HD11415,26.0,42.0,SimonDiaz2017,B3 Vp,4.17,2.82,
HD114376,36.0,117.0,SimonDiaz2017,B7 III,4.13,2.4,
HD11529,27.0,29.0,SimonDiaz2017,B5 III,4.13,2.45,
HD11857,29.0,18.0,SimonDiaz2017,B7 I,4.12,2.43,
HD119608,71.0,45.0,SimonDiaz2017,B1 Ib,4.33,3.81,
HD120086,41.0,94.0,SimonDiaz2017,B2 V,4.27,2.8,
HD120315,50.0,161.0,SimonDiaz2017,B3 V,4.25,2.36,
HD12301,41.0,32.0,SimonDiaz2017,B8 Ib,4.08,3.45,
HD12303,23.0,74.0,SimonDiaz2017,B8 III,4.07,2.46,
HD12323,34.0,130.0,SimonDiaz2017,ON9.2 V,4.54,3.63,
HD125924,25.0,68.0,SimonDiaz2017,B2 IV,4.32,2.89,
HD1279,20.0,28.0,SimonDiaz2017,B8 III,4.12,2.77,
HD12993,80.0,79.0,SimonDiaz2017,O6.5 V((f)) Nstr,4.59,3.94,
HD13022,86.0,111.0,SimonDiaz2017,O9.7 II-III,4.51,3.89,
HD13267,57.0,37.0,SimonDiaz2017,B5 Ia,4.15,3.96,
HD135230,19.0,31.0,SimonDiaz2017,B9 III,,,
HD135485,17.0,19.0,SimonDiaz2017,B3 V,4.25,2.18,
HD13745,14.0,196.0,SimonDiaz2017,O9.7 II(n),4.51,3.99,
HD137569,21.0,21.0,SimonDiaz2017,B5 III:,,,
HD13841,80.0,48.0,SimonDiaz2017,B2 Ib,4.34,3.85,
HD13854,67.0,48.0,SimonDiaz2017,B1 Iab,4.35,4.04,
HD13866,77.0,43.0,SimonDiaz2017,B2 Ib,4.3,3.82,
HD138764,25.0,19.0,SimonDiaz2017,B6 IV,,,
HD14052,64.0,36.0,SimonDiaz2017,B1 Ib,4.35,3.76,
HD140873,52.0,64.0,SimonDiaz2017,B8 III,4.15,2.19,
HD14134,58.0,39.0,SimonDiaz2017,B3 Ia,4.19,4.01,
HD14143,69.0,42.0,SimonDiaz2017,B2 Ia,4.26,3.97,
HD142096,10.0,137.0,SimonDiaz2017,B2.5 V,4.23,2.41,
HD142669,40.0,113.0,SimonDiaz2017,B2 IV-V,4.27,2.72,
HD142763,15.0,91.0,SimonDiaz2017,B8 III,4.12,2.59,
HD142990,28.0,120.0,SimonDiaz2017,B5 V,4.18,2.73,
HD14302,53.0,65.0,SimonDiaz2017,B1 II-III,4.36,3.57,
HD14322,46.0,34.0,SimonDiaz2017,B8 Ib,4.07,4.01,
HD14331,73.0,58.0,SimonDiaz2017,B0 III,4.48,3.83,
HD14357,59.0,143.0,SimonDiaz2017,B2 II,4.32,3.78,
HD144206,12.0,18.0,SimonDiaz2017,B9 III,4.06,2.05,
HD144217,59.0,96.0,SimonDiaz2017,B0.5 V,4.47,3.06,
HD144218,36.0,59.0,SimonDiaz2017,B2 IV-V,4.26,2.44,
HD14443,58.0,36.0,SimonDiaz2017,BC2 Ib,4.34,3.78,
HD144470,21.0,106.0,SimonDiaz2017,B1 V,4.4,3.06,
HD14476,61.0,33.0,SimonDiaz2017,B0.5 III,4.4,3.58,
HD14542,46.0,38.0,SimonDiaz2017,B8 Ia,4.1,3.98,
HD145482,47.0,170.0,SimonDiaz2017,B2 V,4.29,2.75,
HD14633,84.0,123.0,SimonDiaz2017,ON8.5 V,4.54,3.84,
HD147165,53.0,24.0,SimonDiaz2017,B1 III,4.39,3.31,
HD148605,83.0,186.0,SimonDiaz2017,B2.5 V,4.28,2.6,
HD149438,10.0,7.0,SimonDiaz2017,B0 V,4.51,3.11,
HD14956,84.0,50.0,SimonDiaz2017,B2 Ia,4.28,3.99,
HD15318,20.0,58.0,SimonDiaz2017,B9 III,,,
HD154445,27.0,122.0,SimonDiaz2017,B1.5 V,4.34,3.15,
HD155711,32.0,120.0,SimonDiaz2017,B9 III,,,
HD155763,23.0,42.0,SimonDiaz2017,B6 III,4.12,2.47,
HD155806,95.0,47.0,SimonDiaz2017,O7.5 V((f))z(e),4.53,4.02,
HD15629,71.0,80.0,SimonDiaz2017,O4.5 V((fc)),4.63,4.07,
HD156633,64.0,128.0,SimonDiaz2017,B1.5 Vp,4.27,2.87,
HD157056,22.0,19.0,SimonDiaz2017,OB,4.36,2.81,
HD157857,64.0,114.0,SimonDiaz2017,O6.5 II(f),4.56,4.18,
HD16046,29.0,44.0,SimonDiaz2017,B9.5 V,,,
HD161480,16.0,18.0,SimonDiaz2017,B6,4.14,2.26,
HD161572,39.0,190.0,SimonDiaz2017,B8,,,
HD161573,21.0,47.0,SimonDiaz2017,B4,4.22,2.55,
HD161660,23.0,22.0,SimonDiaz2017,B8,,,
HD162094,98.0,95.0,SimonDiaz2017,B3 V,4.19,2.39,
HD162978,102.0,58.0,SimonDiaz2017,O8 II((f)),4.54,4.09,
HD163472,13.0,67.0,SimonDiaz2017,B2 IV-V,4.32,2.86,
HD163800,105.0,59.0,SimonDiaz2017,O7.5 III((f)),4.55,4.16,
HD164353,52.0,25.0,SimonDiaz2017,B5 Ib,4.16,3.57,
HD164438,85.0,76.0,SimonDiaz2017,O9.2 IV,4.51,3.91,
HD164492,52.0,33.0,SimonDiaz2017,O7.5 Vz,4.59,3.65,
HD164794,94.0,56.0,SimonDiaz2017,O4 V((f))z,4.65,4.11,
HD16582,19.0,9.0,SimonDiaz2017,B2 IV,4.34,2.94,
HD166182,16.0,41.0,SimonDiaz2017,B2 IV,4.31,3.27,
HD166546,69.0,42.0,SimonDiaz2017,O9.5 IV,4.49,3.86,
HD167264,83.0,59.0,SimonDiaz2017,O9.7 Iab,4.48,4.02,
