key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_R,f_rot
HD10125,28.0,167.0,SimonDiaz2017,O9.7 II,4.51,3.89,,0.8563136565781536,1.4652487324952028,1.1811782962877786,0.0,31.31809561843866,0.1526979896615957,15.176733087823957,0.21749538472960908
HD10293,22.0,64.0,SimonDiaz2017,B7 III,4.1,2.71,,1.0015883610376382,0.7933027273869929,1.0767993449368256,2.0,6.218053456913263,0.07744458171855714,11.934365791028593,0.10599673788996952
HD10362,20.0,33.0,SimonDiaz2017,B7 II,4.12,2.87,,1.001587951039029,0.8570520322470405,1.148031574743057,2.0,7.201088334610032,0.09514003104713663,14.06149752468167,0.04638678101060018
HD104337,58.0,99.0,SimonDiaz2017,B1 V,4.36,2.93,,0.7055718064468744,0.9954017549274257,0.7745767003528267,0.0,10.0,0.21575227671186517,5.950818443414329,0.32882919176287023
HD106625,20.0,33.0,SimonDiaz2017,B8 III,4.11,2.23,,0.9854167729749161,0.6303915177841224,0.7332327921490407,0.0,4.275084850508131,0.029920994342915678,5.410442577949788,0.12055716273874083
HD10756,36.0,33.0,SimonDiaz2017,B8 Ia,4.09,3.69,,1.0022961671149093,1.2193338633928432,1.799747061185275,2.0,17.184090299589933,0.07600581200472324,63.05899736205158,0.010343767481958647
HD11415,26.0,42.0,SimonDiaz2017,B3 Vp,4.17,2.82,,1.0008427239137805,0.8422215109086089,1.0173478188873681,2.0,6.959265180378926,0.1486434430191428,10.407533533779466,0.0797651786597258
HD114376,36.0,117.0,SimonDiaz2017,B7 III,4.13,2.4,,0.9849213387532723,0.7082776621086713,0.818579687917878,0.0,5.112406088928192,0.11054250468054473,6.585362524976608,0.351170515069667
HD11529,27.0,29.0,SimonDiaz2017,B5 III,4.13,2.45,,0.9914807371273664,0.7215588293981067,0.8410673836302098,0.6788682082071307,5.271091537373606,0.3086006582500755,6.9353340391410745,0.08264992903857706
HD11857,29.0,18.0,SimonDiaz2017,B7 I,4.12,2.43,,0.9962217667113523,0.7032657944796,0.8422883426502611,1.2207895914188363,5.053647971924096,0.058641494671535066,6.954859207282682,0.05115593574754905
HD119608,71.0,45.0,SimonDiaz2017,B1 Ib,4.33,3.81,,1.0011502473888916,1.306921294986786,1.4232885270501152,2.0,21.173597586575482,0.3797541034284132,26.502602757015534,0.03356107454831236
HD120086,41.0,94.0,SimonDiaz2017,B2 V,4.27,2.8,,0.8818027598621806,0.8929275823263774,0.8293923463273156,0.0,7.8186715056381875,0.08787627332536169,6.751376789474271,0.2751993336775922
HD120315,50.0,161.0,SimonDiaz2017,B3 V,4.25,2.36,,0.5407844729187201,0.7766378440286706,0.5902656980236065,0.0,5.98064927656187,0.10751034893665201,3.892832326442766,0.8174704237867321
HD12301,41.0,32.0,SimonDiaz2017,B8 Ib,4.08,3.45,,1.004220867497538,1.1245318329537053,1.653061189942528,2.0443772430610307,13.72452770399589,0.24974831686580415,44.9843231112803,0.014060496581279707
HD12303,23.0,74.0,SimonDiaz2017,B8 III,4.07,2.46,,1.0013600471928203,0.6994295914662455,0.9623568916613165,2.0,5.009311487168139,0.0816541914057007,9.169737252187744,0.15950955330779829
HD12323,34.0,130.0,SimonDiaz2017,ON9.2 V,4.54,3.63,,0.5696321183677927,1.3765836376671567,0.9445828983737841,0.0,24.292534057150906,0.2528409800928215,8.802031093152355,0.2919256962578433
HD125924,25.0,68.0,SimonDiaz2017,B2 IV,4.32,2.89,,0.805887311553991,0.9540190770595166,0.8070555661653294,0.0,8.999999999999998,0.2126317164075633,6.412916219213375,0.20958742276602058
HD1279,20.0,28.0,SimonDiaz2017,B8 III,4.12,2.77,,1.001422925797701,0.8175453213305911,1.0784927463749072,2.0,6.574966580579739,0.09737763853672042,11.98099112264908,0.04619310501836861
HD12993,80.0,79.0,SimonDiaz2017,O6.5 V((f)) Nstr,4.59,3.94,,0.660786579411164,1.5645136398888284,1.0958133845718803,0.0,39.59085389344613,0.15151294150911776,12.468476313048797,0.12523495887127872
