star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
HD 96715,Bowman2020_Galactic,MW,0.014,4.66,,4.1,,59.0,86.0,5.74308,99.219,1.66987,3.21,amplitude_umag,O4 V((f))z,,,,prior,HD96715,0.7591448659619197,1.9965948455920186,4.1,False
HD 46223,Bowman2020_Galactic,MW,0.014,4.62,,4.16,,60.0,91.0,3.99087,249.33,1.63706,5.766,amplitude_umag,O4 V((f)),,,,prior,HD46223,0.6010675811535588,2.396774537030027,4.16,False
HD 155913,Bowman2020_Galactic,MW,0.014,4.63,,3.88,,278.0,,6.15743,253.521,2.08883,6.635,amplitude_umag,O4.5 Vn((f)),,,,prior,HD155913,0.7893994833147892,2.4040139392369357,3.88,False
HD 46150,Bowman2020_Galactic,MW,0.014,4.61,,4.03,,71.0,94.0,3.95351,175.47,1.59155,4.48,amplitude_umag,O5 V((f)),,,,prior,HD46150,0.5969828416384722,2.244202876082985,4.03,False
HD 90273,Bowman2020_Galactic,MW,0.014,4.59,,3.95,,55.0,55.0,2.96658,186.796,1.52985,6.361,amplitude_umag,ON7 V,,,,prior,HD90273,0.47225606448539975,2.271367572126798,3.95,False
HD 110360,Bowman2020_Galactic,MW,0.014,4.59,,3.6,,96.0,86.0,2.36468,104.664,1.36668,11.971,amplitude_umag,ON7 V,,,,prior,HD110360,0.37377237820824066,2.0197973283850326,3.6,False
HD 47839,Bowman2020_Galactic,MW,0.014,4.58,,3.7,,43.0,65.0,3.7815,54.461,1.59141,3.9,amplitude_umag,O7 V,,,,prior,HD47839,0.5776641047321271,1.7360856114897092,3.7,False
HD 53975,Bowman2020_Galactic,MW,0.014,4.56,,3.74,,181.0,77.0,2.7786,144.615,1.36739,2.631,amplitude_umag,O7.5 Vz,,,,prior,HD53975,0.44382603137753696,2.1602133419167915,3.74,False
HD 41997,Bowman2020_Galactic,MW,0.014,4.55,,3.85,,262.0,39.0,2.61022,803.647,2.32176,9.622,amplitude_umag,O7.5 Vn((f)),,,,prior,HD41997,0.4166771129932439,2.9050653278320118,3.85,False
HD 46573,Bowman2020_Galactic,MW,0.014,4.56,,3.93,,77.0,81.0,2.00862,409.204,1.436,3.883,amplitude_umag,O7 V((f))z,,,,prior,HD46573,0.3028977826850897,2.6119398703222267,3.93,False
HD 48279,Bowman2020_Galactic,MW,0.014,4.55,,3.76,,131.0,74.0,2.77586,262.925,1.735,11.124,amplitude_umag,O8 V,,,,prior,HD48279,0.44339755877104137,2.4198318825911467,3.76,False
HD 46056,Bowman2020_Galactic,MW,0.014,4.55,,3.58,,370.0,,9.0522,56.7,2.45063,7.696,amplitude_umag,O8 Vn,,,,prior,HD46056,0.9567541407242331,1.7535830588929067,3.58,False
HD 38666,Bowman2020_Galactic,MW,0.014,4.53,,3.59,,111.0,56.0,4.06758,20.239,1.73389,1.246,amplitude_umag,O9.5 V,,,,prior,HD38666,0.6093361032725441,1.3061890504004259,3.59,False
HD 74920,Bowman2020_Galactic,MW,0.014,4.54,,3.9,,291.0,,3.66392,367.615,2.18152,4.029,amplitude_umag,O7.5 IVn((f)),,,,prior,HD74920,0.5639459824800228,2.5653932238357307,3.9,False
HD 135591,Bowman2020_Galactic,MW,0.014,4.54,,3.99,,60.0,60.0,1.977,343.595,1.38857,2.235,amplitude_umag,O8 IV((f)),,,,prior,HD135591,0.2960066693136723,2.5360468353448593,3.99,False
HD 326331,Bowman2020_Galactic,MW,0.014,4.54,,3.82,,332.0,,2.20987,1196.544,1.75566,9.365,amplitude_umag,O8 IVn((f)),,,,prior,HD326331,0.3443667261994771,3.0779286733680578,3.82,False
HD 37041,Bowman2020_Galactic,MW,0.014,4.54,,3.28,,134.0,47.0,0.93624,48.977,1.43815,4.91,amplitude_umag,O9.5 IVp,,,,prior,HD37041,-0.028612807976602626,1.6899921796586868,3.28,False
HD 123056,Bowman2020_Galactic,MW,0.014,4.5,,3.7,,193.0,,4.01672,268.094,2.46953,8.208,amplitude_umag,O9.5 IV(n),,,,prior,HD123056,0.6038715587186757,2.4282870944899666,3.7,False
HD 97253,Bowman2020_Galactic,MW,0.014,4.59,,4.16,,70.0,105.0,2.20426,837.597,2.06179,5.257,amplitude_umag,O5 III(f),,,,prior,HD97253,0.34326281971948686,2.9230351131720047,4.16,False
HD 93843,Bowman2020_Galactic,MW,0.014,4.57,,4.15,,58.0,120.0,2.60714,489.559,1.68517,2.333,amplitude_umag,O5 III(fc),,,,prior,HD93843,0.4161643528388176,2.6898050389999306,4.15,False
HD 156738,Bowman2020_Galactic,MW,0.014,4.58,,3.87,,65.0,103.0,4.38608,350.922,2.42795,9.671,amplitude_umag,O6.5 III(f),,,,prior,HD156738,0.6420765487372398,2.545210595856047,3.87,False
HD 36861,Bowman2020_Galactic,MW,0.014,4.55,,4.06,,53.0,75.0,2.05434,330.703,1.39102,1.453,amplitude_umag,O8 III((f)),,,,prior,HD36861,0.3126723223693683,2.5194381346703887,4.06,False
HD 150574,Bowman2020_Galactic,MW,0.014,4.52,,3.87,,252.0,,2.47023,1156.742,1.92152,14.547,amplitude_umag,ON9 III(n),,,,prior,HD150574,0.3927373917537884,3.0632365046120733,3.87,False
HD 152247,Bowman2020_Galactic,MW,0.014,4.51,,3.94,,82.0,96.0,2.75008,661.325,2.14782,10.339,amplitude_umag,O9.2 III,,,,prior,HD152247,0.4393453276677904,2.820414940603309,3.94,False
HD 55879,Bowman2020_Galactic,MW,0.014,4.49,,3.85,,26.0,60.0,1.71966,191.802,1.42054,3.195,amplitude_umag,O9.7 III,,,,prior,HD55879,0.23544258951215052,2.2828531314291975,3.85,False
HD 154643,Bowman2020_Galactic,MW,0.014,4.49,,3.85,,101.0,78.0,1.83226,495.62,1.48131,5.148,amplitude_umag,O9.7 III,,,,prior,HD154643,0.26298710063828057,2.695148823358551,3.85,False
CPD-47 2963,Bowman2020_Galactic,MW,0.014,4.57,,4.16,,67.0,110.0,2.53356,705.866,2.91261,6.488,amplitude_umag,O5 Ifc,,,,prior,CPD-472963,0.40373119375017985,2.84872226339731,4.16,False
HD 156154,Bowman2020_Galactic,MW,0.014,4.53,,4.22,,62.0,102.0,1.76469,1911.5,1.9628,13.637,amplitude_umag,O7.5 Ib(f),,,,prior,HD156154,0.24666842467346237,3.281374302355047,4.22,False
HD 112244,Bowman2020_Galactic,MW,0.014,4.5,,4.15,,124.0,80.0,0.9187,4203.703,1.93925,19.509,amplitude_umag,O8.5 Iab(f)p,,,,prior,HD112244,-0.03682628362474837,3.6236320246688694,4.15,False
HD 151804,Bowman2020_Galactic,MW,0.014,4.45,,4.33,,72.0,73.0,0.93978,3642.777,4.26287,36.297,amplitude_umag,O8 Iaf,,,,prior,HD151804,-0.026973801685978356,3.5614325858359956,4.33,False
HD 303492,Bowman2020_Galactic,MW,0.014,4.45,,4.29,,87.0,55.0,0.85247,3447.949,4.45373,11.85,amplitude_umag,O8.5 Iaf,,,,prior,HD303492,-0.06932089569465394,3.5375608333758817,4.29,False
HD 57061,Bowman2020_Galactic,MW,0.014,4.51,,4.01,,57.0,93.0,1.4168,1261.169,1.84189,3.97,amplitude_umag,O9 II,,,,prior,HD57061,0.15130854818201836,3.1007732870882347,4.01,False
HD 152249,Bowman2020_Galactic,MW,0.014,4.49,,4.15,,71.0,70.0,1.76168,2144.886,2.94309,27.729,amplitude_umag,OC9 Iab,,,,prior,HD152249,0.24592702390836851,3.3314042145223177,4.15,False
HD 152424,Bowman2020_Galactic,MW,0.014,4.48,,4.14,,59.0,66.0,0.95329,5315.488,3.42169,38.442,amplitude_umag,OC9.2 Ia,,,,prior,HD152424,-0.020774962697552694,3.725543142044313,4.14,False
HD 154368,Bowman2020_Galactic,MW,0.014,4.48,,4.28,,65.0,78.0,1.85794,1971.732,4.70571,24.824,amplitude_umag,O9.5 Iab,,,,prior,HD154368,0.2690316848515623,3.294847884828933,4.28,False
HD 152003,Bowman2020_Galactic,MW,0.014,4.48,,4.12,,65.0,83.0,0.92626,4459.742,1.76747,18.221,amplitude_umag,O9.7 Iab Nwk,,,,prior,HD152003,-0.0332670902985798,3.6493097351208177,4.12,False
HD 152147,Bowman2020_Galactic,MW,0.014,4.48,,4.04,,91.0,64.0,1.1396,3879.566,2.43834,27.977,amplitude_umag,O9.7 Ib Nwk,,,,prior,HD152147,0.056752440567439236,3.58878314457683,4.04,False
HD 36960,Bowman2020_Galactic,MW,0.014,4.46,,3.31,,23.0,37.0,1.83618,30.868,2.46009,3.814,amplitude_umag,B0.5 V,,,,prior,HD36960,0.2639152526685912,1.489508491577916,3.31,False
HD 37042,Bowman2020_Galactic,MW,0.014,4.47,,3.06,,33.0,13.0,1.20717,57.494,1.84494,9.116,amplitude_umag,B0.7 V,,,,prior,HD37042,0.08176843402701914,1.7596225246399968,3.06,False
HD 43112,Bowman2020_Galactic,MW,0.014,4.41,,2.95,,7.0,12.0,0.76982,6.269,1.16679,3.77,amplitude_umag,B1 V,,,,prior,HD43112,-0.11361081008111748,0.7971982698389589,2.95,False
HD 35912,Bowman2020_Galactic,MW,0.014,4.26,,2.44,,11.0,21.0,2.08064,241.602,3.01021,5.396,amplitude_umag,B2 V,,,,prior,HD35912,0.3181969434800138,2.3831005250872095,2.44,False
HD 48977,Bowman2020_Galactic,MW,0.014,4.25,,2.61,,26.0,8.0,1.46731,311.431,2.33096,4.565,amplitude_umag,B2.5 V,,,,prior,HD48977,0.16652187735149473,2.493361840277231,2.61,False
HD 34816,Bowman2020_Galactic,MW,0.014,4.46,,3.22,,25.0,,0.66173,61.383,1.34255,1.445,amplitude_umag,B0.5 IV,,,,prior,HD34816,-0.17931917586098825,1.7880481100913557,3.22,False
HD 46328,Bowman2020_Galactic,MW,0.014,4.4,,3.28,,7.0,20.0,1.08885,54.479,1.34896,3.49,amplitude_umag,B0.5 IV,,,,prior,HD46328,0.03696805545897908,1.7362291272001074,3.28,False
