star,sample,lT,lL,tier,alpha0,nuchar,gamma,vsini,a0_ok,sys_nu,sys_a0,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_M,ev_R,f_rot,log_alpha0,log_nuchar,rotmod_candidate
HD 96715,Bowman2020_Galactic,4.66,4.1,A,99.219,5.74308,1.66987,59.0,True,0.0,0.0,0.5393331814320449,1.7640305217552497,1.1327657123874695,0.0,65.5616254424597,0.04452478553342661,58.08052344624499,13.575808787001105,0.08590099018965709,1.9965948455920186,0.7591448659619197,False
HD 46223,Bowman2020_Galactic,4.62,4.16,A,249.33,3.99087,1.63706,60.0,True,0.0,0.0,0.7197540892346551,1.7271708368203502,1.2261155639877503,0.0,64.01432916667929,0.1449709981384606,53.354473273933294,16.8312187334307,0.07046079795246529,2.396774537030027,0.6010675811535588,False
HD 155913,Bowman2020_Galactic,4.63,3.88,A,253.521,6.15743,2.08883,278.0,True,0.0,0.0,0.3700719897458498,1.6343453753713169,1.017171345325302,0.0,44.99999999999999,0.29049238449273984,43.08691256155797,10.403305339583975,0.5281840974653268,2.4040139392369357,0.7893994833147892,False
HD 46150,Bowman2020_Galactic,4.61,4.03,A,175.47,3.95351,1.59155,71.0,True,0.0,0.0,0.6548243008555434,1.6594196330174014,1.1514576244989199,0.0,51.009794596599384,0.16602970278731938,45.64777703454894,14.172864155291679,0.09901764544881175,2.244202876082985,0.5969828416384722,False
HD 90273,Bowman2020_Galactic,4.59,3.95,A,186.796,2.96658,1.52985,55.0,True,0.0,0.0,0.668634959898171,1.5739342959167841,1.105717319456904,0.0,40.69741357559093,0.23189417556771588,37.49162771550489,12.756082502235133,0.08522308295463676,2.271367572126798,0.47225606448539975,False
HD 110360,Bowman2020_Galactic,4.59,3.6,A,104.664,2.36468,1.36668,96.0,True,0.0,0.0,0.16149279329103677,1.451480016252211,0.8721503339255612,0.0,28.485619543478304,0.321760192064088,28.28003979487264,7.449898124593602,0.25470224320087936,2.0197973283850326,0.37377237820824066,False
HD 47839,Bowman2020_Galactic,4.58,3.7,A,54.461,3.7815,1.59141,43.0,True,0.0,0.0,0.43249785748806513,1.4666307568747743,0.9451695033427109,0.0,30.000000000000007,0.10668509731026644,29.284024186310816,8.813928098587397,0.0964297016339843,1.7360856114897092,0.5776641047321271,False
HD 53975,Bowman2020_Galactic,4.56,3.74,A,144.615,2.7786,1.36739,181.0,True,0.0,0.0,0.6015782331219777,1.445038112455645,0.9944971217051046,0.0,28.859365592922803,0.2755728703827343,27.863656814737286,9.874090916527441,0.36232084783247825,2.1602133419167915,0.44382603137753696,False
HD 41997,Bowman2020_Galactic,4.55,3.85,A,803.647,2.61022,2.32176,262.0,True,0.0,0.0,0.7386992634836264,1.4825639094490668,1.0902175435497485,0.0,32.24607926687758,0.03264828830732466,30.378330972925028,12.308851822319804,0.4207223838209886,2.9050653278320118,0.4166771129932439,False
HD 46573,Bowman2020_Galactic,4.56,3.93,A,409.204,2.00862,1.436,77.0,True,0.0,0.0,0.7452531859382773,1.5320639177262498,1.133406602656783,0.0,36.92012071287609,0.16709564239555216,34.045829330490136,13.595857456811691,0.1119427555786359,2.6119398703222267,0.3028977826850897,False
HD 48279,Bowman2020_Galactic,4.55,3.76,A,262.925,2.77586,1.735,131.0,True,0.0,0.0,0.6731993846860331,1.4393625943680683,1.0263471102187731,0.0,28.637162615443483,0.2077025784002766,27.50189339982531,10.625444574354068,0.24368907317464034,2.4198318825911467,0.44339755877104137,False
HD 46056,Bowman2020_Galactic,4.55,3.58,A,56.7,9.0522,2.45063,370.0,True,0.0,0.0,0.44414395246741134,1.3742167075491964,0.9000204131656644,0.0,24.0,0.17052265526013435,23.67100556604419,7.943655714522401,0.9206470834154755,1.7535830588929067,0.9567541407242331,False
HD 38666,Bowman2020_Galactic,4.53,3.59,A,20.239,4.06758,1.73389,111.0,True,0.0,0.0,0.5755162764845079,1.3605465446317921,0.9382508236468428,0.0,23.3762997396924,0.4585620605317139,22.937524455492326,8.674627279567972,0.25292049662320315,1.3061890504004259,0.6093361032725441,False
HD 74920,Bowman2020_Galactic,4.54,3.9,A,367.615,3.66392,2.18152,291.0,True,0.0,0.0,0.7887709061497206,1.4944858653341913,1.1375747097354516,0.0,33.53124350226506,0.06403778711335786,31.223807827190967,13.726970796310182,0.4190155593924361,2.5653932238357307,0.5639459824800228,False
HD 135591,Bowman2020_Galactic,4.54,3.99,A,343.595,1.977,1.38857,60.0,True,0.0,0.0,0.8172185347820887,1.547534746376338,1.2103543271622235,0.0,39.08604796459173,0.13526732071563818,35.280501217978575,16.231338209546497,0.07306489995830999,2.5360468353448593,0.2960066693136723,False
HD 326331,Bowman2020_Galactic,4.54,3.82,A,1196.544,2.20987,1.75566,332.0,True,0.0,0.0,0.7496201183739398,1.4561587949328232,1.081676386464661,0.0,30.139370274481667,0.017460641120037243,28.586355805226166,12.069141706357533,0.5437178213104152,3.0779286733680578,0.3443667261994771,False
HD 37041,Bowman2020_Galactic,4.54,3.28,A,48.977,0.93624,1.43815,134.0,True,0.0,0.0,0.0015756276072069937,1.275611536646941,0.7331686473772762,0.0,18.869401891286905,0.16968182612748223,18.863033526576825,5.409643521110529,0.48960745475750517,1.6899921796586868,-0.028612807976602626,True
HD 123056,Bowman2020_Galactic,4.5,3.7,A,268.094,4.01672,2.46953,193.0,True,0.0,0.0,0.7893614667004845,1.3666001579300489,1.0581238734760534,0.0,23.999999999999996,0.0557021040652895,23.259488393611534,11.43204363579306,0.3336916245667006,2.4282870944899666,0.6038715587186757,False
HD 97253,Bowman2020_Galactic,4.59,4.16,A,837.597,2.20426,2.06179,70.0,True,0.0,0.0,0.7715355347680143,1.7013089530791143,1.2732592682910477,0.0,60.73486309620547,0.10349783933433437,50.270007853823024,18.761141901648966,0.07374806715576676,2.9230351131720047,0.34326281971948686,False
HD 93843,Bowman2020_Galactic,4.57,4.15,A,489.559,2.60714,1.68517,58.0,True,0.0,0.0,0.8024116715389025,1.680146837223008,1.2962775133724567,0.0,57.57596671094426,0.29593998740739574,47.879194700652285,19.782333237662073,0.05795118900358598,2.6898050389999306,0.4161643528388176,False
HD 156738,Bowman2020_Galactic,4.58,3.87,A,350.922,4.38608,2.42795,65.0,True,0.0,0.0,0.6440268408461587,1.527694996293861,1.0644044819878462,0.0,35.850350379845594,0.12113077273755841,33.705051595735604,11.598570910373041,0.11076964029480782,2.545210595856047,0.6420765487372398,False
HD 36861,Bowman2020_Galactic,4.55,4.06,A,330.703,2.05434,1.39102,53.0,True,0.0,0.0,0.8203213267769675,1.6097798221497925,1.2601107910519302,0.0,46.63747794243677,0.14646508078946988,40.71737972146197,18.201651341152406,0.05755419041641283,2.5194381346703887,0.3126723223693683,False
HD 150574,Bowman2020_Galactic,4.52,3.87,A,1156.742,2.47023,1.92152,252.0,True,0.0,0.0,0.8271470712673399,1.4626647765023524,1.1491048108130193,0.0,30.981222933998108,0.2376158304435789,29.017819605181067,14.096289513274066,0.3533520381859085,3.0632365046120733,0.3927373917537884,False
HD 152247,Bowman2020_Galactic,4.51,3.94,A,661.325,2.75008,2.14782,82.0,True,0.0,0.0,0.8655510640858837,1.4949506966112729,1.2194919747238808,0.0,34.01870597487041,0.09239134473588685,31.257244983324586,16.576467051093935,0.09777633366506276,2.820414940603309,0.4393453276677904,False
HD 55879,Bowman2020_Galactic,4.49,3.85,A,191.802,1.71966,1.42054,26.0,True,0.0,0.0,0.8772405915418204,1.4297633833989298,1.1836706624719833,0.0,28.548740242554324,0.1325612996567347,26.90068774805354,15.264081017198817,0.033667785862201025,2.2828531314291975,0.23544258951215052,False
HD 154643,Bowman2020_Galactic,4.49,3.85,A,495.62,1.83226,1.48131,101.0,True,0.0,0.0,0.8772405915418204,1.4297633833989298,1.1836706624719833,0.0,28.548740242554324,0.1325612996567347,26.90068774805354,15.264081017198817,0.13078639892624244,2.695148823358551,0.26298710063828057,False
CPD-47 2963,Bowman2020_Galactic,4.57,4.16,A,705.866,2.53356,2.91261,67.0,True,0.0,0.0,0.8056437305339694,1.6839755905391565,1.3047295070102276,0.0,58.4152058554419,0.1709637595668095,48.303165255008416,20.171096496520263,0.06565339162333757,2.84872226339731,0.40373119375017985,False
HD 156154,Bowman2020_Galactic,4.53,4.22,A,1911.5,1.76469,1.9628,62.0,True,0.0,0.0,0.8789464140922691,1.6867498704651807,1.4187846033079143,0.0,61.80389451505717,0.1947742399316034,48.6127142776101,26.229173344870865,0.046721734476316806,3.281374302355047,0.24666842467346237,False
HD 112244,Bowman2020_Galactic,4.5,4.15,A,4203.703,0.9187,1.93925,124.0,True,0.0,0.0,0.8999836244949575,1.6396997107050455,1.4179238716091818,0.0,52.447716542368035,0.3105963469017748,43.621411133428204,26.177241016494378,0.09362884895166516,3.6236320246688694,-0.03682628362474837,False
HD 151804,Bowman2020_Galactic,4.45,4.33,A,3642.777,0.93978,4.26287,72.0,True,0.0,0.0,1.0149611451846783,1.4985199776600702,1.5358607312431263,0.5519124693306654,56.47181847295062,0.018565015650985398,31.515193475867516,34.344779403100134,0.041436554483606676,3.5614325858359956,-0.026973801685978356,False
HD 303492,Bowman2020_Galactic,4.45,4.29,A,3447.949,0.85247,4.45373,87.0,True,0.0,0.0,1.0053013057278957,1.533728088336096,1.5425770343606686,0.4269124679016706,56.338627243965036,0.28184279507833915,34.17653962864625,34.88004482337715,0.04930081389772186,3.5375608333758817,-0.06932089569465394,False
