                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                       1                                     1089                  3.0000000000000000E+000                  2.0000000000000000E-002                  6.4150029909958457E+003                  6.4150029909958457E+003                  1.2174825982349457E+004                  8.1339088173417963E+001                  2.0299388776984024E+000                 -3.3325282530030105E+000                  6.9908067018823894E-001                  3.8408294244788317E-006                  2.8037252067462787E-001                  1.6360877418413294E-004                  4.8560513411489399E-003                  9.3335239591634239E-003                  2.0994599496987334E-003                  3.0000000000000000E+000                  0.0000000000000000E+000                  2.0993194600422869E+000                  7.3670669824841769E-005                  8.4019804372603213E-001                  7.8580635041028031E-003                  5.9184894709884035E-003                  2.8062919887130555E-002                  6.2983798490936771E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9999999999123879E+000                  2.0259981150461899E+000                  2.9999999991960622E+000                  2.0204480086804728E+000                  1.6718502948740261E+004                  1.2794985189807154E+006                  3.6882636225327343E+008                  1.6482767602906105E+002                  1.6482767602906111E+002                  9.9278901789878535E-037                  1.0929212631296489E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.0244562653765552E+011                                    11701                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.4.1"                               "20200508" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    grada                                  opacity                                 conv_vel                                    gradT                                    gradr                                 brunt_N2                  brunt_N2_structure_term                brunt_N2_composition_term                         log_f_div_rhocs3                     log_fconv_div_rhocs3                      log_Fedd_div_rhocs3 
                                       1                  3.0000000000000000E+000                  3.0748296132309333E-001                  4.0871301180195498E+000                 -9.1868182230812696E+000                  3.0045705989584568E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.1011261258757202E-001                  1.3956233716656222E+001                  0.0000000000000000E+000                  1.3050465322586510E-001                  1.3050465322586510E-001                  3.0056578233228394E-005                  3.0056578233228394E-005                  0.0000000000000000E+000                  2.8234951413744303E+000                 -9.8999999999999986E+001                  4.3601147526846749E+000 
                                       2                  2.9999999999996252E+000                  3.0746890459285331E-001                  4.0904366396584599E+000                 -9.1648819068107148E+000                  3.0293564132451878E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.1534159215421028E-001                  1.4195950597590297E+001                  0.0000000000000000E+000                  1.3343935615432437E-001                  1.3343935615432437E-001                  2.9771072742164153E-005                  2.9771072742164153E-005                  0.0000000000000000E+000                  2.7973929844873973E+000                 -9.8999999999999986E+001                  4.3266163501851285E+000 
                                       3                  2.9999999999992499E+000                  3.0745553897229039E-001                  4.0928838262648961E+000                 -9.1492520142046363E+000                  3.0470616307012044E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.1852058297622470E-001                  1.4354629946249004E+001                  0.0000000000000000E+000                  1.3904572120687553E-001                  1.3904572120687553E-001                  2.9057713832351288E-005                  2.9057713832351288E-005                  0.0000000000000000E+000                  2.7770047020889539E+000                 -9.8999999999999986E+001                  4.3014005459791189E+000 
                                       4                  2.9999999999990625E+000                  3.0744909195316372E-001                  4.0945009379986157E+000                 -9.1392294459571684E+000                  3.0584770806156931E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2025013402329174E-001                  1.4449816546670736E+001                  0.0000000000000000E+000                  1.4166791339333953E-001                  1.4166791339333953E-001                  2.8544791938002189E-005                  2.8544791938002189E-005                  0.0000000000000000E+000                  2.7625723485859548E+000                 -9.8999999999999986E+001                  4.2840978602304878E+000 
                                       5                  2.9999999999988751E+000                  3.0744279173612099E-001                  4.0961044101271460E+000                 -9.1295220727330886E+000                  3.0696007811728978E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2177373891314742E-001                  1.4536754653926703E+001                  0.0000000000000000E+000                  1.4415688011861855E-001                  1.4415688011861855E-001                  2.7921282506268510E-005                  2.7921282506268510E-005                  0.0000000000000000E+000                  2.7477088606458384E+000                 -9.8999999999999986E+001                  4.2666292450262988E+000 
                                       6                  2.9999999999986873E+000                  3.0743663051450976E-001                  4.0976936097438168E+000                 -9.1201226259307724E+000                  3.0804472761838144E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2319663329999520E-001                  1.4615660302443660E+001                  0.0000000000000000E+000                  1.4652479404790406E-001                  1.4652479404790406E-001                  2.7266091817802676E-005                  2.7266091817802676E-005                  0.0000000000000000E+000                  2.7327214135751121E+000                 -9.8999999999999986E+001                  4.2492908180125966E+000 
                                       7                  2.9999999999985003E+000                  3.0743060095384050E-001                  4.0992679840914201E+000                 -9.1110160207664066E+000                  3.0910300483804125E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2467518774991774E-001                  1.4687001657924343E+001                  0.0000000000000000E+000                  1.4877486700696532E-001                  1.4877486700696532E-001                  2.6654132158331834E-005                  2.6654132158331834E-005                  0.0000000000000000E+000                  2.7181168406363172E+000                 -9.8999999999999986E+001                  4.2325715417559655E+000 
                                       8                  2.9999999999983125E+000                  3.0742469626569080E-001                  4.1008270843832362E+000                 -9.1021777913577040E+000                  3.1013616201863066E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2639870350837171E-001                  1.4751547843254187E+001                  0.0000000000000000E+000                  1.5091335322487853E-001                  1.5091335322487853E-001                  2.6172333883564527E-005                  2.6172333883564527E-005                  0.0000000000000000E+000                  2.7044724610293716E+000                 -9.8999999999999986E+001                  4.2170227138991976E+000 
                                       9                  2.9999999999981251E+000                  3.0741891029442819E-001                  4.1031401371972613E+000                 -9.0893644300098906E+000                  3.1164130516633319E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.2947843570835297E-001                  1.4836816622745969E+001                  0.0000000000000000E+000                  1.5293971284296243E-001                  1.5293971284296243E-001                  2.5882716264061721E-005                  2.5882716264061721E-005                  0.0000000000000000E+000                  2.6856473355351120E+000                 -9.8999999999999986E+001                  4.1956944515403585E+000 
                                      10                  2.9999999999977502E+000                  3.0740767412084585E-001                  4.1061629567186948E+000                 -9.0730110260884320E+000                  3.1357049884891572E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.3349467778270885E-001                  1.4933192933312851E+001                  0.0000000000000000E+000                  1.5671336646058154E-001                  1.5671336646058154E-001                  2.5563971356989596E-005                  2.5563971356989596E-005                  0.0000000000000000E+000                  2.6613627270154709E+000                 -9.8999999999999986E+001                  4.1685978959159371E+000 
                                      11                  2.9999999999973750E+000                  3.0739685235525072E-001                  4.1083836829694835E+000                 -9.0612518805710529E+000                  3.1496329490466155E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.3627475426270925E-001                  1.4993490800529212E+001                  0.0000000000000000E+000                  1.6017279604523804E-001                  1.6017279604523804E-001                  2.5304933396168215E-005                  2.5304933396168215E-005                  0.0000000000000000E+000                  2.6438507587313338E+000                 -9.8999999999999986E+001                  4.1493358462213115E+000 
                                      12                  2.9999999999971876E+000                  3.0739158572154540E-001                  4.1098466849541060E+000                 -9.0536432675911076E+000                  3.1586765691365564E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.3802027624022226E-001                  1.5027508758247482E+001                  0.0000000000000000E+000                  1.6177741352624983E-001                  1.6177741352624983E-001                  2.5181025663035256E-005                  2.5181025663035256E-005                  0.0000000000000000E+000                  2.6325365123024760E+000                 -9.8999999999999986E+001                  4.1370373675641199E+000 
                                      13                  2.9999999999969997E+000                  3.0738641036631975E-001                  4.1121498933213028E+000                 -9.0418754993492438E+000                  3.1727122188420540E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.4063985676811828E-001                  1.5072012670198870E+001                  0.0000000000000000E+000                  1.6328435426178539E-001                  1.6328435426178539E-001                  2.5060377921283508E-005                  2.5060377921283508E-005                  0.0000000000000000E+000                  2.6151118592155478E+000                 -9.8999999999999986E+001                  4.1183284536948817E+000 
                                      14                  2.9999999999965898E+000                  3.0737539130121028E-001                  4.1152358302879053E+000                 -9.0263647427350424E+000                  3.1912686428880521E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.4394714308406842E-001                  1.5118621709877649E+001                  0.0000000000000000E+000                  1.6632479663319460E-001                  1.6632479663319460E-001                  2.4815526095498876E-005                  2.4815526095498876E-005                  0.0000000000000000E+000                  2.5922406312219097E+000                 -9.8999999999999986E+001                  4.0941162757518663E+000 
                                      15                  2.9999999999961799E+000                  3.0736475804028224E-001                  4.1182442711221210E+000                 -9.0115455462874632E+000                  3.2090662836076702E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.4689146398661049E-001                  1.5148591222906184E+001                  0.0000000000000000E+000                  1.6905891467805764E-001                  1.6905891467805764E-001                  2.4591777875354064E-005                  2.4591777875354064E-005                  0.0000000000000000E+000                  2.5704787082175260E+000                 -9.8999999999999986E+001                  4.0714943067024745E+000 
                                      16                  2.9999999999957696E+000                  3.0735448074959371E-001                  4.1211761801127800E+000                 -8.9973561561792597E+000                  3.2261647759700698E+000                  6.9999999999902995E-001                  2.8000000000097053E-001                  1.9999999999999574E-002                  2.4943401004205124E-001                  1.5163827873243873E+001                  0.0000000000000000E+000                  1.7149328141424103E-001                  1.7149328141424103E-001                  2.4369606980251458E-005                  2.4369606980251458E-005                  0.0000000000000000E+000                  2.5499021514263664E+000                 -9.8999999999999986E+001                  4.0504811503973297E+000 
