# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
MW/w0.0 M5.0 done done None 2540 0.0 111975235.62429658
MW/w0.0 M5.2 done done None 2281 0.0 101790751.29720947
MW/w0.0 M5.4 done done None 2393 0.0 93165069.43949588
MW/w0.0 M5.6 done done None 2590 0.0 85459206.34145385
MW/w0.0 M5.8 done done None 2540 0.0 78797409.82850166
MW/w0.0 M6.0 done done None 2668 0.0 72982527.94530042
MW/w0.0 M6.5 done done None 2739 0.0 61157160.11229129
MW/w0.0 M7.0 done done None 2810 0.0 52061881.351375885
MW/w0.0 M7.5 done done None 2955 0.0 45225014.947058834
MW/w0.0 M8.0 done done None 2979 0.0 39561281.19255686
MW/w0.0 M9.0 done done None 3311 2.408335573313542e-37 31503877.110573664
MW/w0.0 M10 done done None 3288 0.0 25992737.489900135
MW/w0.0 M11 done done None 3017 0.0 21998794.213931903
MW/w0.0 M12 done done None 2863 0.0 19063903.308614217
MW/w0.0 M13 done done None 2774 0.0 16963565.84785128
MW/w0.0 M14 done done None 2904 0.0 15141604.302840725
MW/w0.0 M15 done done None 3114 0.0 13727520.668737177
MW/w0.0 M16 done done None 3163 0.0 12600638.105926326
MW/w0.0 M17 done done None 3435 0.0 11639561.553579327
MW/w0.0 M18 done done None 3737 0.0 10844393.317129754
MW/w0.0 M19 done done None 4074 0.0 10166734.722301893
MW/w0.0 M20 done done None 4434 0.0 9588047.416066745
MW/w0.0 M21 done done None 4876 0.0 9068726.200437063
MW/w0.0 M22 done done None 5337 0.0 8637011.984642264
MW/w0.0 M23 done done None 5797 0.0 8250718.792452126
MW/w0.0 M24 done done None 6401 0.0 7912671.042392026
MW/w0.0 M25 done done None 7184 0.0 7603674.172858848
MW/w0.0 M30 done done None 14809 0.0 6468611.761497131
MW/w0.0 M40 running running None 90793 0.0 5065222.965615926
MW/w0.0 M50 running running None 98250 0.0 4281303.418507922
MW/w0.0 M60 running running None 104481 0.0 3796673.646290779
MW/w0.0 M80 running running None 115065 0.0 3278045.3727913126
MW/w0.0 M100 running running None 146311 0.05618498986730098 2836646.4293575846
MW/w0.0 M120 running running None 142301 0.12072121362353809 2478385.9810075117
MW/w0.2 M5.0 done done None 2518 0.0 112736018.51856567
MW/w0.2 M5.2 done done None 2501 0.0 102193868.70838237
MW/w0.2 M5.4 done done None 2603 0.0 93515446.89490831
MW/w0.2 M5.6 done done None 2631 0.0 86191984.80473697
MW/w0.2 M5.8 done done None 2622 0.0 79268873.52833071
MW/w0.2 M6.0 done done None 2752 0.0 73581327.11755073
MW/w0.2 M6.5 done done None 2703 0.0 61417955.975413196
MW/w0.2 M7.0 done done None 2807 0.0 52460670.82038075
MW/w0.2 M7.5 done done None 2947 0.0 45483917.179607235
MW/w0.2 M8.0 done done None 3130 0.0 40072602.12100991
MW/w0.2 M9.0 done done None 3254 0.0 31661810.870781083
MW/w0.2 M10 done done None 3332 0.0 26154552.73749435
MW/w0.2 M11 done done None 3495 0.0 22128161.870604977
MW/w0.2 M12 done done None 2868 0.0 19178478.00699816
MW/w0.2 M13 done done None 2923 0.0 16908750.979548585
MW/w0.2 M14 done done None 2934 0.0 15270130.544110475
MW/w0.2 M15 done done None 3033 0.0 13818612.678971527
MW/w0.2 M16 done done None 3207 0.0 12666774.920333399
MW/w0.2 M17 done done None 3490 0.0 11706598.51662423
MW/w0.2 M18 done done None 3797 0.0 10908642.846985806
MW/w0.2 M19 running running None 69668 0.0 12634276.289244667
MW/w0.2 M20 done done None 4523 0.0 9697548.57346042
MW/w0.2 M21 done done None 5060 0.0 9179104.80243196
MW/w0.2 M22 done done None 5591 0.0 8729278.702108629
MW/w0.2 M23 done done None 6210 0.0 8336348.028273062
MW/w0.2 M24 done done None 6841 0.0 7943990.0569589855
MW/w0.2 M25 fail_pms crash None 48473 0.0 8705359.271807214
MW/w0.2 M30 done done None 17856 0.0 6537030.921609064
MW/w0.2 M40 fail_pms min_timestep_limit 0.1 17909 0.0 4848883.033274902
MW/w0.2 M50 fail_pms min_timestep_limit 0.1 27217 2.3094959866380814e-30 4211871.855648344
MW/w0.2 M60 running running None 87296 0.0 3835283.2351509044
MW/w0.2 M80 running running None 113349 0.0012517819222572866 3312653.6482229307
MW/w0.2 M100 running running None 120419 0.07622730062522506 2811310.377857714
MW/w0.2 M120 running running None 118909 0.13402061134341858 2457778.538161472
MW/w0.4 M5.0 done done None 2466 0.0 114314375.62550938
MW/w0.4 M5.2 done done None 2611 0.0 104699674.04881187
MW/w0.4 M5.4 done done None 2535 0.0 94983146.81800978
MW/w0.4 M5.6 done done None 2603 0.0 87665652.25282629
MW/w0.4 M5.8 done done None 2607 0.0 80428337.45956306
MW/w0.4 M6.0 done done None 2708 0.0 74579907.35156597
MW/w0.4 M6.5 done done None 2881 0.0 63404561.55674156
MW/w0.4 M7.0 done done None 2766 0.0 53018488.527917184
MW/w0.4 M7.5 done done None 2620 0.0 46344466.82052156
MW/w0.4 M8.0 done done None 2882 0.0 40536531.75889659
MW/w0.4 M9.0 done done None 3191 0.0 32160727.75638722
MW/w0.4 M10 done done None 3602 0.0 26513957.625270892
MW/w0.4 M11 done done None 3714 0.0 22494949.83214806
MW/w0.4 M12 done done None 3087 0.0 19577941.45447043
MW/w0.4 M13 done done None 3044 0.0 17240930.207483
MW/w0.4 M14 done done None 3031 0.0 15516295.997995386
MW/w0.4 M15 done done None 3197 0.0 14116642.972436225
MW/w0.4 M16 done done None 3384 0.0 12918275.359601438
MW/w0.4 M17 done done None 3622 0.0 11900285.919182245
MW/w0.4 M18 done done None 4037 0.0 11132200.885641588
MW/w0.4 M19 done done None 4548 0.0 10492099.80099678
MW/w0.4 M20 done done None 4760 0.0 9834783.459072856
MW/w0.4 M21 done done None 5422 0.0 9369328.914493443
MW/w0.4 M22 done done None 6144 0.0 8887606.321626497
MW/w0.4 M23 done done None 6704 0.0 8479011.642457226
MW/w0.4 M24 done done None 7660 0.0 8132253.101929785
MW/w0.4 M25 done done None 9096 0.0 7827332.672511358
MW/w0.4 M30 done done None 39184 0.0 6776324.21357778
MW/w0.4 M40 running running None 68601 0.0 5245948.975619064
MW/w0.4 M50 fail_pms min_timestep_limit 0.1 31915 2.535098440367991e-94 4315689.095602077
MW/w0.4 M60 fail_pms min_timestep_limit 0.1 44256 0.0 3882308.497534604
MW/w0.4 M80 running running None 117239 0.012773890805569055 3321527.069653573
MW/w0.4 M100 running running None 120673 0.07777046496986045 2830635.792510691
MW/w0.4 M120 running running None 118564 0.14226885898297972 2454517.5585611127
MW/w0.6 M5.0 fail_ms min_timestep_limit 1e-08 889 0.004892839060642135 102493286.41664702
MW/w0.6 M5.2 fail_ms min_timestep_limit 1e-08 904 0.005076731234907419 93553579.25150132
