# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
MW/w0.0 M5.0 done done None 2508 0.0 116131897.25802594
MW/w0.0 M5.2 done done None 2558 0.0 105540693.51690736
MW/w0.0 M5.4 done done None 2587 0.0 96306296.45873359
MW/w0.0 M5.6 done done None 2694 0.0 88719064.23881827
MW/w0.0 M5.8 done done None 2744 0.0 81719191.86891092
MW/w0.0 M6.0 done done None 2599 0.0 75263499.5143535
MW/w0.0 M6.5 done done None 2815 0.0 63034191.04556422
MW/w0.0 M7.0 done done None 2811 0.0 53620756.83284617
MW/w0.0 M7.5 done done None 2957 0.0 46341800.58314084
MW/w0.0 M8.0 done done None 3093 0.0 40687117.40710696
MW/w0.0 M9.0 done done None 3261 0.0 32158328.914119124
MW/w0.0 M10 done done None 3551 0.0 26483422.780212816
MW/w0.0 M11 done done None 3494 0.0 22448218.576498058
MW/w0.0 M12 done done None 2892 0.0 19347556.95718587
MW/w0.0 M13 done done None 2824 0.0 17128762.045797903
MW/w0.0 M14 done done None 3050 0.0 15336233.029880604
MW/w0.0 M15 done done None 3196 0.0 13874229.11564818
MW/w0.0 M16 done done None 3167 0.0 12726307.585570714
MW/w0.0 M17 done done None 3451 0.0 11730515.757823301
MW/w0.0 M18 done done None 3730 0.0 10932862.26592954
MW/w0.0 M19 done done None 4062 0.0 10242485.568041228
MW/w0.0 M20 done done None 4404 0.0 9652866.529151166
MW/w0.0 M21 done done None 4840 0.0 9143097.169396847
MW/w0.0 M22 done done None 5222 0.0 8703002.311451077
MW/w0.0 M23 done done None 5910 0.0 8338230.0983645655
MW/w0.0 M24 done done None 6607 0.0 7983797.633925509
MW/w0.0 M25 done done None 7449 0.0 7653731.504678782
MW/w0.0 M30 done done None 13539 0.0 6495438.029112
MW/w0.0 M40 running running None 52169 0.0 5028384.473303798
MW/w0.0 M50 running running None 59582 0.0 4274848.119361997
MW/w0.0 M60 running running None 66252 0.0 3780254.689516674
MW/w0.0 M80 running running None 76796 0.0 3274645.305597796
MW/w0.0 M100 running running None 90507 0.11275419683156447 2681965.31983489
MW/w0.0 M120 running running None 91805 0.19190248199760326 2273759.9329790906
MW/w0.2 M5.0 done done None 2112 0.0 116701985.44479609
MW/w0.2 M5.2 done done None 2098 0.0 106105490.00680584
MW/w0.2 M5.4 done done None 2194 6.775766665911331e-38 97033992.36661227
MW/w0.2 M5.6 done done None 2169 0.0 88828313.33428846
MW/w0.2 M5.8 done done None 2189 0.0 81846014.71188046
MW/w0.2 M6.0 done done None 2184 0.0 75630589.74611117
MW/w0.2 M6.5 done done None 2363 0.0 63280967.91433756
MW/w0.2 M7.0 done done None 2434 0.0 53927474.22396993
MW/w0.2 M7.5 done done None 2642 0.0 46720569.40837498
MW/w0.2 M8.0 done done None 2758 0.0 40892816.42853077
MW/w0.2 M9.0 done done None 2906 1.9724873885150997e-37 32332627.91300003
MW/w0.2 M10 done done None 3324 0.0 26647140.81167041
MW/w0.2 M11 done done None 3537 0.0 22556327.772904783
MW/w0.2 M12 done done None 3343 0.0 19555694.37299073
MW/w0.2 M13 done done None 2805 0.0 17251380.275525402
MW/w0.2 M14 done done None 2882 0.0 15434305.032259071
MW/w0.2 M15 done done None 3067 0.0 13965623.814916583
MW/w0.2 M16 done done None 3215 0.0 12786784.860555062
MW/w0.2 M17 done done None 3483 0.0 11838927.43091299
MW/w0.2 M18 done done None 4649 0.0 11623159.62014008
MW/w0.2 M19 done done None 4078 0.0 10298635.608006105
MW/w0.2 M20 done done None 5476 0.0 10203910.190844905
MW/w0.2 M21 done done None 4870 0.0 9199302.252494548
MW/w0.2 M22 done done None 5574 0.0 8772952.58318698
MW/w0.2 M23 done done None 6178 0.0 8363606.454635282
MW/w0.2 M24 done done None 6957 0.0 8000844.9730692655
MW/w0.2 M25 done done None 7828 0.0 7701440.004880281
MW/w0.2 M30 running running None 33932 0.0 6548133.210626141
MW/w0.2 M40 running running None 44806 0.0 5094851.836988863
MW/w0.2 M50 running running None 51027 0.0 4305630.15845024
MW/w0.2 M60 running running None 57779 7.634236849563878e-29 3832485.403155272
MW/w0.2 M80 running running None 70160 0.04623650041646923 3193357.481398403
MW/w0.2 M100 running running None 72574 0.1925360952746291 2461621.3145314576
MW/w0.2 M120 running running None 71686 0.4141654088785861 1503011.7313547248
MW/w0.4 M5.0 done done None 1999 0.0 118123604.19569227
MW/w0.4 M5.2 done done None 2095 0.0 107391508.44619425
MW/w0.4 M5.4 done done None 2146 0.0 98206416.53613788
MW/w0.4 M5.6 done done None 2243 0.0 90255413.50684638
MW/w0.4 M5.8 done done None 2240 0.0 83053919.55652568
MW/w0.4 M6.0 done done None 2191 0.0 76730895.4272255
MW/w0.4 M6.5 done done None 2240 0.0 65009811.32562051
MW/w0.4 M7.0 done done None 2438 0.0 54624140.99611671
MW/w0.4 M7.5 done done None 2478 0.0 47112444.747110516
MW/w0.4 M8.0 done done None 2740 0.0 41456980.81250173
MW/w0.4 M9.0 done done None 2864 0.0 32738771.449586213
MW/w0.4 M10 done done None 3280 0.0 26973518.00169781
MW/w0.4 M11 done done None 3802 0.0 22897414.31656824
MW/w0.4 M12 done done None 3133 0.0 19780639.483006008
MW/w0.4 M13 done done None 3095 0.0 17429579.31217922
MW/w0.4 M14 done done None 3003 0.0 15705990.595187515
MW/w0.4 M15 done done None 3176 0.0 14194896.277196422
MW/w0.4 M16 done done None 3389 0.0 13085263.415247506
MW/w0.4 M17 done done None 3628 0.0 12046598.674489079
MW/w0.4 M18 done done None 3970 0.0 11223907.566167993
MW/w0.4 M19 done done None 4337 0.0 10530552.657681363
MW/w0.4 M20 done done None 4786 0.0 9882301.461446306
MW/w0.4 M21 done done None 5436 0.0 9397576.732245391
MW/w0.4 M22 done done None 6026 0.0 8938235.405672513
MW/w0.4 M23 done done None 6763 0.0 8533528.097210413
MW/w0.4 M24 done done None 7556 0.0 8181403.676310584
MW/w0.4 M25 done done None 8525 0.0 7851429.134595609
MW/w0.4 M30 running running None 36662 0.0 6691576.396312577
MW/w0.4 M40 running running None 45233 0.0 5164042.083041988
MW/w0.4 M50 running running None 53240 0.0 4395591.90321107
MW/w0.4 M60 running running None 60284 0.0 3899636.661587679
MW/w0.4 M80 running running None 71876 0.0744097526665492 3146540.0331061203
MW/w0.4 M100 running running None 73918 0.22053167845261182 2392482.8304155446
MW/w0.4 M120 running running None 72940 0.4392797486544698 1414730.2418909734
MW/w0.6 M5.0 done done None 1983 0.0 120454398.47345577
MW/w0.6 M5.2 done done None 2087 0.0 110322578.57675882
MW/w0.6 M5.4 done done None 2217 0.0 100936846.38740548
MW/w0.6 M5.6 done done None 2204 0.0 92170709.08073202
MW/w0.6 M5.8 done done None 2285 0.0 85433306.2532276
MW/w0.6 M6.0 done done None 2268 0.0 78872156.60045989
MW/w0.6 M6.5 done done None 2293 0.0 66023617.82863007
MW/w0.6 M7.0 done done None 2555 0.0 56467997.553649135
MW/w0.6 M7.5 done done None 2555 0.0 48817884.428502634
MW/w0.6 M8.0 done done None 2800 0.0 42726947.37975187
MW/w0.6 M9.0 done done None 2568 0.0 33936553.24857192
MW/w0.6 M10 done done None 3406 0.0 27740099.14536074
MW/w0.6 M11 done done None 3753 0.0 23550364.73596234
MW/w0.6 M12 done done None 3742 0.0 20343033.350989804
MW/w0.6 M13 done done None 3692 0.0 18081165.357124206
MW/w0.6 M14 done done None 3556 0.0 16404592.439587768
MW/w0.6 M15 done done None 3656 0.0 15009402.871176101
MW/w0.6 M16 done done None 3844 0.0 13596863.68536467
MW/w0.6 M17 done done None 4079 0.0 12553981.822231214
MW/w0.6 M18 done done None 4554 0.0 11771379.28914419
MW/w0.6 M19 done done None 4941 0.0 11025370.818964262
MW/w0.6 M20 done done None 5395 0.0 10385981.083621226
MW/w0.6 M21 done done None 7047 0.0 9975587.736948058
MW/w0.6 M22 done done None 7098 0.0 9419023.157757087
MW/w0.6 M23 done done None 11961 0.0 9115511.48867768
MW/w0.6 M24 done done None 9344 0.0 8685526.836085916
MW/w0.6 M25 done done None 19021 0.0 8420747.908463744
MW/w0.6 M30 running running None 39450 0.0 7013230.36621433
MW/w0.6 M40 running running None 49687 0.0 5418904.345585958
MW/w0.6 M50 running running None 59328 0.0 4559964.881509521
MW/w0.6 M60 running running None 66842 1.3143637715658004e-27 4039650.821228828
MW/w0.6 M80 running running None 74000 0.14799748073115532 2981085.594247222
MW/w0.6 M100 running running None 74949 0.3886848018871195 1782844.3946958596
MW/w0.6 M120 running running None 73062 0.48266222527668723 1238072.4635702732
LMC/w0.0 M5.0 done done None 2448 0.0 107898522.7336179
LMC/w0.0 M5.2 done done None 2517 8.142521745740514e-37 98875306.39875309
LMC/w0.0 M5.4 done done None 2481 0.0 90648578.94753432
LMC/w0.0 M5.6 done done None 2574 0.0 83793828.34428346
LMC/w0.0 M5.8 done done None 2571 0.0 77604471.30931611
LMC/w0.0 M6.0 done done None 2476 0.0 71916923.55993459
LMC/w0.0 M6.5 done done None 2575 0.0 60679461.02181909
LMC/w0.0 M7.0 done done None 2673 0.0 52116797.96584851
LMC/w0.0 M7.5 done done None 2762 0.0 45456324.58083093
LMC/w0.0 M8.0 done done None 2437 0.0 39992180.28839459
LMC/w0.0 M9.0 done done None 2544 0.0 32019539.510377124
LMC/w0.0 M10 done done None 2797 0.0 26584967.129608914
LMC/w0.0 M11 done done None 2354 0.0 22702230.723229457
LMC/w0.0 M12 done done None 2423 0.0 19890922.747682367
LMC/w0.0 M13 done done None 2531 0.0 17581978.889393967
LMC/w0.0 M14 done done None 2523 0.0 15803786.267925428
LMC/w0.0 M15 done done None 2189 0.0 14361660.763018982
LMC/w0.0 M16 done done None 2331 0.0 13182993.8438093
LMC/w0.0 M17 done done None 2490 0.0 12173077.059366362
LMC/w0.0 M18 done done None 2860 0.0 11363712.220488334
LMC/w0.0 M19 done done None 2867 0.0 10661309.725239584
LMC/w0.0 M20 done done None 3224 0.0 10057313.865683457
LMC/w0.0 M21 done done None 3285 0.0 9538161.472624883
LMC/w0.0 M22 done done None 3786 0.0 9042646.096161708
LMC/w0.0 M23 done done None 3959 0.0 8632643.899234181
LMC/w0.0 M24 done done None 4564 0.0 8265645.377943741
LMC/w0.0 M25 done done None 5052 0.0 7942519.839214036
LMC/w0.0 M30 done done None 7474 0.0 6735622.217617031
LMC/w0.0 M40 done done None 14258 0.0 5487902.57121772
LMC/w0.0 M50 running running None 42188 0.0 5099827.950904884
LMC/w0.0 M60 running running None 43694 0.0 4218214.430156586
LMC/w0.0 M80 running running None 49916 0.0 3416161.267408987
LMC/w0.0 M100 running running None 56829 0.0 3057445.895062238
LMC/w0.0 M120 running running None 62074 0.0 2853411.160608166
LMC/w0.2 M5.0 done done None 2046 0.0 108605888.20986074
LMC/w0.2 M5.2 done done None 2047 0.0 99442802.13423477
LMC/w0.2 M5.4 done done None 1954 0.0 91181191.73983905
LMC/w0.2 M5.6 done done None 1982 0.0 84065347.38903499
LMC/w0.2 M5.8 done done None 2193 0.0 78076499.524475
LMC/w0.2 M6.0 done done None 2006 0.0 72323491.10041378
LMC/w0.2 M6.5 done done None 2212 0.0 61156947.05556273
LMC/w0.2 M7.0 done done None 2028 0.0 52330687.2992143
LMC/w0.2 M7.5 done done None 2056 0.0 45595277.391254224
LMC/w0.2 M8.0 done done None 2120 0.0 40223296.83551301
