star,source,SpType,logTeff,logLspec,logg,vmac,vsini,tau,logM,logR
HD10125,SimonDiaz2017,O9.7 II,4.51,3.89,,28.0,167.0,0.8563136565781536,1.4652487324952028,1.1811782962877786
HD10293,SimonDiaz2017,B7 III,4.1,2.71,,22.0,64.0,1.0015883610376382,0.7933027273869929,1.0767993449368256
HD10362,SimonDiaz2017,B7 II,4.12,2.87,,20.0,33.0,1.001587951039029,0.8570520322470405,1.148031574743057
HD104337,SimonDiaz2017,B1 V,4.36,2.93,,58.0,99.0,0.7055718064468744,0.9954017549274256,0.7745767003528267
HD106625,SimonDiaz2017,B8 III,4.11,2.23,,20.0,33.0,0.985416772974916,0.6303915177841224,0.7332327921490407
HD10756,SimonDiaz2017,B8 Ia,4.09,3.69,,36.0,33.0,1.002296167114909,1.2193338633928432,1.799747061185275
HD11415,SimonDiaz2017,B3 Vp,4.17,2.82,,26.0,42.0,1.0008427239137805,0.8422215109086089,1.017347818887368
HD114376,SimonDiaz2017,B7 III,4.13,2.4,,36.0,117.0,0.9849213387532724,0.7082776621086713,0.818579687917878
HD11529,SimonDiaz2017,B5 III,4.13,2.45,,27.0,29.0,0.9914807371273664,0.7215588293981067,0.8410673836302098
HD11857,SimonDiaz2017,B7 I,4.12,2.43,,29.0,18.0,0.9962217667113524,0.7032657944796,0.8422883426502611
HD119608,SimonDiaz2017,B1 Ib,4.33,3.81,,71.0,45.0,1.0011502473888916,1.306921294986786,1.4232885270501152
HD120086,SimonDiaz2017,B2 V,4.27,2.8,,41.0,94.0,0.8818027598621806,0.8929275823263774,0.8293923463273156
HD120315,SimonDiaz2017,B3 V,4.25,2.36,,50.0,161.0,0.5407844729187201,0.7766378440286706,0.5902656980236065
HD12301,SimonDiaz2017,B8 Ib,4.08,3.45,,41.0,32.0,1.004220867497538,1.1245318329537053,1.653061189942528
HD12303,SimonDiaz2017,B8 III,4.07,2.46,,23.0,74.0,1.0013600471928203,0.6994295914662455,0.9623568916613164
HD12323,SimonDiaz2017,ON9.2 V,4.54,3.63,,34.0,130.0,0.5696321183677927,1.3765836376671567,0.944582898373784
HD125924,SimonDiaz2017,B2 IV,4.32,2.89,,25.0,68.0,0.805887311553991,0.9540190770595166,0.8070555661653294
HD1279,SimonDiaz2017,B8 III,4.12,2.77,,20.0,28.0,1.001422925797701,0.8175453213305911,1.0784927463749072
HD12993,SimonDiaz2017,O6.5 V((f)) Nstr,4.59,3.94,,80.0,79.0,0.660786579411164,1.5645136398888284,1.0958133845718805
HD13022,SimonDiaz2017,O9.7 II-III,4.51,3.89,,86.0,111.0,0.8563136565781536,1.4652487324952028,1.1811782962877786
HD13267,SimonDiaz2017,B5 Ia,4.15,3.96,,57.0,37.0,1.0018476578780235,1.3844707955809317,1.8921139920724153
HD135485,SimonDiaz2017,B3 V,4.25,2.18,,17.0,19.0,0.1925039813455953,0.7481608039138251,0.4851085259639351
HD13745,SimonDiaz2017,O9.7 II(n),4.51,3.99,,14.0,196.0,0.8714202804131984,1.527807748416766,1.2643199672548728
HD13841,SimonDiaz2017,B2 Ib,4.34,3.85,,80.0,48.0,1.0011148531793894,1.3306086976485425,1.4336777562087395
HD13854,SimonDiaz2017,B1 Iab,4.35,4.04,,67.0,48.0,1.000198631186248,1.457312814425906,1.5730873558349845
HD13866,SimonDiaz2017,B2 Ib,4.3,3.82,,77.0,43.0,1.001310573217766,1.31037764615076,1.489522824628958
HD14052,SimonDiaz2017,B1 Ib,4.35,3.76,,64.0,36.0,1.0010038322310593,1.2739290911459262,1.338898273551639
HD140873,SimonDiaz2017,B8 III,4.15,2.19,,52.0,64.0,0.8021591054304831,0.6651761585692918,0.6468380851565797
HD14134,SimonDiaz2017,B3 Ia,4.19,4.01,,58.0,39.0,1.000772111327778,1.425269960811458,1.861484164624294
HD14143,SimonDiaz2017,B2 Ia,4.26,3.97,,69.0,42.0,1.0009560805787645,1.4059210489791838,1.692553586988203
HD142096,SimonDiaz2017,B2.5 V,4.23,2.41,,10.0,137.0,0.722236968404233,0.7697133277237279,0.6578754690105445
HD142669,SimonDiaz2017,B2 IV-V,4.27,2.72,,40.0,113.0,0.8333330845613205,0.8702254980597519,0.7776914112603592
HD142763,SimonDiaz2017,B8 III,4.12,2.59,,15.0,91.0,1.0008050684605911,0.7479017624472093,0.9508471712414942
HD142990,SimonDiaz2017,B5 V,4.18,2.73,,28.0,120.0,1.0004148998872546,0.8113524392733791,0.9336950837717808
HD14302,SimonDiaz2017,B1 II-III,4.36,3.57,,53.0,65.0,0.9988066688158812,1.1902452775769077,1.1798287328884416
HD14322,SimonDiaz2017,B8 Ib,4.07,4.01,,46.0,34.0,1.0013892410232923,1.4223609330269134,2.107578888246852
HD14331,SimonDiaz2017,B0 III,4.48,3.83,,73.0,58.0,0.8879398899850752,1.408398258893646,1.1800544022253794
HD14357,SimonDiaz2017,B2 II,4.32,3.78,,59.0,143.0,1.0011956889692315,1.2793145595282385,1.4088676469431158
HD144206,SimonDiaz2017,B9 III,4.06,2.05,,12.0,18.0,0.9430350834788525,0.6018145348589068,0.7316165557058293
HD144217,SimonDiaz2017,B0.5 V,4.47,3.06,,59.0,96.0,0.0865192137797175,1.1459634542053667,0.6867355078599936
HD144218,SimonDiaz2017,B2 IV-V,4.26,2.44,,36.0,59.0,0.6094850306305746,0.7967056547732675,0.6211315469613601
HD14443,SimonDiaz2017,BC2 Ib,4.34,3.78,,58.0,36.0,1.0010738823880028,1.2795246296599678,1.3683350562787908
HD144470,SimonDiaz2017,B1 V,4.4,3.06,,21.0,106.0,0.6253116066465971,1.069547661852838,0.787004623965179
HD14476,SimonDiaz2017,B0.5 III,4.4,3.58,,61.0,33.0,0.9711160558964684,1.22485611576027,1.1281977883719867
HD14542,SimonDiaz2017,B8 Ia,4.1,3.98,,46.0,38.0,1.0017966669967482,1.3981106947635722,2.0128228160645394
HD145482,SimonDiaz2017,B2 V,4.29,2.75,,47.0,170.0,0.7964726605861311,0.8919393560199469,0.7647864661089293
HD14633,SimonDiaz2017,ON8.5 V,4.54,3.84,,84.0,123.0,0.7607458978263043,1.465457675468944,1.0950199239840557
HD147165,SimonDiaz2017,B1 III,4.39,3.31,,53.0,24.0,0.867869058266442,1.1341563500331504,0.9709819901492108
HD148605,SimonDiaz2017,B2.5 V,4.28,2.6,,83.0,186.0,0.7116956033992105,0.8470949608576898,0.6929635260876572
HD149438,SimonDiaz2017,B0 V,4.51,3.11,,10.0,7.0,0.0024008393882432,1.2013830788195143,0.6921345499991528
HD14956,SimonDiaz2017,B2 Ia,4.28,3.99,,84.0,50.0,1.0004687262201784,1.4230389067772928,1.6747041791740107
HD154445,SimonDiaz2017,B1.5 V,4.34,3.15,,27.0,122.0,0.943132585562076,1.0150717314232982,0.9303283434173708
