star,sample,tier,logTeff,logLspec,alpha0,a0flag,nuchar,gamma,vsini,tau,logM,logR,frot,rotflag
HD 96715,Bowman2020_Galactic,A,4.66,4.1,99.219,1,5.74308,1.66987,59.0,0.5393331814320449,1.7640305217552497,1.1327657123874697,0.085900990189657,0
HD 46223,Bowman2020_Galactic,A,4.62,4.16,249.33,1,3.99087,1.63706,60.0,0.7197540892346551,1.7271708368203502,1.2261155639877503,0.0704607979524652,0
HD 155913,Bowman2020_Galactic,A,4.63,3.88,253.521,1,6.15743,2.08883,278.0,0.3700719897458498,1.6343453753713169,1.017171345325302,0.5281840974653268,0
HD 46150,Bowman2020_Galactic,A,4.61,4.03,175.47,1,3.95351,1.59155,71.0,0.6548243008555434,1.6594196330174014,1.15145762449892,0.0990176454488117,0
HD 90273,Bowman2020_Galactic,A,4.59,3.95,186.796,1,2.96658,1.52985,55.0,0.668634959898171,1.573934295916784,1.105717319456904,0.0852230829546367,0
HD 110360,Bowman2020_Galactic,A,4.59,3.6,104.664,1,2.36468,1.36668,96.0,0.1614927932910367,1.451480016252211,0.8721503339255612,0.2547022432008793,0
HD 47839,Bowman2020_Galactic,A,4.58,3.7,54.461,1,3.7815,1.59141,43.0,0.4324978574880651,1.4666307568747745,0.9451695033427108,0.0964297016339843,0
HD 53975,Bowman2020_Galactic,A,4.56,3.74,144.615,1,2.7786,1.36739,181.0,0.6015782331219777,1.445038112455645,0.9944971217051046,0.3623208478324782,0
HD 41997,Bowman2020_Galactic,A,4.55,3.85,803.647,1,2.61022,2.32176,262.0,0.7386992634836264,1.4825639094490668,1.0902175435497483,0.4207223838209886,0
HD 46573,Bowman2020_Galactic,A,4.56,3.93,409.204,1,2.00862,1.436,77.0,0.7452531859382773,1.5320639177262498,1.133406602656783,0.1119427555786359,0
HD 48279,Bowman2020_Galactic,A,4.55,3.76,262.925,1,2.77586,1.735,131.0,0.6731993846860331,1.4393625943680683,1.0263471102187731,0.2436890731746403,0
HD 46056,Bowman2020_Galactic,A,4.55,3.58,56.7,1,9.0522,2.45063,370.0,0.4441439524674113,1.3742167075491964,0.9000204131656644,0.9206470834154756,0
HD 38666,Bowman2020_Galactic,A,4.53,3.59,20.239,1,4.06758,1.73389,111.0,0.5755162764845079,1.360546544631792,0.9382508236468428,0.2529204966232031,0
HD 74920,Bowman2020_Galactic,A,4.54,3.9,367.615,1,3.66392,2.18152,291.0,0.7887709061497206,1.4944858653341913,1.1375747097354516,0.4190155593924361,0
HD 135591,Bowman2020_Galactic,A,4.54,3.99,343.595,1,1.977,1.38857,60.0,0.8172185347820887,1.547534746376338,1.2103543271622237,0.0730648999583099,0
HD 326331,Bowman2020_Galactic,A,4.54,3.82,1196.544,1,2.20987,1.75566,332.0,0.7496201183739398,1.4561587949328232,1.081676386464661,0.5437178213104152,0
HD 37041,Bowman2020_Galactic,A,4.54,3.28,48.977,1,0.93624,1.43815,134.0,0.0015756276072069,1.275611536646941,0.7331686473772762,0.4896074547575051,1
HD 123056,Bowman2020_Galactic,A,4.5,3.7,268.094,1,4.01672,2.46953,193.0,0.7893614667004845,1.3666001579300489,1.0581238734760534,0.3336916245667006,0
HD 97253,Bowman2020_Galactic,A,4.59,4.16,837.597,1,2.20426,2.06179,70.0,0.7715355347680143,1.7013089530791143,1.2732592682910475,0.0737480671557667,0
HD 93843,Bowman2020_Galactic,A,4.57,4.15,489.559,1,2.60714,1.68517,58.0,0.8024116715389025,1.680146837223008,1.296277513372457,0.0579511890035859,0
HD 156738,Bowman2020_Galactic,A,4.58,3.87,350.922,1,4.38608,2.42795,65.0,0.6440268408461587,1.527694996293861,1.0644044819878462,0.1107696402948078,0
HD 36861,Bowman2020_Galactic,A,4.55,4.06,330.703,1,2.05434,1.39102,53.0,0.8203213267769675,1.6097798221497923,1.2601107910519302,0.0575541904164128,0
HD 150574,Bowman2020_Galactic,A,4.52,3.87,1156.742,1,2.47023,1.92152,252.0,0.8271470712673399,1.4626647765023524,1.1491048108130193,0.3533520381859085,0
HD 152247,Bowman2020_Galactic,A,4.51,3.94,661.325,1,2.75008,2.14782,82.0,0.8655510640858837,1.4949506966112729,1.2194919747238808,0.0977763336650627,0
HD 55879,Bowman2020_Galactic,A,4.49,3.85,191.802,1,1.71966,1.42054,26.0,0.8772405915418204,1.4297633833989298,1.1836706624719833,0.033667785862201,0
HD 154643,Bowman2020_Galactic,A,4.49,3.85,495.62,1,1.83226,1.48131,101.0,0.8772405915418204,1.4297633833989298,1.1836706624719833,0.1307863989262424,0
CPD-47 2963,Bowman2020_Galactic,A,4.57,4.16,705.866,1,2.53356,2.91261,67.0,0.8056437305339694,1.6839755905391565,1.3047295070102276,0.0656533916233375,0
HD 156154,Bowman2020_Galactic,A,4.53,4.22,1911.5,1,1.76469,1.9628,62.0,0.8789464140922691,1.6867498704651809,1.4187846033079143,0.0467217344763168,0
HD 112244,Bowman2020_Galactic,A,4.5,4.15,4203.703,1,0.9187,1.93925,124.0,0.8999836244949575,1.6396997107050455,1.4179238716091818,0.0936288489516651,0
HD 151804,Bowman2020_Galactic,A,4.45,4.33,3642.777,1,0.93978,4.26287,72.0,1.0149611451846785,1.4985199776600702,1.5358607312431265,0.0414365544836066,0
HD 303492,Bowman2020_Galactic,A,4.45,4.29,3447.949,1,0.85247,4.45373,87.0,1.0053013057278957,1.533728088336096,1.5425770343606686,0.0493008138977218,0
HD 57061,Bowman2020_Galactic,A,4.51,4.01,1261.169,1,1.4168,1.84189,57.0,0.8815057611323537,1.5339906100574732,1.2775144334184354,0.0594664883463775,0
HD 152249,Bowman2020_Galactic,A,4.49,4.15,2144.886,1,1.76168,2.94309,71.0,0.9264954634784563,1.618181862377455,1.427429660894168,0.0524494041283631,0
HD 152424,Bowman2020_Galactic,A,4.48,4.14,5315.488,1,0.95329,3.42169,59.0,0.9743335461618676,1.5665550891172442,1.412367156501556,0.0451228711570016,0
HD 154368,Bowman2020_Galactic,A,4.48,4.28,1971.732,1,1.85794,4.70571,65.0,0.9715093003431492,1.4842150602850142,1.4478127359846291,0.0458155064237823,0
HD 152003,Bowman2020_Galactic,A,4.48,4.12,4459.742,1,0.92626,1.76747,65.0,0.9854661529208256,1.5483678228349274,1.399149738596503,0.0512478309599406,0
HD 152147,Bowman2020_Galactic,A,4.48,4.04,3879.566,1,1.1396,2.43834,91.0,0.9707602298223088,1.506968824003399,1.3352103739025545,0.0831271496432049,0
HD 36960,Bowman2020_Galactic,A,4.46,3.31,30.868,1,1.83618,2.46009,23.0,0.6135945461120834,1.1912917959365676,0.8551921512731956,0.0634523272652559,0
HD 37042,Bowman2020_Galactic,A,4.47,3.06,57.494,1,1.20717,1.84494,33.0,0.0865192137797175,1.1459634542053667,0.6867355078599936,0.1341807771133454,0
HD 43112,Bowman2020_Galactic,A,4.41,2.95,6.269,1,0.76982,1.16679,7.0,0.4104901116350142,1.0406403184355757,0.7002558792204301,0.0275901480898582,0
HD 35912,Bowman2020_Galactic,A,4.26,2.44,241.602,1,2.08064,3.01021,11.0,0.6094850306305746,0.7967056547732675,0.6211315469613601,0.0520203187488193,0
HD 48977,Bowman2020_Galactic,A,4.25,2.61,311.431,1,1.46731,2.33096,26.0,0.8200024255482423,0.8323432673110056,0.7460196906592015,0.092228581276956,0
HD 34816,Bowman2020_Galactic,A,4.46,3.22,61.383,1,0.66173,1.34255,25.0,0.4742991638353563,1.1748806963772855,0.7963740915534597,0.0789728457474039,0
HD 46328,Bowman2020_Galactic,A,4.4,3.28,54.479,1,1.08885,1.34896,7.0,0.8118010081864728,1.1106187171256414,0.9102904219989782,0.0170105943756863,0
HD 50707,Bowman2020_Galactic,A,4.38,3.31,132.11,1,4.27661,1.75206,29.0,0.8885349540277346,1.105618743762696,0.9665356808222548,0.0619119079346551,0
HD 37481,Bowman2020_Galactic,A,4.34,2.78,26.284,1,1.23368,3.20558,74.0,0.5954796470377064,0.9541379175170231,0.7057471647606521,0.2880026114578126,0
HD 37209,Bowman2020_Galactic,A,4.38,2.76,26.461,1,0.826,2.35097,50.0,0.2153089258405136,0.999023744017334,0.6310609134771409,0.2311111835363845,0
HD 26912,Bowman2020_Galactic,A,4.2,2.61,299.788,1,1.15152,3.05793,53.0,0.9828158772562232,0.7769166466473411,0.8184656138245314,0.1591190314298053,0
HD 37711,Bowman2020_Galactic,A,4.21,2.61,916.636,1,0.86817,3.34037,68.0,0.9347248166993628,0.7985493570714742,0.8096843517866301,0.2083226213392725,0
HD 57539,Bowman2020_Galactic,A,4.13,2.54,154.777,1,2.60349,3.06784,162.0,1.0004666705504917,0.7361177789398596,0.9050402193124004,0.3984617756836152,0
HD 41753,Bowman2020_Galactic,A,4.23,2.61,302.331,1,1.27728,3.47522,25.0,0.8699836036905976,0.8193563482867627,0.777221658556668,0.0825334920644304,0
HD 224990,Bowman2020_Galactic,A,4.13,2.33,23.296,1,1.57162,2.09149,20.0,0.97718050426462,0.676249475485519,0.7642216986865754,0.0680330854693846,0
HD 48434,Bowman2020_Galactic,A,4.48,3.93,1647.09,1,1.47146,2.00588,48.0,0.9684979306275828,1.4310940322866763,1.2452680863768848,0.0539367807506502,0
